mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0		0	0	Dynamic	2/4	1	1	0					p										
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0							"<b><font face=""Plantin MT Std""/>Allegretto con moto.
</b>"								
1	1	0	0	0.0		0	0	Tempo	2/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0			
1	1	0	0	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	0									0		
1	1	1	1	0.75		1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	1									0		
1	1	7/4	7/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	2									0		
1	1	15/8	15/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	3									0		
1	1	0	0	0.0		0	0	StaffText	2/4	2	1	0							pizz.								
1	1	0	0	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	4											
1	1	1	1	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	5											
1	1	0	0	0.0		0	0	StaffText	2/4	3	1	0							pizz.								
1	1	0	0	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	6											
1	1	1	1	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	7											
1	1	0	0	0.0		0	0	StaffText	2/4	4	1	0							pizz.								
1	1	0	0	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	8											
1	1	1	1	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	9											
2	2	2	2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	10											
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	11		articStaccatoAbove									
2	2	3	3	1.0		1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	12											
2	2	2	2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	13											
