mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin
6	5	14	14	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	39													
6	5	13	13	0.0		0	0	Dynamic	3/4	3	1	0					sf												
6	5	13	13	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	40													
6	5	14	14	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	41													
6	5	13	13	0.0		0	0	Dynamic	3/4	4	1	0					sf												
6	5	13	13	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	42													
6	5	14	14	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	43													
7	6	16	16	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	44													
7	6	17	17	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	45													
7	6	37/2	37/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	46													
7	6	16	16	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	47													
7	6	18	18	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	48									7				
7	6	16	16	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	49													
7	6	18	18	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	50													
7	6	16	16	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	51													
7	6	18	18	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	52									8				
8	7	19	19	0.0		0	0	Dynamic	3/4	1	1	0					sf												
8	7	19	19	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	53									9				
8	7	21	21	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54													
8	7	19	19	0.0		0	0	Dynamic	3/4	2	1	0					sf												
8	7	19	19	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	55													
8	7	20	20	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	56													
8	7	19	19	0.0		0	0	Dynamic	3/4	3	1	0					sf												
8	7	19	19	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	57													
8	7	20	20	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	58													
8	7	19	19	0.0		0	0	Dynamic	3/4	4	1	0					sf												
8	7	19	19	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	59													
8	7	20	20	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	60													
9	8	22	22	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	61													
9	8	23	23	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	62													
9	8	49/2	49/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	63													
9	8	22	22	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	64													
9	8	24	24	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	65									10				
9	8	22	22	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	66													
9	8	24	24	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	67									11				
9	8	22	22	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	68													
9	8	24	24	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	69									12				
10	9	25	25	0.0		0	0	Dynamic	3/4	1	1	0					sf												
10	9	25	25	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	70													
10	9	27	27	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	71													
10	9	25	25	0.0		0	0	Dynamic	3/4	2	1	0					sf												
10	9	25	25	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	72													
10	9	26	26	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	73													
10	9	25	25	0.0		0	0	Dynamic	3/4	3	1	0					sf												
10	9	25	25	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	74													
10	9	26	26	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	75													
10	9	25	25	0.0		0	0	Dynamic	3/4	4	1	0					sf												
10	9	25	25	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	76													
10	9	26	26	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	77													
11	10	28	28	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	78													
11	10	29	29	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	79													
11	10	61/2	61/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	80													
11	10	28	28	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	81													
11	10	30	30	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	82													
11	10	28	28	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	83													
11	10	30	30	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	84									13				
11	10	28	28	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	85													
11	10	30	30	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	86									14				
12	11	31	31	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	87									15				
12	11	33	33	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	88													
12	11	31	31	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	89													
12	11	32	32	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	90													
12	11	31	31	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	91													
12	11	32	32	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	92													
12	11	31	31	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	93													
12	11	32	32	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	94													
13	12	34	34	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	95													
13	12	36	36	0.0		1/2	1/2	Dynamic	3/4	1	1	0					p												
13	12	36	36	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	96									16				
13	12	73/2	73/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	97									16				
13	12	34	34	0.0		0	0	Dynamic	3/4	2	1	0					p												
13	12	34	34	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	98		articStaccatoBelow											
13	12	35	35	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99		articStaccatoBelow											
13	12	34	34	0.0		0	0	Dynamic	3/4	3	1	0					p												
13	12	34	34	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	100		articStaccatoBelow											
13	12	35	35	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	101		articStaccatoBelow											
13	12	34	34	0.0		0	0	Dynamic	3/4	4	1	0					p												
13	12	34	34	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	102		articStaccatoBelow											
13	12	35	35	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	103		articStaccatoBelow											
14	13	37	37	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	104													
14	13	39	39	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	105									17				
14	13	79/2	79/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	106									17				
14	13	37	37	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	107		articStaccatoBelow											
14	13	38	38	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108		articStaccatoBelow											
14	13	37	37	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	109		articStaccatoBelow											
14	13	38	38	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	110		articStaccatoBelow											
14	13	37	37	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	111		articStaccatoBelow											
14	13	38	38	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	112		articStaccatoBelow											
15	14	40	40	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	113													
15	14	42	42	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	114									18				
15	14	85/2	85/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	115									18				
15	14	40	40	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	116		articStaccatoBelow											
15	14	41	41	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	117		articStaccatoBelow											
15	14	40	40	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	118		articStaccatoBelow											
15	14	41	41	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	119		articStaccatoBelow											
15	14	40	40	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	120		articStaccatoBelow											
15	14	41	41	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	121		articStaccatoBelow											
16	15	43	43	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	122													
16	15	43	43	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	123		articStaccatoBelow											
16	15	44	44	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	124		articStaccatoBelow											
16	15	43	43	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	125		articStaccatoBelow											
16	15	44	44	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	126		articStaccatoBelow											
16	15	43	43	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	127		articStaccatoBelow											
16	15	44	44	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	128		articStaccatoBelow											
17	16		46	0.0	1	0	0	Dynamic	3/4	1	1	0					f												
17	16		46	0.0	1	0	0	Chord	3/4	1	1	0	acciaccatura	1/16	1	129													
17	16		46	0.5	1	0	0	Chord	3/4	1	1	1/8		1/8	1	130									19				
17	16		93/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	131									19				
17	16		47	0.5	1	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	132									19				
17	16		95/2	0.5	1	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	133									19				
17	16		48	0.5	1	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	134									19				
17	16		97/2	0.5	1	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	135													
18	16	46	49	0.0	2	0	0	Dynamic	3/4	1	1	0					f												
18	16	46	49	0.0	2	0	0	Chord	3/4	1	1	0	acciaccatura	1/16	1	136													
18	16	46	49	0.5	2	0	0	Chord	3/4	1	1	1/8		1/8	1	137									20				
18	16	93/2	99/2	0.5	2	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	138									20				
18	16	47	50	0.5	2	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	139									20				
18	16	95/2	101/2	0.5	2	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	140									20				
18	16	48	51	0.5	2	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	141									20				
18	16	97/2	103/2	0.5	2	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	142													
19	17	49	52	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	143													
19	17	51	54	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	144													
19	17	49	52	0.0		0	0	Dynamic	3/4	2	1	0					f												
19	17	49	52	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	145													
19	17	50	53	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	146													
19	17	49	52	0.0		0	0	Dynamic	3/4	3	1	0					f												
19	17	49	52	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	147													
19	17	50	53	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	148													
19	17	49	52	0.0		0	0	Dynamic	3/4	4	1	0					f												
19	17	49	52	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	149													
19	17	50	53	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	150													
20	18	52	55	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	151													
20	18	53	56	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	152													
20	18	109/2	115/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	153													
20	18	52	55	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	154													
20	18	54	57	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	155													
20	18	52	55	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	156													
20	18	54	57	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	157													
20	18	52	55	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	158													
20	18	54	57	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	159													
21	19	55	58	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	160									21				
21	19	57	60	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	161													
21	19	55	58	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	162													
21	19	56	59	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	163													
21	19	55	58	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	164													
21	19	56	59	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	165													
21	19	55	58	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	166													
21	19	56	59	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	167													
22	20	58	61	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/16	1	168													
22	20	58	61	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	169									22				
22	20	117/2	123/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	170									22				
22	20	59	62	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	171									22				
22	20	119/2	125/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	172									22				
22	20	60	63	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	173									22				
22	20	121/2	127/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	174													
22	20	58	61	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	175													
22	20	60	63	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	176													
22	20	58	61	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	177													
22	20	60	63	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	178													
22	20	58	61	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	179													
22	20	60	63	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	180													
23	21	61	64	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	181													
23	21	63	66	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	182													
23	21	61	64	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	183													
23	21	62	65	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	184													
23	21	61	64	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	185													
23	21	62	65	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	186													
23	21	61	64	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	187													
23	21	62	65	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	188													
24	22	64	67	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	189													
24	22	65	68	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	190													
24	22	133/2	139/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	191													
24	22	64	67	2.0		0	0	Chord	3/4	2	1	1/2		1/2	1	192													
24	22	66	69	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	193													
24	22	64	67	2.0		0	0	Chord	3/4	3	1	1/2		1/2	1	194													
24	22	66	69	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	195													
24	22	64	67	2.0		0	0	Chord	3/4	4	1	1/2		1/2	1	196													
24	22	66	69	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	197													
25	23	67	70	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	198									23				
25	23	69	72	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	199													
25	23	67	70	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	200													
25	23	68	71	2.0		1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	201													
25	23	67	70	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	202													
25	23	68	71	2.0		1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	203													
25	23	67	70	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	204													
25	23	68	71	2.0		1/4	1/4	Chord	3/4	4	1	1/2		1/2	1	205													
26	24	70	73	0.0		0	0	Dynamic	3/4	1	1	0					ff												
26	24	70	73	0.0		0	0	Chord	3/4	1	1	0	acciaccatura	1/16	1	206													
26	24	70	73	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	207									24				
26	24	141/2	147/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	208									24				
26	24	71	74	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	209									24				
26	24	143/2	149/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	210									24				
26	24	72	75	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	211									24				
26	24	145/2	151/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	212													
26	24	70	73	0.0		0	0	Dynamic	3/4	2	1	0					ff												
26	24	70	73	0.0		0	0	Chord	3/4	2	1	0	acciaccatura	1/16	1	213													
26	24	70	73	0.5		0	0	Chord	3/4	2	1	1/8		1/8	1	214									25				
26	24	141/2	147/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	215									25				
26	24	71	74	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	216									25				
26	24	143/2	149/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	217									25				
26	24	72	75	0.5		1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	218									25				
26	24	145/2	151/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	219													
26	24	70	73	0.0		0	0	Dynamic	3/4	3	1	0					ff												
26	24	70	73	0.0		0	0	Chord	3/4	3	1	0	acciaccatura	1/16	1	220													
26	24	70	73	0.5		0	0	Chord	3/4	3	1	1/8		1/8	1	221									26				
26	24	141/2	147/2	0.5		1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	222									26				
26	24	71	74	0.5		1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	223									26				
26	24	143/2	149/2	0.5		3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	224									26				
26	24	72	75	0.5		1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	225									26				
26	24	145/2	151/2	0.5		5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	226													
26	24	70	73	0.0		0	0	Dynamic	3/4	4	1	0					ff												
26	24	70	73	0.0		0	0	Chord	3/4	4	1	0	acciaccatura	1/16	1	227													
26	24	70	73	0.5		0	0	Chord	3/4	4	1	1/8		1/8	1	228									27				
26	24	141/2	147/2	0.5		1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	229									27				
26	24	71	74	0.5		1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	230									27				
26	24	143/2	149/2	0.5		3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	231									27				
26	24	72	75	0.5		1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	232									27				
26	24	145/2	151/2	0.5		5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	233													
27	25	73	76	0.0		0	0	Dynamic	3/4	1	1	0					sf												
27	25	73	76	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	234													
27	25	73	76	0.0		0	0	Dynamic	3/4	2	1	0					sf												
27	25	73	76	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	235													
27	25	73	76	0.0		0	0	Dynamic	3/4	3	1	0					sf												
27	25	73	76	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	236													
27	25	73	76	0.0		0	0	Dynamic	3/4	4	1	0					sf												
27	25	73	76	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	237													
28	26	76	79	0.0		0	0	Dynamic	3/4	1	1	0					sf												
28	26	76	79	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	238													
28	26	76	79	0.0		0	0	Dynamic	3/4	2	1	0					sf												
28	26	76	79	3.0		0	0	Chord	3/4	2	1	3/4		1/2	3/2	239													
28	26	76	79	0.0		0	0	Dynamic	3/4	3	1	0					sf												
28	26	76	79	3.0		0	0	Chord	3/4	3	1	3/4		1/2	3/2	240													
28	26	76	79	0.0		0	0	Dynamic	3/4	4	1	0					sf												
28	26	76	79	3.0		0	0	Chord	3/4	4	1	3/4		1/2	3/2	241													
29	27	79	82	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	242													
29	27	80	83	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	243													
29	27	81	84	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	244													
29	27	79	82	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	245													
29	27	80	83	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	246													
29	27	81	84	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	247													
29	27	79	82	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	248													
29	27	80	83	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	249													
29	27	81	84	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	250													
29	27	79	82	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	251													
29	27	80	83	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	252													
29	27	81	84	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	253													
30	28	82	85	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	254													
30	28	83	86	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	255													
30	28	84	87	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	256													
30	28	82	85	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	257													
30	28	83	86	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	258													
30	28	84	87	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	259													
30	28	82	85	1.0		0	0	Chord	3/4	3	1	1/4		1/4	1	260													
30	28	83	86	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	261													
30	28	84	87	1.0		1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	262													
30	28	82	85	1.0		0	0	Chord	3/4	4	1	1/4		1/4	1	263													
30	28	83	86	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	264													
30	28	84	87	1.0		1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	265													
