mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	35		articStaccatoBelow								5			
3	3	5	5	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	36		articStaccatoBelow								5			
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	37		articStaccatoBelow								5			
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	38		articStaccatoBelow								5			
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	39		articStaccatoBelow											
3	3	4	4	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	40													
3	3	5	5	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	41													
3	3	4	4	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	42													
3	3	5	5	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	43													
4	4	6	6	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	44		articStaccatoAbove								4			
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	45		articStaccatoAbove								4			
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	46		articStaccatoAbove								4			
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	47		articStaccatoAbove								4			
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	48													
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	49		articStaccatoBelow								6			
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	50		articStaccatoBelow								6			
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	51		articStaccatoBelow								6			
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	52		articStaccatoBelow								6			
4	4	7	7	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	53		articStaccatoBelow								6			
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	54		articStaccatoBelow								6			
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	55		articStaccatoBelow								6			
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	56		articStaccatoBelow											
4	4	6	6	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	57													
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	58													
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	59													
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	60													
4	4	6	6	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	61													
4	4	7	7	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	62													
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	63													
5	5	8	8	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	64										7			
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	65													
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	66		articStaccatoBelow								8			
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	67		articStaccatoBelow								8			
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	68		articStaccatoBelow								8			
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	69		articStaccatoBelow								8			
5	5	9	9	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	70		articStaccatoBelow								8			
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	71		articStaccatoBelow								8			
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	72		articStaccatoBelow								8			
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	73		articStaccatoBelow											
5	5	8	8	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	74													
5	5	9	9	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	75													
5	5	8	8	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	76													
5	5	9	9	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	77													
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	78													
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	79													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	80										9			
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	81													
6	6	10	10	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	82		articStaccatoBelow								10			
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	83		articStaccatoBelow								10			
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	84										10			
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	85		articStaccatoBelow								10			
6	6	11	11	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	86		articStaccatoBelow								10			
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	87		articStaccatoBelow								10			
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	88		articStaccatoBelow								10			
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	89		articStaccatoBelow											
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	90													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	91													
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	92													
6	6	10	10	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	93													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	94													
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	95													
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	96													
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	97		articStaccatoAbove								11			
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	98		articStaccatoAbove								11			
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	99		articStaccatoAbove								11			
7	7	12	12	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	100													
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	101													
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	102													
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	103													
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	104													
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	105													
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	106													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	107													
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	108													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	109													
7	7	12	12	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	110													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	111													
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	112		articStaccatoAbove								11			
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	113		articStaccatoAbove								11			
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	114		articStaccatoAbove								11			
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	115		articStaccatoAbove								11			
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	116													
8	8	14	14	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	117													
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	118													
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	119													
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	120													
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	121													
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	122													
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	123													
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	124													
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	125													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	126													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	127													
8	8	14	14	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	128													
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	129													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	130													
9	9	16	16	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	131		articAccentBelow											
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	132										12			
9	9	16	16	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	133													
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	134													
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	135													
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	136													
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	137													
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	138													
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	139													
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	140													
9	9	16	16	0.0	0	0	Dynamic	2/4	3	1	0					p												
9	9	16	16	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	141													
9	9	16	16	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	142													
9	9	17	17	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	143													
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	144													
10	10	37/2	37/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															0		
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	145										13	0		
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	1	1	0														13			
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	1	1	0														13		0	
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	146										13		0	
10	10	39/2	39/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	147													
10	10	18	18	0.0	0	0	Spanner	2/4	2	1	0															1		
10	10	18	18	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	148											1		
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	149											1		
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	150											1		
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	151											1		
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
10	10	19	19	0.0	1/4	1/4	Spanner	2/4	2	1	0																1	
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	152												1	
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	153												1	
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	154												1	
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	155												1	
10	10	18	18	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	156													
10	10	19	19	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	157													
10	10	18	18	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	158													
10	10	19	19	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	159													
11	11	20	20	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	160		articAccentBelow											
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	161										14			
11	11	20	20	0.0	0	0	Spanner	2/4	2	1	0																	
11	11	20	20	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	162													
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	163													
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	164													
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	165													
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	166													
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	167													
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	168													
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	169													
11	11	20	20	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	170													
11	11	20	20	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	171													
11	11	21	21	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	172													
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	173													
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	174													
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	175													
12	12	22	22	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	176													
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	177													
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	178													
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	179													
12	12	23	23	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	180													
12	12	93/4	93/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	181													
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	182													
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	183													
12	12	22	22	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	184													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	185													
12	12	22	22	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	186													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	187													
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	188													
13	13	24	24	0.0	0	0	StaffText	2/4	1	1	0							cresc.										
13	13	24	24	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	189		articAccentAbove								15			
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	190													
13	13	97/4	97/4	0.0	1/16	1/16	StaffText	2/4	2	1	0							cresc.										
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	191													
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	192													
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	193													
13	13	25	25	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	194													
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	195													
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	196													
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	197													
13	13	24	24	0.0	0	0	StaffText	2/4	3	1	0							cresc.										
13	13	24	24	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	198										16			
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	199													
13	13	24	24	0.0	0	0	StaffText	2/4	4	1	0							cresc.										
13	13	24	24	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	200													
13	13	25	25	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	201													
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	202													
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	203													
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	204										17			
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	205													
14	14	26	26	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	206													
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	207													
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	208													
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	209													
14	14	27	27	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	210													
14	14	109/4	109/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	211													
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	212													
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	213													
14	14	26	26	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	214										18			
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	215													
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	216													
14	14	26	26	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	217													
14	14	27	27	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	218													
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	219													
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	220													
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	221		articStaccatoAbove								19			
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	222		articStaccatoAbove								19			
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	223		articStaccatoAbove								19			
15	15	28	28	0.0	0	0	Dynamic	2/4	2	1	0					p												
15	15	28	28	0.0	0	0	Dynamic	2/4	2	1	0					p												
15	15	28	28	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	224													
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	225													
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	226													
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	227													
15	15	29	29	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	228													
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	229													
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	230													
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	231													
15	15	28	28	0.0	0	0	Dynamic	2/4	3	1	0					p												
15	15	28	28	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	232										20			
15	15	29	29	1.0	1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	233													
15	15	28	28	0.0	0	0	Dynamic	2/4	4	1	0					p												
15	15	28	28	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	234													
15	15	29	29	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	235													
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	236													
16	16	30	30	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	237		articStaccatoAbove								19			
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	238		articStaccatoAbove								19			
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	239		articStaccatoAbove								19			
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	240		articStaccatoAbove								19			
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	241													
16	16	30	30	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	242													
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	243													
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	244													
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	245													
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	246													
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	247													
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	248													
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	249													
16	16	30	30	0.75	0	0	Chord	2/4	3	1	3/16		1/8	3/2	250													
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	251													
16	16	31	31	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	252													
16	16	30	30	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	253													
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	254													
16	16	31	31	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	255													
17	17	32	32	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	256		articAccentBelow											
