mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								Allegretto	116.0			1.0	
1	0	0	0	0.0		0	3/8	Tempo	2/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0					p								
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0									
1	0	0	0	0.0		0	3/8	Dynamic	2/4	2	1	0					p								
1	0	0	0	0.5		0	3/8	Chord	2/4	2	1	1/8		1/8	1	1		articStaccatoBelow							
2	1	1/2	1/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	2		articStaccatoBelow							
2	1	1	1	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	3		articStaccatoBelow							
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	4		articStaccatoBelow							
2	1	2	2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	5		articStaccatoBelow							
2	1	1/2	1/2	0.0		0	0	StaffText	2/4	2	1	0							pizz.						
2	1	1/2	1/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	6		articStaccatoBelow							
2	1	1	1	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	7		articStaccatoBelow							
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	8		articStaccatoBelow							
2	1	2	2	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9		articStaccatoBelow							
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	3	1	0					p								
2	1	1/2	1/2	0.0		0	0	StaffText	2/4	3	1	0							pizz.						
2	1	1/2	1/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	10									
2	1	1	1	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	11									
2	1	3/2	3/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	12									
2	1	2	2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	13									
2	1	1/2	1/2	0.0		0	0	Dynamic	2/4	4	1	0					p								
2	1	1/2	1/2	1.0		0	0	Chord	2/4	4	1	1/4		1/4	1	14									
3	2	5/2	5/2	0.75		0	0	Chord	2/4	1	1	3/16		1/8	3/2	15									0
3	2	13/4	13/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	16									
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	17		articStaccatoAbove							
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	18		articStaccatoAbove							
3	2	5/2	5/2	0.75		0	0	Chord	2/4	2	1	3/16		1/8	3/2	19									1
3	2	13/4	13/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	20									
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	21		articStaccatoBelow							
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	22		articStaccatoBelow							
3	2	5/2	5/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	23									
3	2	3	3	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	24									
3	2	7/2	7/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	25									
3	2	4	4	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	26									
3	2	4	4	0.0		3/8	3/8	StaffText	2/4	4	1	0							arco						
3	2	4	4	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	27		articStaccatoBelow							
4	3	9/2	9/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	28									
4	3	5	5	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	29									
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	30									
4	3	6	6	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	31									
4	3	9/2	9/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	32									
4	3	5	5	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	33									
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	34									
4	3	6	6	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	35									
4	3	9/2	9/2	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	36									
4	3	5	5	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	37									
4	3	11/2	11/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	38									
4	3	6	6	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	39									
