mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Trill:trill
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	230											3			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	1	1	0																			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	1	1	0																		3	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	231		articStaccatoBelow											3	
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	232		articStaccatoBelow											3	
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	233		articStaccatoBelow											3	
15	14	79/2	79/2	0.0	0	0	Spanner	6/8	2	1	0																4			
15	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	234		articStaccatoBelow									4			
15	14	40	40	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	235		articStaccatoBelow									4			
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	236		articStaccatoBelow									4			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	2	1	0																			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	2	1	0																		4	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	237		articStaccatoBelow											4	
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	238		articStaccatoBelow											4	
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	239		articStaccatoBelow											4	
15	14	79/2	79/2	0.0	0	0	Spanner	6/8	3	1	0																5			
15	14	79/2	79/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	240		articStaccatoAbove									5			
15	14	40	40	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	241		articStaccatoAbove									5			
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	242		articStaccatoAbove									5			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	3	1	0																			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	3	1	0																		5	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	243		articStaccatoAbove											5	
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	244		articStaccatoAbove											5	
15	14	42	42	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	245		articStaccatoAbove											5	
15	14	81/2	81/2	0.0	1/4	1/4	Spanner	6/8	4	1	0																6			
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	246		articStaccatoBelow									6			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	4	1	0																			
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	4	1	0																		6	
15	14	41	41	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	247		articStaccatoBelow											6	
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	248		articStaccatoBelow											6	
15	14	42	42	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	249		articStaccatoBelow											6	
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	1	1	0																			
16	15	85/2	85/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	250		articStaccatoBelow												
16	15	43	43	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	251		articStaccatoBelow												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	252		articStaccatoBelow												
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	253		articStaccatoBelow												
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	254		articStaccatoBelow												
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	255		articStaccatoBelow												
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	2	1	0																			
16	15	85/2	85/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	256		articStaccatoBelow												
16	15	43	43	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	257		articStaccatoBelow												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	258		articStaccatoBelow												
16	15	44	44	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	259		articStaccatoBelow												
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	260		articStaccatoBelow												
16	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	261		articStaccatoBelow												
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	3	1	0																			
16	15	85/2	85/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	262		articStaccatoAbove												
16	15	43	43	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	263		articStaccatoAbove												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	264		articStaccatoAbove												
16	15	44	44	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	265		articStaccatoAbove												
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	266		articStaccatoAbove												
16	15	45	45	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	267		articStaccatoAbove												
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	4	1	0																			
16	15	85/2	85/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	268		articStaccatoBelow												
16	15	43	43	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	269		articStaccatoBelow												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	270		articStaccatoBelow												
16	15	44	44	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	271		articStaccatoBelow												
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	272		articStaccatoBelow												
16	15	45	45	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	273		articStaccatoBelow												
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	1	1	0						p													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	274		articStaccatoBelow												
17	16	46	46	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	275		articStaccatoBelow												
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	276		articStaccatoBelow												
17	16	47	47	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	277														
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	2	1	0						p													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	278		articStaccatoBelow												
17	16	46	46	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	279		articStaccatoBelow												
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	280		articStaccatoBelow												
17	16	47	47	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	281														
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	3	1	0						p													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	282		articStaccatoBelow												
17	16	46	46	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	283		articStaccatoBelow												
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	284		articStaccatoBelow												
17	16	47	47	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	285														
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	4	1	0						p													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	286		articStaccatoBelow												
17	16	46	46	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	287		articStaccatoBelow												
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	288		articStaccatoBelow												
17	16	47	47	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	289														
18	16	48	48	0.5	0	5/8	Chord	6/8	1	1	1/8			1/8	1	290														
18	16	48	48	0.5	0	5/8	Chord	6/8	2	1	1/8			1/8	1	291														
18	16	48	48	0.5	0	5/8	Chord	6/8	3	1	1/8			1/8	1	292														
18	16	48	48	0.5	0	5/8	Chord	6/8	4	1	1/8			1/8	1	293														
19	17	97/2	97/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	294														
19	17	50	50	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	295														
19	17	51	51	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	296														
19	17	97/2	97/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	297														
19	17	50	50	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	298														
19	17	51	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	299														
19	17	97/2	97/2	0.0	0	0	StaffText	6/8	3	1	0								stacc.											
19	17	97/2	97/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	300														
19	17	49	49	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	301														
19	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	302														
19	17	50	50	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	303														
19	17	101/2	101/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	304														
19	17	51	51	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	305														
19	17	97/2	97/2	1.5	0	0	Chord	6/8	4	1	3/8			1/4	3/2	306														
19	17	50	50	1.0	3/8	3/8	Chord	6/8	4	1	1/4			1/4	1	307														
19	17	51	51	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	308														
20	18	103/2	103/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	309														
20	18	53	53	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	310														
20	18	54	54	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	311														
20	18	103/2	103/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	312														
20	18	53	53	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	313														
20	18	54	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	314														
20	18	103/2	103/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	315														
20	18	52	52	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	316														
20	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	317														
20	18	53	53	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	318														
20	18	107/2	107/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	319														
20	18	54	54	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	320														
20	18	103/2	103/2	1.5	0	0	Chord	6/8	4	1	3/8			1/4	3/2	321														
