mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Trill:trill
9	8	47/2	47/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	137		articStaccatoAbove											2	
9	8	24	24	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	138		articStaccatoAbove											2	
9	8	24	24	0.0	5/8	5/8	Dynamic	6/8	4	1	0						p													
9	8	24	24	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	139		articStaccatoBelow												
10	9	49/2	49/2	0.0	0	0	Dynamic	6/8	1	1	0						p													
10	9	49/2	49/2	0.0	0	0	Spanner	6/8	1	1	0																			
10	9	49/2	49/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	140														
10	9	26	26	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	141														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	142														
10	9	49/2	49/2	0.0	0	0	Dynamic	6/8	2	1	0						p													
10	9	49/2	49/2	0.0	0	0	Spanner	6/8	2	1	0																			
10	9	49/2	49/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	143														
10	9	26	26	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	144														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	145														
10	9	49/2	49/2	0.0	0	0	Dynamic	6/8	3	1	0						p													
10	9	49/2	49/2	0.0	0	0	Spanner	6/8	3	1	0																			
10	9	49/2	49/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	146														
10	9	26	26	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	147														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	148														
10	9	49/2	49/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	149		articStaccatoBelow												
10	9	25	25	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	150		articStaccatoBelow												
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	151		articStaccatoBelow												
10	9	26	26	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	152		articStaccatoBelow												
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	153		articStaccatoBelow												
10	9	27	27	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	154														
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	155														
11	10	29	29	1.0	3/8	3/8	Chord	6/8	1	1	1/4			1/4	1	156														
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	157														
11	10	55/2	55/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	158														
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4			1/4	1	159														
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	160														
11	10	55/2	55/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	161														
11	10	29	29	1.0	3/8	3/8	Chord	6/8	3	1	1/4			1/4	1	162														
11	10	30	30	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	163														
11	10	55/2	55/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	164		articStaccatoBelow												
