mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0									Adagio	30.0			1.0					
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0									𝅘𝅥𝅮=80	40.0	𝅘𝅥𝅮	80.0	0.0					
1	0	0	0	0.0	0	3/8	Dynamic	2/4	4	1	0						p												
1	0	0	0	0.0	0	3/8	StaffText	2/4	4	1	0								arco										
1	0	0	0	0.5	0	3/8	Chord	2/4	4	1	1/8			1/8	1	0									0				
2	1	2	2	0.0	3/8	3/8	Dynamic	2/4	1	1	0						p												
2	1	2	2	0.0	3/8	3/8	StaffText	2/4	1	1	0								arco										
2	1	2	2	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	1									1				
2	1	19/8	19/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	2													
2	1	2	2	0.0	3/8	3/8	Dynamic	2/4	2	1	0						p												
2	1	2	2	0.0	3/8	3/8	StaffText	2/4	2	1	0								arco										
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	3													
2	1	1/2	1/2	0.0	0	0	StaffText	2/4	3	1	0								arco										
2	1	2	2	0.0	3/8	3/8	Dynamic	2/4	3	1	0						p												
2	1	2	2	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	4													
2	1	1/2	1/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	5									0				
2	1	1	1	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	6									0				
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	7									0				
2	1	2	2	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	8													
3	2	5/2	5/2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	9									2				
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	10													
3	2	4	4	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	11									3				
3	2	35/8	35/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	12													
3	2	5/2	5/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	13													
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	14													
3	2	5/2	5/2	1.5	0	0	Chord	2/4	3	1	3/8			1/4	3/2	15													
3	2	4	4	0.5	3/8	3/8	Chord	2/4	3	1	1/8			1/8	1	16													
3	2	5/2	5/2	1.5	0	0	Chord	2/4	4	1	3/8			1/4	3/2	17													
3	2	4	4	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	18													
4	3	9/2	9/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	19									4				
4	3	5	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	20									4				
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	21									4				
4	3	6	6	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	22													
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	23													
4	3	5	5	1.0	1/8	1/8	Chord	2/4	2	1	1/4			1/4	1	24													
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	25													
4	3	9/2	9/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	26													
