mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	crescendo_line
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Prestoagitato𝅗𝅥.=72	126.0	Prestoagitato𝅗𝅥.	72.0	1.0					
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0					mf													
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	0														
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1														
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	2														
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					f													
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	3		articAccentBelow												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	4														
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	5														
1	1	2	2	0.0	1/2	1/2	Dynamic	3/4	2	1	0					p													
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	6														
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0					f													
1	1	0	0	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	7		articAccentBelow												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	8														
1	1	1	1	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	9														
1	1	2	2	0.0	1/2	1/2	Dynamic	3/4	3	1	0					p													
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	10														
1	1	0	0	0.0	0	0	Dynamic	3/4	4	1	0					f													
1	1	0	0	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	11		articAccentBelow												
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	12														
1	1	1	1	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	13														
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	14										0				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15														
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	16														
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17														
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	18		articAccentBelow												
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	19														
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	20														
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	21														
2	2	3	3	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	22		articAccentBelow												
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	23														
2	2	4	4	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	24														
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	25														
3	3	6	6	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	26										1				
