mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0									Presto	187.0			1.0			
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0									𝅗𝅥=90	180.0	𝅗𝅥	90.0	0.0			
1	1	0	0	0.0	0	0	Dynamic	2/2	2	1	0						sf										
1	1	0	0	0.0	0	0	StaffText	2/2	2	1	0								<i>trem.</i>								
1	1	0	0	0.25	0	0	Chord	2/2	2	1	1/16			1/16	1	0											
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/2	2	1	1/16			1/16	1	1											
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/2	2	1	1/16			1/16	1	2											
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/2	2	1	1/16			1/16	1	3											
1	1	1	1	0.25	1/4	1/4	Chord	2/2	2	1	1/16			1/16	1	4											
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/2	2	1	1/16			1/16	1	5											
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/2	2	1	1/16			1/16	1	6											
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/2	2	1	1/16			1/16	1	7											
1	1	2	2	0.0	1/2	1/2	StaffText	2/2	2	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	8											
1	1	0	0	0.0	0	0	Dynamic	2/2	3	1	0						sf										
1	1	0	0	0.0	0	0	StaffText	2/2	3	1	0								<i>trem.</i>								
1	1	0	0	0.25	0	0	Chord	2/2	3	1	1/16			1/16	1	9											
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/2	3	1	1/16			1/16	1	10											
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/2	3	1	1/16			1/16	1	11											
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/2	3	1	1/16			1/16	1	12											
1	1	1	1	0.25	1/4	1/4	Chord	2/2	3	1	1/16			1/16	1	13											
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/2	3	1	1/16			1/16	1	14											
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/2	3	1	1/16			1/16	1	15											
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/2	3	1	1/16			1/16	1	16											
1	1	2	2	0.0	1/2	1/2	StaffText	2/2	3	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
1	1	2	2	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	17											
1	1	0	0	0.0	0	0	Dynamic	2/2	4	1	0						sf										
1	1	0	0	0.0	0	0	StaffText	2/2	4	1	0								<i>trem.</i>								
1	1	0	0	0.25	0	0	Chord	2/2	4	1	1/16			1/16	1	18											
1	1	1/4	1/4	0.25	1/16	1/16	Chord	2/2	4	1	1/16			1/16	1	19											
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/2	4	1	1/16			1/16	1	20											
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/2	4	1	1/16			1/16	1	21											
1	1	1	1	0.25	1/4	1/4	Chord	2/2	4	1	1/16			1/16	1	22											
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/2	4	1	1/16			1/16	1	23											
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/2	4	1	1/16			1/16	1	24											
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/2	4	1	1/16			1/16	1	25											
1	1	2	2	0.0	1/2	1/2	StaffText	2/2	4	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"								
1	1	2	2	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	26											
2	2	4	4	0.0	0	0	StaffText	2/2	1	1	0								<i>ad libitum</i>								
2	2	4	4	0.0	0	0	Dynamic	2/2	1	1	0						ff										
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	27											
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	28									0		
2	2	7	7	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	29											
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	30		articStaccatoBelow									
2	2	4	4	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	31											
2	2	6	6	0.0	1/2	1/2	Dynamic	2/2	2	1	0						p										
2	2	6	6	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	32											
2	2	4	4	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	33											
2	2	6	6	0.0	1/2	1/2	Dynamic	2/2	3	1	0						p										
2	2	6	6	0.0	1/2	1/2	Dynamic	2/2	3	1	0						p										
2	2	6	6	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	34											
2	2	4	4	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	35											
2	2	6	6	0.0	1/2	1/2	Dynamic	2/2	4	1	0						p										
2	2	6	6	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	36											
3	3	8	8	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	37									1		
3	3	9	9	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	38											
3	3	11	11	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	39											
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	40											
3	3	10	10	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	41											
3	3	8	8	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	42											
3	3	10	10	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	43											
3	3	8	8	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	44											
3	3	10	10	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	45											
4	4	12	12	3.0	0	0	Chord	2/2	1	1	3/4			1/2	3/2	46											
4	4	15	15	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	47											
4	4	12	12	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	48											
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	49											
4	4	12	12	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	50											
4	4	14	14	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	51											
4	4	12	12	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	52											
4	4	14	14	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	53											
5	5	16	16	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	54									2		
5	5	17	17	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	55											
5	5	19	19	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	56									3		
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	57											
5	5	18	18	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	58											
5	5	16	16	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	59											
5	5	18	18	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	60											
5	5	16	16	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	61											
5	5	18	18	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	62											
6	6	20	20	0.0	0	0	StaffText	2/2	1	1	0								"<font face=""Plantin MT Std""/><i>dim.</i>"						3		
6	6	20	20	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	63									3		
6	6	21	21	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	64											
6	6	45/2	45/2	0.0	5/8	5/8	Dynamic	2/2	1	1	0						f										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	65									4		
6	6	23	23	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	66											
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	67									5		
6	6	20	20	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	68											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	69											
6	6	20	20	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	70											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	71											
6	6	20	20	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	72											
6	6	22	22	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	73											
7	7	24	24	2.0	0	0	Chord	2/2	1	1	1/2			1/2	1	74									5		
7	7	26	26	2.0	1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	75											
7	7	24	24	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	76											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	77											
7	7	24	24	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	78											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	79											
7	7	24	24	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	80											
7	7	26	26	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	81											
8	8	28	28	0.3333333333333333	0	0	Chord	2/2	1	1	1/12			1/8	2/3	82									6		
8	8	85/3	85/3	0.3333333333333333	1/12	1/12	Chord	2/2	1	1	1/12			1/8	2/3	83									6		
8	8	86/3	86/3	0.3333333333333333	1/6	1/6	Chord	2/2	1	1	1/12			1/8	2/3	84									6		
8	8	29	29	0.3333333333333333	1/4	1/4	Chord	2/2	1	1	1/12			1/8	2/3	85									6		
8	8	88/3	88/3	0.3333333333333333	1/3	1/3	Chord	2/2	1	1	1/12			1/8	2/3	86									6		
8	8	89/3	89/3	0.3333333333333333	5/12	5/12	Chord	2/2	1	1	1/12			1/8	2/3	87									6		
8	8	30	30	1.5	1/2	1/2	Chord	2/2	1	1	3/8			1/4	3/2	88									6		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	89											
8	8	28	28	2.0	0	0	Chord	2/2	2	1	1/2		r16	1/2	1	90											
8	8	30	30	2.0	1/2	1/2	Chord	2/2	2	1	1/2		r16	1/2	1	91											
8	8	28	28	2.0	0	0	Chord	2/2	3	1	1/2		r16	1/2	1	92											
8	8	30	30	2.0	1/2	1/2	Chord	2/2	3	1	1/2		r16	1/2	1	93											
8	8	28	28	2.0	0	0	Chord	2/2	4	1	1/2		r16	1/2	1	94											
8	8	30	30	2.0	1/2	1/2	Chord	2/2	4	1	1/2		r16	1/2	1	95											
9	9	32	32	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	96									7		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	97											
9	9	33	33	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	98		articStaccatoAbove									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	99		articStaccatoAbove									
9	9	34	34	0.0	1/2	1/2	Dynamic	2/2	1	1	0						pp										
9	9	34	34	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	100									8		
9	9	69/2	69/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	101											
9	9	35	35	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	102		articStaccatoAbove									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	103		articStaccatoAbove									
9	9	32	32	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	104											
9	9	35	35	0.0	3/4	3/4	Dynamic	2/2	2	1	0						pp										
9	9	35	35	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	105		articStaccatoAbove									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	106		articStaccatoAbove									
9	9	32	32	1.0	0	0	Chord	2/2	3	1	1/4			1/4	1	107											
9	9	32	32	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	108											
10	10	36	36	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	109									9		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	110											
10	10	37	37	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	111		articStaccatoAbove									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	112		articStaccatoAbove									
10	10	38	38	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	113									10		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	114											
10	10	39	39	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	115		articStaccatoAbove									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	116		articStaccatoAbove									
10	10	36	36	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	117									11		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	118											
10	10	37	37	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	119		articStaccatoAbove									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	120		articStaccatoAbove									
10	10	38	38	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	121									12		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	122											
10	10	39	39	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	123		articStaccatoAbove									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	124		articStaccatoAbove									
10	10	37	37	0.0	1/4	1/4	Dynamic	2/2	3	1	0						pp										
10	10	37	37	0.5	1/4	1/4	Chord	2/2	3	1	1/8			1/8	1	125		articStaccatoAbove									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	126		articStaccatoAbove									
10	10	38	38	0.5	1/2	1/2	Chord	2/2	3	1	1/8			1/8	1	127									13		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8			1/8	1	128											
10	10	39	39	0.5	3/4	3/4	Chord	2/2	3	1	1/8			1/8	1	129		articStaccatoAbove									
10	10	79/2	79/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	130		articStaccatoAbove									
11	11	40	40	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	131									14		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	132											
11	11	41	41	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	133		articStaccatoAbove									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	134		articStaccatoAbove									
11	11	42	42	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	135									15		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	136											
11	11	43	43	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	137		articStaccatoBelow									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	138		articStaccatoBelow									
11	11	40	40	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	139									16		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	140											
11	11	41	41	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	141		articStaccatoBelow									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	142		articStaccatoBelow									
11	11	42	42	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	143									17		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	144											
11	11	43	43	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	145		articStaccatoBelow									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	146		articStaccatoBelow									
11	11	40	40	0.5	0	0	Chord	2/2	3	1	1/8			1/8	1	147									18		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8			1/8	1	148											
11	11	41	41	0.5	1/4	1/4	Chord	2/2	3	1	1/8			1/8	1	149		articStaccatoAbove									
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8			1/8	1	150		articStaccatoAbove									
11	11	42	42	0.5	1/2	1/2	Chord	2/2	3	1	1/8			1/8	1	151									19		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8			1/8	1	152											
11	11	43	43	0.5	3/4	3/4	Chord	2/2	3	1	1/8			1/8	1	153		articStaccatoAbove									
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8			1/8	1	154		articStaccatoAbove									
11	11	40	40	0.0	0	0	Dynamic	2/2	4	1	0						pp										
11	11	40	40	0.0	0	0	StaffText	2/2	4	1	0								pizz.								
11	11	40	40	1.0	0	0	Chord	2/2	4	1	1/4			1/4	1	155											
12	12	44	44	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	156									20		
12	12	89/2	89/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	157											
12	12	45	45	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	158		articStaccatoBelow									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	159		articStaccatoBelow									
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	160									21		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	161											
12	12	47	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	162		articStaccatoBelow									
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	163		articStaccatoBelow									
12	12	44	44	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	164									22		
12	12	89/2	89/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	165											
12	12	45	45	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	166		articStaccatoBelow									
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	167		articStaccatoBelow									
12	12	46	46	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	168									23		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	169											
