mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0	0	5/8	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><b>Adagio.</b>"								
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
1	0	0	0	0.0	0	5/8	Dynamic	3/4	1	1	0						mf										
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8			1/8	1	0											
1	0	0	0	0.0	0	5/8	Dynamic	3/4	2	1	0						mf										
1	0	0	0	0.5	0	5/8	Chord	3/4	2	1	1/8			1/8	1	1											
1	0	0	0	0.0	0	5/8	Dynamic	3/4	3	1	0						mf										
1	0	0	0	0.0	0	5/8	Dynamic	3/4	3	1	0						mf										
1	0	0	0	0.5	0	5/8	Chord	3/4	3	1	1/8			1/8	1	2											
1	0	0	0	0.0	0	5/8	Dynamic	3/4	4	1	0						mf										
1	0	0	0	0.5	0	5/8	Chord	3/4	4	1	1/8			1/8	1	3											
2	1	1/2	1/2	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	4									0		
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	5											
2	1	1/2	1/2	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	6									1		
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	7											
2	1	1/2	1/2	2.0	0	0	Chord	3/4	3	1	1/2			1/2	1	8									2		
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	9											
2	1	1/2	1/2	2.0	0	0	Chord	3/4	4	1	1/2			1/2	1	10									3		
2	1	5/2	5/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	11											
3	2	7/2	7/2	0.0	0	0	Dynamic	3/4	1	1	0						p										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	12											
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	13											
3	2	7/2	7/2	0.0	0	0	Dynamic	3/4	2	1	0						p										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	14											
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	15											
3	2	7/2	7/2	0.0	0	0	Dynamic	3/4	3	1	0						p										
3	2	7/2	7/2	0.0	0	0	Dynamic	3/4	3	1	0						p										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	16											
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	17											
3	2	7/2	7/2	0.0	0	0	Dynamic	3/4	4	1	0						p										
3	2	7/2	7/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	18											
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	19											
4	3	13/2	13/2	0.0	0	0	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
4	3	13/2	13/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	20											
4	3	8	8	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	21		articStaccatoBelow							4		
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	22		articStaccatoBelow							4		
4	3	9	9	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	23		articStaccatoBelow									
4	3	13/2	13/2	0.0	0	0	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
4	3	13/2	13/2	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	24											
4	3	8	8	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	25		articStaccatoBelow							5		
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	26		articStaccatoBelow							5		
4	3	9	9	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	27		articStaccatoBelow									
4	3	13/2	13/2	0.0	0	0	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
4	3	13/2	13/2	1.5	0	0	Chord	3/4	3	1	3/8			1/4	3/2	28											
4	3	8	8	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	29		articStaccatoBelow							6		
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	30		articStaccatoBelow							6		
4	3	9	9	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	31		articStaccatoBelow									
4	3	13/2	13/2	0.0	0	0	StaffText	3/4	4	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
4	3	13/2	13/2	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	32											
4	3	8	8	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	33		articStaccatoBelow							7		
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	34		articStaccatoBelow							7		
4	3	9	9	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	35		articStaccatoBelow									
5	4	19/2	19/2	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	36									8		
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	37											
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	38											
5	4	19/2	19/2	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	39									9		
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	40											
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	2	1	0						p										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	41											
5	4	19/2	19/2	1.0	0	0	Chord	3/4	3	1	1/4			1/4	1	42									10		
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	43											
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	3	1	0						p										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	44											
5	4	19/2	19/2	1.0	0	0	Chord	3/4	4	1	1/4			1/4	1	45									11		
5	4	21/2	21/2	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	46											
5	4	12	12	0.0	5/8	5/8	Dynamic	3/4	4	1	0						p										
5	4	12	12	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	47											
6	5	25/2	25/2	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	48									12		
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	49									12		
6	5	25/2	25/2	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	50									13		
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	51									13		
6	5	25/2	25/2	2.0	0	0	Chord	3/4	3	1	1/2			1/2	1	52									14		
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	53									14		
6	5	25/2	25/2	2.0	0	0	Chord	3/4	4	1	1/2			1/2	1	54									15		
6	5	29/2	29/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	55									15		
7	6	31/2	31/2	0.0	0	0	Dynamic	3/4	1	1	0						pp										
7	6	31/2	31/2	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	56											
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	57											
7	6	31/2	31/2	0.0	0	0	Dynamic	3/4	2	1	0						pp										
7	6	31/2	31/2	2.0	0	0	Chord	3/4	2	1	1/2			1/2	1	58											
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	59											
7	6	31/2	31/2	0.0	0	0	Dynamic	3/4	3	1	0						pp										
7	6	31/2	31/2	2.0	0	0	Chord	3/4	3	1	1/2			1/2	1	60											
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	3	1	1/4			1/4	1	61											
7	6	31/2	31/2	0.0	0	0	Dynamic	3/4	4	1	0						pp										
7	6	31/2	31/2	2.0	0	0	Chord	3/4	4	1	1/2			1/2	1	62											
7	6	35/2	35/2	1.0	1/2	1/2	Chord	3/4	4	1	1/4			1/4	1	63											
8	7	37/2	37/2	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	64											
8	7	20	20	0.0	3/8	3/8	StaffText	3/4	1	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
8	7	20	20	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	65		articStaccatoAbove							16		
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	66		articStaccatoAbove							16		
8	7	21	21	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	67		articStaccatoAbove									
8	7	37/2	37/2	1.5	0	0	Chord	3/4	2	1	3/8			1/4	3/2	68											
8	7	20	20	0.0	3/8	3/8	StaffText	3/4	2	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
8	7	20	20	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	69		articStaccatoBelow							17		
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	70		articStaccatoBelow							17		
8	7	21	21	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	71		articStaccatoBelow									
8	7	37/2	37/2	1.5	0	0	Chord	3/4	3	1	3/8			1/4	3/2	72											
8	7	20	20	0.0	3/8	3/8	StaffText	3/4	3	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
8	7	20	20	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	73		articStaccatoAbove							18		
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	74		articStaccatoAbove							18		
8	7	21	21	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	75		articStaccatoAbove									
8	7	37/2	37/2	1.5	0	0	Chord	3/4	4	1	3/8			1/4	3/2	76											
8	7	20	20	0.0	3/8	3/8	StaffText	3/4	4	1	0								"<font face=""Plantin MT Std""/><i>cresc.</i>"								
8	7	20	20	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	77		articStaccatoBelow							19		
8	7	41/2	41/2	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	78		articStaccatoBelow							19		
8	7	21	21	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	79		articStaccatoBelow									
9	8	43/2	43/2	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	80		articAccentAbove							20		
9	8	45/2	45/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	81											
