mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									Allegrodimolto𝅗𝅥.=126	63.0	Allegrodimolto𝅗𝅥.	126.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0						f											
1	1	0	0	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	0												
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	1												
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	2												
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	3												
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	4		articStaccatoAbove										
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						p											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	5		articStaccatoAbove										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	6		articStaccatoAbove										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	7		articStaccatoAbove										
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0						f											
1	1	0	0	0.25	0	0	Chord	3/4	2	1	1/16			1/16	1	8		articStaccatoAbove										
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	9		articStaccatoAbove										
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	10		articStaccatoAbove										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	11		articStaccatoAbove										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	12		articStaccatoAbove										
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0						p											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	13		articStaccatoAbove										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	14		articStaccatoAbove										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	15		articStaccatoAbove										
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0						f											
1	1	0	0	0.25	0	0	Chord	3/4	3	1	1/16			1/16	1	16												
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	3	1	1/16			1/16	1	17												
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	3	1	1/16			1/16	1	18												
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	3	1	1/16			1/16	1	19												
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	20												
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	3/4	3	1	0						p											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	21		articStaccatoAbove										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	22		articStaccatoAbove										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8			1/8	1	23		articStaccatoAbove										
1	1	0	0	0.0	0	0	Dynamic	3/4	4	1	0						f											
1	1	0	0	0.25	0	0	Chord	3/4	4	1	1/16			1/16	1	24												
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	4	1	1/16			1/16	1	25												
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	4	1	1/16			1/16	1	26												
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	4	1	1/16			1/16	1	27												
1	1	1	1	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	28		articStaccatoAbove										
1	1	3/2	3/2	0.0	3/8	3/8	Dynamic	3/4	4	1	0						p											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	29		articStaccatoAbove										
1	1	2	2	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	30		articStaccatoAbove										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	31		articStaccatoAbove										
2	2	3	3	0.0	0	0	Chord	3/4	1	1	0	grace16		1/16	1	32												
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	33		articStaccatoAbove										
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	34		articStaccatoAbove										
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	35		articStaccatoAbove										
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	36		articStaccatoAbove										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	37		articStaccatoAbove										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	38		articStaccatoAbove										
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	39		articStaccatoBelow										
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	40		articStaccatoBelow										
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	41		articStaccatoBelow										
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	42		articStaccatoBelow										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	43		articStaccatoBelow										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	44		articStaccatoBelow										
2	2	3	3	0.5	0	0	Chord	3/4	3	1	1/8			1/8	1	45		articStaccatoAbove										
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8			1/8	1	46		articStaccatoAbove										
2	2	4	4	0.5	1/4	1/4	Chord	3/4	3	1	1/8			1/8	1	47		articStaccatoAbove										
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8			1/8	1	48		articStaccatoAbove										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	3	1	1/8			1/8	1	49		articStaccatoAbove										
2	2	3	3	0.5	0	0	Chord	3/4	4	1	1/8			1/8	1	50		articStaccatoAbove										
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8			1/8	1	51		articStaccatoAbove										
2	2	4	4	0.5	1/4	1/4	Chord	3/4	4	1	1/8			1/8	1	52		articStaccatoAbove										
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8			1/8	1	53		articStaccatoAbove										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	4	1	1/8			1/8	1	54		articStaccatoAbove										
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8			1/8	1	55		articStaccatoAbove										
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	56		articStaccatoBelow										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	57		articStaccatoBelow										
3	3	7	7	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16		1/16	1	58												
