piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	originalFormat	musicbrainz	imslp	pdf	P86 (composer)	viaf	wikidata	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument	staff_4_ambitus	staff_4_instrument
01op12a	1: 4/4	1: -3	294	292	1168.0	294	292	1168.0		4329.0	3638	1702	0	0	673	Eb	2.1.0	Adrian Nagel		1829	1829	https://en.wikipedia.org/wiki/String_Quartet_No._1_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 1 in E-flat Major	1	Adagio non troppo – Allegro non tardante	Op. 12					2019-07-11	3.02	Microsoft Windows			String Quartet No. 1 in E-flat Major, Op. 12	1. Adagio non troppo – Allegro non tardante	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/01op12a.mscx	False	36-91 (C2-G6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/14f780f2-c9b2-36b0-9275-b1cba267c32b	https://imslp.org/wiki/String_Quartet_No.1%2C_Op.12_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10971	Q46096		https://www.wikidata.org/wiki/Q3413716	55-91 (G3-G6)	Violin	55-84 (G3-C6)	Violin	48-77 (C3-F5)	Viola	36-71 (C2-B4)	Violoncello
01op12b	1: 2/4	1: -2, 33: 1, 92: -2	135	128	261.5	214	206	412.0	[[[80, 81, 82], [83, 84]]]	974.0	1969	780	0	0	349	g	2.1.0	Adrian Nagel		1829	1829	https://en.wikipedia.org/wiki/String_Quartet_No._1_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 1 in E-flat Major	2	Canzonetta: Allegretto	Op. 12					2019-07-11	3.02	Microsoft Windows			String Quartet No. 1 in E-flat Major, Op. 12	2. Canzonetta: Allegretto	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/01op12b.mscx	False	36-91 (C2-G6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/a03f3f27-1777-3f08-bec3-eb5ec3efc904	https://imslp.org/wiki/String_Quartet_No.1%2C_Op.12_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10971	Q46096		https://www.wikidata.org/wiki/Q3413716	55-91 (G3-G6)	Violin	55-84 (G3-C6)	Violin	48-74 (C3-D5)	Viola	36-62 (C2-D4)	Violoncello
01op12c	1: 3/4	1: -2	65	65	195.0	65	65	195.0		705.0	1204	478	0	0	212	Bb	2.1.0	Adrian Nagel		1829	1829	https://en.wikipedia.org/wiki/String_Quartet_No._1_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 1 in E-flat Major	3	Andante espressivo	Op. 12					2019-07-11	3.02	Microsoft Windows			String Quartet No. 1 in E-flat Major, Op. 12	3. Andante espressivo	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/01op12c.mscx	False	36-91 (C2-G6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/6f716f94-2011-3dce-a4e5-c5c83174063d	https://imslp.org/wiki/String_Quartet_No.1%2C_Op.12_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10971	Q46096		https://www.wikidata.org/wiki/Q3413716	55-91 (G3-G6)	Violin	55-79 (G3-G5)	Violin	48-75 (C3-Eb5)	Viola	36-63 (C2-Eb4)	Violoncello
01op12d	1: 12/8, 106: 4/4, 120: 12/8, 229: 4/4	1: -3	313	313	1680.0	313	313	1680.0		6135.0	5902	2423	0	0	771	c	2.1.0	Adrian Nagel		1829	1829	https://en.wikipedia.org/wiki/String_Quartet_No._1_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 1 in E-flat Major	4	Molto allegro e vivace	Op. 12					2019-07-11	3.02	Microsoft Windows			String Quartet No. 1 in E-flat Major, Op. 12	4. Molto allegro e vivace	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/01op12d.mscx	False	36-91 (C2-G6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/3d5d0108-98c4-3485-a8f6-ca775035a870	https://imslp.org/wiki/String_Quartet_No.1%2C_Op.12_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10971	Q46096		https://www.wikidata.org/wiki/Q3413716	55-91 (G3-G6)	Violin	55-84 (G3-C6)	Violin	48-79 (C3-G5)	Viola	36-72 (C2-C5)	Violoncello
02op13a	1: 3/4, 20: 4/4	1: 3, 20: 0	252	251	986.5	252	251	986.5		3742.25	4811	2318	0	0	793	A	2.1.0	Adrian Nagel		1827	1827	https://en.wikipedia.org/wiki/String_Quartet_No._2_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 2 in A Minor	1	Adagio – Allegro vivace	Op. 13					2019-07-11	3.02	Microsoft Windows			String Quartet No. 2 in A Minor, Op. 13	1. Adagio – Allegro vivace	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/02op13a.mscx	False	36-95 (C2-B6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/2692d34d-ec8a-3130-b4f2-dfe52cbe5046	https://imslp.org/wiki/String_Quartet_No.2%2C_Op.13_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10972	Q46096		https://www.wikidata.org/wiki/Q3413722	55-95 (G3-B6)	Violin	55-88 (G3-E6)	Violin	48-76 (C3-E5)	Viola	36-74 (C2-D5)	Violoncello
02op13b	1: 3/4, 46: 4/4, 53: 3/4, 89: 4/4, 93: 3/4	1: -1	125	125	386.0	125	125	386.0		1366.12	2475	1073	0	0	544	F	2.1.0	Adrian Nagel		1827	1827	https://en.wikipedia.org/wiki/String_Quartet_No._2_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 2 in A Minor	2	Adagio non lento	Op. 13					2019-07-11	3.02	Microsoft Windows			String Quartet No. 2 in A Minor, Op. 13	2. Adagio non lento	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/02op13b.mscx	False	36-93 (C2-A6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/55514ced-9242-36a7-bbc8-da443906591a	https://imslp.org/wiki/String_Quartet_No.2%2C_Op.13_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10972	Q46096		https://www.wikidata.org/wiki/Q3413722	55-93 (G3-A6)	Violin	55-86 (G3-D6)	Violin	48-77 (C3-F5)	Viola	36-70 (C2-Bb4)	Violoncello
02op13c	1: 2/4	1: 0, 27: 3, 117: 0	164	163	328.0	271	271	542.0	[[[108], [109]]]	950.25	1903	717	0	0	415	a	2.1.0	Adrian Nagel		1827	1827	https://en.wikipedia.org/wiki/String_Quartet_No._2_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 2 in A Minor	3	Intermezzo: Allegretto con moto – Allegro di molto	Op. 13					2019-07-11	3.02	Microsoft Windows			String Quartet No. 2 in A Minor, Op. 13	3. Intermezzo: Allegretto con moto – Allegro di molto	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/02op13c.mscx	False	36-93 (C2-A6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/15609550-1b15-3669-b0cf-c989615214f2	https://imslp.org/wiki/String_Quartet_No.2%2C_Op.13_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10972	Q46096		https://www.wikidata.org/wiki/Q3413722	57-93 (A3-A6)	Violin	55-88 (G3-E6)	Violin	48-76 (C3-E5)	Viola	36-69 (C2-A4)	Violoncello
02op13d	1: 2/2, 365: 3/4, 368: 4/4, 373: 3/4	1: 0, 365: -1, 368: 0, 373: 3	398	397	1560.0	398	397	1560.0		5958.5	5910	2227	0	0	805	a	2.1.0	Adrian Nagel		1827	1827	https://en.wikipedia.org/wiki/String_Quartet_No._2_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 2 in A Minor	4	Presto – Adagio non lento	Op. 13					2019-07-11	3.02	Microsoft Windows			String Quartet No. 2 in A Minor, Op. 13	4. Presto – Adagio non lento	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/02op13d.mscx	False	36-93 (C2-A6)	Tom Schreyer	musicxml	https://musicbrainz.org/work/1b3d0e61-a21b-37c7-9809-bc8e745c2629	https://imslp.org/wiki/String_Quartet_No.2%2C_Op.13_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10972	Q46096		https://www.wikidata.org/wiki/Q3413722	55-93 (G3-A6)	Violin	55-88 (G3-E6)	Violin	48-76 (C3-E5)	Viola	36-72 (C2-C5)	Violoncello
03op44,1a	1: 4/4	1: 2	375	374	1500.0	493	493	1972.0	[[[120], [121]]]	5473.5	6143	2700	0	0	748	D	2.1.0	Uli Kneisel	Adrian Nagel	1838	1838	https://en.wikipedia.org/wiki/String_Quartet_No._3_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 3 in D Major	1	Molto allegro vivace	Op. 44, No. 1					2019-01-09	3.02	Linux	https://musescore.com/user/5/scores/86458		String Quartet No. 3 in D Major, Op. 44, No. 1	1. Molto allegro vivace	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/03op44,1a.mscx	False	36-93 (C2-A6)	https://musescore.com/nicolas		https://musicbrainz.org/work/3862c7f1-d740-30fb-9924-9e834eac6efa	https://imslp.org/wiki/String_Quartet_No.3%2C_Op.44_No.1_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10973	Q46096		https://www.wikidata.org/wiki/Q6502965	57-93 (A3-A6)	Violin	55-86 (G3-D6)	Violin	48-78 (B#2-F#5)	Viola	36-69 (C2-A4)	Violoncello
03op44,1b	1: 3/4	1: 2	230	225	681.0	309	304	913.0	[[[65], [66]], [[82], [83]]]	2615.5	1947	900	0	0	393	D	2.1.0	Uli Kneisel	Adrian Nagel	1838	1838	https://en.wikipedia.org/wiki/String_Quartet_No._3_(Mendelssohn)	Felix Mendelssohn	String Quartet No. 3 in D Major	2	Menuetto: Un poco Allegretto	Op. 44, No. 1					2019-07-12	3.02	Microsoft Windows			String Quartet No. 3 in D Major, Op. 44, No. 1	2. Menuetto: Un poco Allegretto	Felix Mendelssohn	3.6.2	2.5.3	MS3	MS3/03op44,1b.mscx	False	36-93 (C2-A6)	Tom Schreyer	xml	https://musicbrainz.org/work/953d6313-5a40-34ea-8af8-06110b829b26	https://imslp.org/wiki/String_Quartet_No.3%2C_Op.44_No.1_(Mendelssohn%2C_Felix)	https://imslp.org/wiki/Special:ReverseLookup/10973	Q46096		https://www.wikidata.org/wiki/Q6502965	57-93 (A3-A6)	Violin	55-81 (G3-A5)	Violin	49-78 (C#3-F#5)	Viola	36-69 (C2-A4)	Violoncello
