mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.0	2	3/4	1/4	1/2			1			firstMeasure	2
2	1	1	1	3.0	2	3/4	3/4	0							3
3	2	4	4	3.0	2	3/4	3/4	0							4
4	3	7	7	3.0	2	3/4	3/4	0							5
5	4	10	10	3.0	2	3/4	3/4	0							6
6	5	13	13	3.0	2	3/4	3/4	0							7
7	6	16	16	3.0	2	3/4	3/4	0							8
8	7	19	19	3.0	2	3/4	3/4	0							9
9	8	22	22	3.0	2	3/4	3/4	0							10
10	9	25	25	3.0	2	3/4	3/4	0							11
11	10	28	28	3.0	2	3/4	3/4	0							12
12	11	31	31	3.0	2	3/4	3/4	0							13
13	12	34	34	3.0	2	3/4	3/4	0							14
14	13	37	37	3.0	2	3/4	3/4	0							15
15	14	40	40	3.0	2	3/4	3/4	0							16
16	15	43	43	3.0	2	3/4	3/4	0							17
17	16	46	46	2.0	2	3/4	1/2	0						end	1, 18
18	16	48	48	1.0	2	3/4	1/4	1/2			1			start	19
19	17	49	49	3.0	2	3/4	3/4	0							20
20	18	52	52	3.0	2	3/4	3/4	0							21
21	19	55	55	3.0	2	3/4	3/4	0							22
22	20	58	58	3.0	2	3/4	3/4	0							23
23	21	61	61	3.0	2	3/4	3/4	0							24
24	22	64	64	3.0	2	3/4	3/4	0							25
25	23	67	67	3.0	2	3/4	3/4	0							26
26	24	70	70	3.0	2	3/4	3/4	0							27
27	25	73	73	3.0	2	3/4	3/4	0							28
28	26	76	76	3.0	2	3/4	3/4	0							29
29	27	79	79	3.0	2	3/4	3/4	0							30
30	28	82	82	3.0	2	3/4	3/4	0							31
31	29	85	85	3.0	2	3/4	3/4	0							32
32	30	88	88	3.0	2	3/4	3/4	0							33
33	31	91	91	3.0	2	3/4	3/4	0							34
34	32	94	94	3.0	2	3/4	3/4	0							35
35	33	97	97	3.0	2	3/4	3/4	0							36
36	34	100	100	3.0	2	3/4	3/4	0							37
37	35	103	103	3.0	2	3/4	3/4	0							38
38	36	106	106	3.0	2	3/4	3/4	0							39
39	37	109	109	3.0	2	3/4	3/4	0							40
40	38	112	112	3.0	2	3/4	3/4	0							41
41	39	115	115	3.0	2	3/4	3/4	0							42
