mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	4	1	E.I[I					E	I	I	I		I							M	0	0	4, 8, 5		4	4	0	20	0.0	0.0	1.5	0.0
1	1	3/8	3/8	3/4	4	1	IV6					E	I	I	IV6		IV		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	3/4	4	1	I64					E	I	I	I64		I		64					M	0	0	5, 4, 8		4	5	0	4	0.0	0.0	0.5	0.0
1	1	5/8	5/8	3/4	4	1	viio64					E	I	I	viio64		vii	o	64					o	0	0	3, 9, 6		9	3	1	3	0.25	0.125	0.375	0.25
2	2	0	0	3/4	4	1	I6					E	I	I	I6		I		6					M	0	0	8, 5, 4		4	8	1	4	0.2	0.0	0.5	0.0
2	2	1/8	1/8	3/4	4	1	viio6					E	I	I	viio6		vii	o	6					o	0	0	6, 3, 9		9	6	1	3	0.25	0.125	0.375	0.25
2	2	1/4	1/4	3/4	4	1	I6]					E	I	I	I6		I		6					M	0	0	8, 5, 4		4	8	0	4	0.0	0.0	0.5	0.0
2	2	3/8	3/8	3/4	4	1	vii%7					E	I		vii%7		vii	%	7					%7	0	0	9, 6, 3, 7		9	9	0	4	0.0	0.0	0.5	0.0
2	2	1/2	1/2	3/4	4	1	I					E	I		I		I							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.5	0.0
2	2	5/8	5/8	3/4	4	1	IV6					E	I		IV6		IV		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.375	0.0
3	3	0	0	3/4	4	1	I64					E	I		I64		I		64					M	0	0	5, 4, 8		4	5	0	3	0.0	0.0	0.375	0.0
3	3	1/8	1/8	3/4	4	1	viio64					E	I		viio64		vii	o	64					o	0	0	3, 9, 6		9	3	0	3	0.0	0.0	0.375	0.0
3	3	1/4	1/4	3/4	4	1	I6					E	I		I6		I		6					M	0	0	8, 5, 4		4	8	1	3	0.25	0.0	0.375	0.0
3	3	3/8	3/8	3/4	4	1	V64					E	I		V64		V		64					M	0	0	6, 5, 9		5	6	0	3	0.0	0.0	0.375	0.0
3	3	1/2	1/2	3/4	4	1	I6					E	I		I6		I		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.375	0.0
3	3	5/8	5/8	3/4	4	1	ii6					E	I		ii6		ii		6					m	0	0	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
4	4	0	0	3/4	4	1	V7(4)					E	I		V7(4)		V		7	4				Mm7	0	0	5, 4, 6, 3		5	5	0	4	0.0	0.0	1.25	0.0
4	4	1/4	1/4	3/4	4	1	V7					E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	4	10	0.2857142857142857	0.5	1.25	0.2857142857142857
5	5	0	0	3/4	4	1	V7(4)					E	I		V7(4)		V		7	4				Mm7	0	0	5, 4, 6, 3		5	5	0	4	0.0	0.0	1.25	0.0
5	5	1/4	1/4	3/4	4	1	V7					E	I		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	4	10	0.2857142857142857	0.5	1.25	0.2857142857142857
6	6	0	0	3/4	4	1	V7(4)					E	I		V7(4)		V		7	4				Mm7	0	0	5, 4, 6, 3		5	5	0	4	0.0	0.0	1.25	0.0
