mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	4	1	a.i						a	i		i		i							m	1	1	3, 0, 4		3	3	0	7	0.0	0.0	1.0	0.0
1	1	1/4	1/4	2/4	4	1	iv						a	i		iv		iv							m	1	1	2, -1, 3		2	2	1	8	0.1111111111111111	0.03125	0.96875	0.03125
2	2	0	0	2/4	4	1	V7/III						a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1	1	2	6	0.25	0.25	0.75	0.25
2	2	1/4	1/4	2/4	4	1	III						a	i		III		III							M	1	1	0, 4, 1		0	0	0	7	0.0	0.0	1.0	0.0
3	3	0	0	2/4	4	1	VI						a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	7	0.0	0.0	1.0	0.0
3	3	1/4	1/4	2/4	4	1	iv						a	i		iv		iv							m	1	1	2, -1, 3		2	2	2	6	0.25	0.0625	0.8125	0.07142857142857142
4	4	0	0	2/4	4	1	V[i6						a	i	V	i6		i		6					m	1	1	0, 4, 3		3	0	0	4	0.0	0.0	0.5	0.0
4	4	1/8	1/8	2/4	4	1	iio6						a	i	V	iio6		ii	o	6					o	1	1	2, -1, 5		5	2	2	2	0.5	0.25	0.25	0.5
4	4	1/4	1/4	2/4	4	1	V6]\\						a	i	V	V6		V		6				\\	M	1	1	8, 5, 4		4	8	1	3	0.25	0.125	0.5	0.2
5	5	0	0	2/4	4	1	i						a	i		i		i							m	1	1	3, 0, 4		3	3	0	8	0.0	0.0	1.125	0.0
5	5	1/4	1/4	2/4	4	1	iv						a	i		iv		iv							m	1	1	2, -1, 3		2	2	1	8	0.1111111111111111	0.03125	0.96875	0.03125
6	6	0	0	2/4	4	1	V7/III						a	i		V7/III		V		7		III			Mm7	1	1	1, 5, 2, -1		1	1	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
6	6	1/4	1/4	2/4	4	1	III						a	i		III		III							M	1	1	0, 4, 1		0	0	0	8	0.0	0.0	1.125	0.0
7	7	0	0	2/4	4	1	VI						a	i		VI		VI							M	1	1	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.125	0.0
7	7	1/4	1/4	2/4	4	1	iv						a	i		iv		iv							m	1	1	2, -1, 3		2	2	2	6	0.25	0.0625	0.8125	0.07142857142857142
8	8	0	0	2/4	4	1	V(64)						a	i		V(64)		V			64				M	1	1	4, 3, 0		4	4	0	4	0.0	0.0	0.5	0.0
8	8	1/8	1/8	2/4	4	1	V7						a	i		V7		V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
8	8	1/4	1/4	2/4	4	1	i\\						a	i		i		i						\\	m	1	1	3, 0, 4		3	3	0	4	0.0	0.0	1.0	0.0
9	9	0	0	2/4	4	1	v.i						a	v		i		i							m	1	1	4, 1, 5		4	4	2	5	0.2857142857142857	0.21875	0.90625	0.19444444444444445
9	9	1/4	1/4	2/4	4	1	ii%65						a	v		ii%65		ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	5	0.0	0.0	0.625	0.0
10	10	0	0	2/4	4	1	i6						a	v		i6		i		6					m	1	1	1, 5, 4		4	1	3	4	0.42857142857142855	0.34375	0.78125	0.3055555555555556
10	10	1/4	1/4	2/4	4	1	ii%43						a	v		ii%43		ii	%	43					%7	1	1	0, 4, 6, 3		6	0	0	4	0.0	0.0	0.625	0.0
11	11	0	0	2/4	4	1	V(64)						a	v		V(64)		V			64				M	1	1	5, 4, 1		5	5	2	5	0.2857142857142857	0.15625	0.96875	0.1388888888888889
11	11	1/4	1/4	2/4	4	1	ii%65						a	v		ii%65		ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	5	0.0	0.0	0.625	0.0
12	12	0	0	2/4	4	1	V7						a	v		V7		V		7					Mm7	1	1	5, 9, 6, 3		5	5	1	4	0.2	0.125	0.625	0.16666666666666666
12	12	1/4	1/4	2/4	4	1	i\\						a	v		i		i						\\	m	1	1	4, 1, 5		4	4	4	9	0.3076923076923077	0.46875	1.40625	0.25
13	13	1/4	1/4	2/4	4	1	ii%65						a	v		ii%65		ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	6	0.0	0.0	0.75	0.0
14	14	0	0	2/4	4	1	i6						a	v		i6		i		6					m	1	1	1, 5, 4		4	1	3	5	0.375	0.34375	0.90625	0.275
14	14	1/4	1/4	2/4	4	1	ii%43						a	v		ii%43		ii	%	43					%7	1	1	0, 4, 6, 3		6	0	0	5	0.0	0.0	0.75	0.0
15	15	0	0	2/4	4	1	V(64)						a	v		V(64)		V			64				M	1	1	5, 4, 1		5	5	3	3	0.5	0.75	0.75	0.5
