mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	D.I						D	I		I		I							M	0	0	2, 6, 3		2	2	2	41	0.046511627906976744	0.25	16.0	0.015384615384615385
4	4	0	0	4/4	4	1	ii%43/iii						D	I		ii%43/iii		ii	%	43		iii			%7	0	0	2, 6, 8, 5		8	2	1	14	0.06666666666666667	0.0625	3.9375	0.015625
5	5	0	0	4/4	4	1	V7/iii						D	I		V7/iii		V		7		iii			Mm7	0	0	7, 11, 8, 5		7	7	0	6	0.0	0.0	3.25	0.0
5	5	3/4	3/4	4/4	4	1	iii64						D	I		iii64		iii		64					m	0	0	7, 6, 3		6	7	0	8	0.0	0.0	1.25	0.0
6	6	0	0	4/4	4	1	iii						D	I		iii		iii							m	0	0	6, 3, 7		6	6	2	24	0.07692307692307693	0.25	10.25	0.023809523809523808
8	8	0	0	4/4	4	1	I6						D	I		I6		I		6					M	0	0	6, 3, 2		2	6	1	18	0.05263157894736842	0.0625	5.9375	0.010416666666666666
9	9	0	0	4/4	4	1	ii65						D	I		ii65		ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	15	0.0	0.0	5.25	0.0
10	10	0	0	4/4	4	1	IV						D	I		IV		IV							M	0	0	1, 5, 2		1	1	2	12	0.14285714285714285	0.25	5.75	0.041666666666666664
11	11	0	0	4/4	4	1	V65/V						D	I		V65/V		V		65		V			Mm7	0	0	8, 5, 2, 4		4	8	1	11	0.08333333333333333	0.375	4.625	0.075
12	12	0	0	4/4	4	1	V7						D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	13	0.0	0.0	2.75	0.0
13	13	0	0	4/4	4	1	I\\						D	I		I		I						\\	M	0	0	2, 6, 3		2	2	1	6	0.14285714285714285	0.125	1.125	0.1
13	13	1/2	1/2	4/4	4	1	viio						D	I		viio		vii	o						o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.25	0.0
13	13	3/4	3/4	4/4	4	1	I						D	I		I		I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
14	14	0	0	4/4	4	1	viio						D	I		viio		vii	o						o	0	0	7, 4, 1		7	7	0	4	0.0	0.0	0.5	0.0
14	14	1/4	1/4	4/4	4	1	I						D	I		I		I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.5	0.0
14	14	1/2	1/2	4/4	4	1	ii						D	I		ii		ii							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
14	14	3/4	3/4	4/4	4	1	I6						D	I		I6		I		6					M	0	0	6, 3, 2		2	6	0	5	0.0	0.0	0.625	0.0
15	15	0	0	4/4	4	1	V43(9)						D	I		V43(9)		V		43	9				Mm7	0	0	4, 1, 3, 7	5	3	4	0	7	0.0	0.0	1.75	0.0
15	15	1/4	1/4	4/4	4	1	ii65						D	I		ii65		ii		65					mm7	0	0	1, 5, 2, 4		4	1	3	3	0.5	0.375	0.375	0.5
15	15	1/2	1/2	4/4	4	1	V65						D	I		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	6	0.0	0.0	0.75	0.0
15	15	3/4	3/4	4/4	4	1	IV6(+2)	0	-9.35479	/			D	I		IV6(+2)		IV		6	+2				M	0	0	5, 2, 1	3	1	5	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
16	16	0	0	4/4	4	1	iii6						D	I		iii6		iii		6					m	0	0	3, 7, 6		6	3	0	5	0.0	0.0	1.25	0.0
16	16	1/4	1/4	4/4	4	1	#viio65/vi	0.190319	-6.67096	/			D	I		#viio65/vi		#vii	o	65		vi			o7	0	0	7, 4, 1, 10		10	7	0	3	0.0	0.0	0.5	0.0
16	16	1/2	1/2	4/4	4	1	V(964)						D	I		V(964)		V			964				M	0	0	3, 2, 6	5	3	3	0	4	0.0	0.0	0.75	0.0
16	16	3/4	3/4	4/4	4	1	V7						D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.5	0.0
17	17	0	0	4/4	4	1	I\\						D	I		I		I						\\	M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.0	0.1111111111111111
17	17	1/2	1/2	4/4	4	1	V6						D	I		V6		V		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.75	0.0
17	17	3/4	3/4	4/4	4	1	I						D	I		I		I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
18	18	0	0	4/4	4	1	viio6						D	I		viio6		vii	o	6					o	0	0	4, 1, 7		7	4	0	4	0.0	0.0	0.5	0.0
18	18	1/4	1/4	4/4	4	1	I6						D	I		I6		I		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.5	0.0
18	18	1/2	1/2	4/4	4	1	ii6						D	I		ii6		ii		6					m	0	0	1, 5, 4		4	1	0	4	0.0	0.0	0.5	0.0
18	18	3/4	3/4	4/4	4	1	I64						D	I		I64		I		64					M	0	0	3, 2, 6		2	3	0	2	0.0	0.0	0.25	0.0
18	18	7/8	7/8	4/4	4	1	vi6						D	I		vi6		vi		6					m	0	0	2, 6, 5		5	2	0	3	0.0	0.0	0.375	0.0
19	19	0	0	4/4	4	1	V65						D	I		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	7	0.0	0.0	1.75	0.0
19	19	1/4	1/4	4/4	4	1	IV6(+2)						D	I		IV6(+2)		IV		6	+2				M	0	0	5, 2, 1	3	1	5	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
19	19	1/2	1/2	4/4	4	1	iii65						D	I		iii65		iii		65					mm7	0	0	3, 7, 4, 6		6	3	0	6	0.0	0.0	0.75	0.0
19	19	3/4	3/4	4/4	4	1	ii65						D	I		ii65		ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	6	0.0	0.0	0.75	0.0
20	20	0	0	4/4	4	1	I6						D	I		I6		I		6					M	0	0	6, 3, 2		2	6	0	6	0.0	0.0	1.0	0.0
20	20	1/4	1/4	4/4	4	1	#viio43/vi						D	I		#viio43/vi		#vii	o	43		vi			o7	0	0	4, 1, 10, 7		10	4	0	6	0.0	0.0	1.0	0.0
20	20	1/2	1/2	4/4	4	1	vi6						D	I		vi6		vi		6					m	0	0	2, 6, 5		5	2	0	5	0.0	0.0	0.75	0.0
20	20	3/4	3/4	4/4	4	1	viio						D	I		viio		vii	o						o	0	0	7, 4, 1		7	7	0	5	0.0	0.0	0.75	0.0
21	21	0	0	4/4	4	1	I\\						D	I		I		I						\\	M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	0.75	0.0
21	21	1/4	1/4	4/4	4	1	I6						D	I		I6		I		6					M	0	0	6, 3, 2		2	6	1	3	0.25	0.125	0.625	0.16666666666666666
