mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	4	1	Ab.I	-2	-5	/	Ab	I		I		I							M	0	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.125	0.0
2	1	0	0	2/4	4	1	viio				Ab	I		viio		vii	o						o	0	0	1, -2, -5		1	1	0	1	0.0	0.0	0.125	0.0
2	1	1/8	1/8	2/4	4	1	vi				Ab	I		vi		vi							m	0	0	-1, -4, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
2	1	1/4	1/4	2/4	4	1	#viio/vi				Ab	I		#viio/vi		#vii	o			vi			o	0	0	4, 1, -2		4	4	0	1	0.0	0.0	0.125	0.0
2	1	3/8	3/8	2/4	4	1	vi				Ab	I		vi		vi							m	0	0	-1, -4, 0		-1	-1	0	5	0.0	0.0	0.5	0.0
3	2	0	0	2/4	4	1	ii65(2)				Ab	I		ii65(2)		ii		65	2				mm7	0	0	-5, -1, -4, 0		-2	-5	0	4	0.0	0.0	1.375	0.0
3	2	1/4	1/4	2/4	4	1	ii65				Ab	I		ii65		ii		65					mm7	0	0	-5, -1, -4, -2		-2	-5	0	6	0.0	0.0	0.625	0.0
4	3	0	0	2/4	4	1	IV				Ab	I		IV		IV							M	0	0	-5, -1, -4		-5	-5	0	4	0.0	0.0	0.5	0.0
4	3	1/8	1/8	2/4	4	1	V2				Ab	I		V2		V		2					Mm7	0	0	-5, -3, 1, -2		-3	-5	0	4	0.0	0.0	0.625	0.0
4	3	1/4	1/4	2/4	4	1	I6				Ab	I		I6		I		6					M	0	0	0, -3, -4		-4	0	0	3	0.0	0.0	0.375	0.0
4	3	3/8	3/8	2/4	4	1	ii7				Ab	I		ii7		ii		7					mm7	0	0	-2, -5, -1, -4		-2	-2	0	4	0.0	0.0	0.5	0.0
5	4	0	0	2/4	4	1	V7				Ab	I		V7		V		7					Mm7	0	0	-3, 1, -2, -5		-3	-3	0	12	0.0	0.0	1.5	0.0
5	4	3/8	3/8	2/4	4	1	I\\				Ab	I		I		I						\\	M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	0.5	0.0
6	5	0	0	2/4	4	1	viio				Ab	I		viio		vii	o						o	0	0	1, -2, -5		1	1	0	1	0.0	0.0	0.125	0.0
6	5	1/8	1/8	2/4	4	1	vi				Ab	I		vi		vi							m	0	0	-1, -4, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
6	5	1/4	1/4	2/4	4	1	#viio/vi				Ab	I		#viio/vi		#vii	o			vi			o	0	0	4, 1, -2		4	4	0	1	0.0	0.0	0.125	0.0
6	5	3/8	3/8	2/4	4	1	vi6				Ab	I		vi6		vi		6					m	0	0	-4, 0, -1		-1	-4	0	5	0.0	0.0	0.5	0.0
7	6	0	0	2/4	4	1	V2(4)/V				Ab	I		V2(4)/V		V		2	4	V			Mm7	0	0	-4, -2, -3, -1		-2	-4	0	4	0.0	0.0	1.375	0.0
7	6	1/4	1/4	2/4	4	1	V2/V				Ab	I		V2/V		V		2		V			Mm7	0	0	-4, -2, 2, -1		-2	-4	0	1	0.0	0.0	0.125	0.0
7	6	3/8	3/8	2/4	4	1	V6				Ab	I		V6		V		6					M	0	0	1, -2, -3		-3	1	0	5	0.0	0.0	0.5	0.0
