mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	Eb.I					Eb	I		I		I							M	0	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	3.5	0.0
1	1	1/2	1/2	4/4	4	1	V7/IV					Eb	I		V7/IV		V		7		IV			Mm7	0	0	-3, 1, -2, -5		-3	-3	1	1	0.5	0.125	0.375	0.25
2	2	0	0	4/4	4	1	IV					Eb	I		IV		IV							M	0	0	-4, 0, -3		-4	-4	0	4	0.0	0.0	3.0	0.0
3	3	1/8	1/8	4/4	4	1	V2					Eb	I		V2		V		2					Mm7	0	0	-4, -2, 2, -1		-2	-4	0	4	0.0	0.0	0.5	0.0
3	3	1/4	1/4	4/4	4	1	I6					Eb	I		I6		I		6					M	0	0	1, -2, -3		-3	1	0	4	0.0	0.0	0.5	0.0
3	3	3/8	3/8	4/4	4	1	V43					Eb	I		V43		V		43					Mm7	0	0	-1, -4, -2, 2		-2	-1	0	4	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	4	1	I(74)					Eb	I		I(74)		I			74				M	0	0	-3, -4, -2	2	-3	-3	0	4	0.0	0.0	1.25	0.0
3	3	3/4	3/4	4/4	4	1	I\\					Eb	I		I		I						\\	M	0	0	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.25	0.0
4	4	0	0	4/4	4	1	iv6/iii					Eb	I		iv6/iii		iv		6		iii			m	0	0	-3, 1, 0		0	-3	1	5	0.16666666666666666	0.125	3.875	0.03125
5	5	0	0	4/4	4	1	V7/iii					Eb	I		V7/iii		V		7		iii			Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	3.0	0.0
6	6	1/8	1/8	4/4	4	1	vi					Eb	I		vi		vi							m	0	0	0, -3, 1		0	0	0	1	0.0	0.0	0.125	0.0
6	6	1/4	1/4	4/4	4	1	vi6					Eb	I		vi6		vi		6					m	0	0	-3, 1, 0		0	-3	1	1	0.5	0.125	0.125	0.5
6	6	1/2	1/2	4/4	4	1	viio64/V					Eb	I		viio64/V		vii	o	64		V			o	0	0	-3, 3, 0		3	-3	0	2	0.0	0.0	0.375	0.0
