mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	4	1	D.I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	4.5	0.0
1	1	3/4	3/4	12/8	4	1	ii65					D	I		ii65		ii		65					mm7	0	0	1, 5, 2, 4		4	1	0	6	0.0	0.0	2.25	0.0
1	1	9/8	9/8	12/8	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	6	0.0	0.0	2.25	0.0
2	2	0	0	12/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	41	77	0.3474576271186441	5.125	12.0	0.29927007299270075
4	4	9/8	9/8	12/8	4	1	I(64)					D	I		I(64)		I			64				M	0	0	2, 1, 5		2	2	5	6	0.45454545454545453	0.5	1.0	0.3333333333333333
5	5	0	0	12/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	2	7	0.2222222222222222	0.25	1.625	0.13333333333333333
5	5	3/8	3/8	12/8	4	1	I(64)					D	I		I(64)		I			64				M	0	0	2, 1, 5		2	2	5	6	0.45454545454545453	0.5	1.0	0.3333333333333333
5	5	3/4	3/4	12/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	1	5	0.16666666666666666	0.125	1.0	0.1111111111111111
5	5	9/8	9/8	12/8	4	1	vi					D	I		vi		vi							m	0	0	5, 2, 6		5	5	1	5	0.16666666666666666	0.125	1.0	0.1111111111111111
6	6	0	0	12/8	4	1	V\\					D	I		V		V						\\	M	0	0	3, 7, 4		3	3	8	9	0.47058823529411764	1.0	1.75	0.36363636363636365
6	6	3/4	3/4	12/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	33	63	0.34375	4.125	8.5	0.32673267326732675
8	8	9/8	9/8	12/8	4	1	ii(b64)					D	I		ii(b64)		ii			b64				m	0	0	4, 3, 0		4	4	5	6	0.45454545454545453	0.5	1.0	0.3333333333333333
9	9	0	0	12/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	2	6	0.25	0.25	1.25	0.16666666666666666
9	9	3/8	3/8	12/8	4	1	ii(b64)					D	I		ii(b64)		ii			b64				m	0	0	4, 3, 0		4	4	8	9	0.47058823529411764	1.125	1.5	0.42857142857142855
9	9	9/8	9/8	12/8	4	1	It6/ii					D	I		It6/ii	It	vii	o	6	b3	V/ii			It	0	0	0, 4, 10		10	0	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
10	10	0	0	12/8	4	1	V/ii\\					D	I		V/ii		V				ii		\\	M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	1.375	0.0
10	10	3/4	3/4	12/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	1	5	0.16666666666666666	0.25	2.25	0.1
11	11	0	0	12/8	4	1	viio					D	I		viio		vii	o						o	0	0	7, 4, 1		7	7	1	5	0.16666666666666666	0.25	2.25	0.1
11	11	3/4	3/4	12/8	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	1	5	0.16666666666666666	0.25	2.25	0.1
12	12	0	0	12/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	2.0	0.0
12	12	3/4	3/4	12/8	4	1	ii					D	I		ii		ii							m	0	0	4, 1, 5		4	4	1	5	0.16666666666666666	0.25	2.25	0.1
13	13	0	0	12/8	4	1	viio					D	I		viio		vii	o						o	0	0	7, 4, 1		7	7	1	5	0.16666666666666666	0.25	2.25	0.1
13	13	3/4	3/4	12/8	4	1	V7					D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	1	5	0.16666666666666666	0.25	2.25	0.1
14	14	0	0	12/8	4	1	I					D	I		I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	2.0	0.0
14	14	3/4	3/4	12/8	4	1	V+6/IV					D	I		V+6/IV		V	+	6		IV			+	0	0	6, 10, 2		2	6	0	6	0.0	0.0	3.0	0.0
