mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	4	1	c.V				c	i		V		V							M	1	1	1, 5, 2		1	1	0	28	0.0	0.0	7.0	0.0
1	1	3/4	3/4	12/8	4	1	V2				c	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1	1	2	0.3333333333333333	0.125	0.875	0.125
1	1	9/8	9/8	12/8	4	1	V43				c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
2	2	0	0	12/8	4	1	i6				c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	2	4	0.3333333333333333	0.25	1.875	0.11764705882352941
2	2	3/8	3/8	12/8	4	1	V43				c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
2	2	3/4	3/4	12/8	4	1	i6				c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	3	5	0.375	0.375	0.625	0.375
2	2	9/8	9/8	12/8	4	1	V43				c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
3	3	0	0	12/8	4	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	3	7	0.3	0.375	1.5	0.2
3	3	3/8	3/8	12/8	4	1	V65				c	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
3	3	3/4	3/4	12/8	4	1	VI				c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	2	6	0.25	0.25	1.375	0.15384615384615385
3	3	9/8	9/8	12/8	4	1	V43/iv				c	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
4	4	0	0	12/8	4	1	iv				c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	2	7	0.2222222222222222	0.25	1.0	0.2
4	4	3/8	3/8	12/8	4	1	V65/iv				c	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4	2	8	0.2	0.25	1.625	0.13333333333333333
4	4	3/4	3/4	12/8	4	1	V(64)/iv				c	i		V(64)/iv		V			64	iv			M	1	1	0, -1, -4		0	0	1	8	0.1111111111111111	0.125	1.0	0.1111111111111111
4	4	9/8	9/8	12/8	4	1	V7/iv				c	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0	1	9	0.1	0.125	1.375	0.08333333333333333
5	5	0	0	12/8	4	1	iv6				c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4	4	28	0.125	0.5	10.5	0.045454545454545456
7	7	0	0	12/8	4	1	viio7/VII				c	i		viio7/VII		vii	o	7		VII			o7	1	1	3, 0, -3, -6		3	3	4	47	0.0784313725490196	0.5	12.75	0.03773584905660377
9	9	0	0	12/8	4	1	III64				c	i		III64		III		64					M	1	1	-2, -3, 1		-3	-2	0	24	0.0	0.0	3.0	0.0
9	9	3/4	3/4	12/8	4	1	viio65/VII				c	i		viio65/VII		vii	o	65		VII			o7	1	1	0, -3, -6, 3		3	0	0	24	0.0	0.0	3.0	0.0
10	10	0	0	12/8	4	1	VII6				c	i		VII6		VII		6					M	1	1	2, -1, -2		-2	2	0	24	0.0	0.0	3.0	0.0
10	10	3/4	3/4	12/8	4	1	#viio43				c	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	24	0.0	0.0	3.0	0.0
11	11	0	0	12/8	4	1	i6				c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.0	0.0
11	11	3/8	3/8	12/8	4	1	V43				c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	0	8	0.0	0.0	2.0	0.0
11	11	3/4	3/4	12/8	4	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	0	8	0.0	0.0	2.0	0.0
11	11	9/8	9/8	12/8	4	1	V2/iv				c	i		V2/iv		V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2	0	9	0.0	0.0	2.25	0.0
12	12	0	0	12/8	4	1	iv6				c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4	0	9	0.0	0.0	2.25	0.0
12	12	3/8	3/8	12/8	4	1	V43/iv				c	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1	0	9	0.0	0.0	2.25	0.0
12	12	3/4	3/4	12/8	4	1	V65/iv				c	i		V65/iv		V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4	0	9	0.0	0.0	2.25	0.0
12	12	9/8	9/8	12/8	4	1	iv				c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	0	8	0.0	0.0	2.0	0.0
13	13	0	0	12/8	4	1	V(64)				c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1	0	12	0.0	0.0	3.0	0.0
13	13	3/4	3/4	12/8	4	1	V7				c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	10	0.0	0.0	2.5	0.0
14	14	0	0	12/8	4	1	i\\				c	i		i		i						\\	m	1	1	0, -3, 1		0	0	1	27	0.03571428571428571	0.125	5.875	0.020833333333333332
15	15	0	0	12/8	4	1	V43				c	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	0	8	0.0	0.0	1.875	0.0
