mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	4	1	D.V2	-2	-5	/		D	I		V2	V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.5	0.0
2	1	0	0	3/4	4	1	I[I					D	I	I	I	I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	3.0	0.0
3	2	0	0	3/4	4	1	V7/IV					D	I	I	V7/IV	V		7		IV			Mm7	0	0	2, 6, 3, 0		2	2	0	4	0.0	0.0	2.5	0.0
3	2	1/2	1/2	3/4	4	1	IV6					D	I	I	IV6	IV		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
4	3	0	0	3/4	4	1	I					D	I	I	I	I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	1.75	0.0
4	3	1/4	1/4	3/4	4	1	IV6					D	I	I	IV6	IV		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
4	3	1/2	1/2	3/4	4	1	viio64	0	-8	/		D	I	I	viio64	vii	o	64					o	0	0	1, 7, 4		7	1	0	3	0.0	0.0	0.75	0.0
5	4	0	0	3/4	4	1	I					D	I	I	I	I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	2.0	0.0
5	4	1/4	1/4	3/4	4	1	V(+4)					D	I	I	V(+4)	V			+4				M	0	0	3, 7, 4	2	3	3	0	2	0.0	0.0	0.5	0.0
5	4	1/2	1/2	3/4	4	1	IV]					D	I	I	IV	IV							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
6	5	0	0	3/4	4	1	V[V(64)					D	I	V	V(64)	V			64				M	0	0	3, 2, 6		3	3	0	4	0.0	0.0	1.75	0.0
6	5	1/4	1/4	3/4	4	1	IV					D	I	V	IV	IV							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
6	5	1/2	1/2	3/4	4	1	V7]					D	I	V	V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
7	6	0	0	3/4	4	1	I[I					D	I	I	I	I							M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	2.0	0.0
7	6	1/4	1/4	3/4	4	1	V6(+4)					D	I	I	V6(+4)	V		6	+4				M	0	0	7, 4, 3	2	3	7	0	2	0.0	0.0	0.5	0.0
7	6	1/2	1/2	3/4	4	1	IV6]					D	I	I	IV6	IV		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
8	7	0	0	3/4	4	1	V[V(64)					D	I	V	V(64)	V			64				M	0	0	3, 2, 6		3	3	0	4	0.0	0.0	1.75	0.0
8	7	1/4	1/4	3/4	4	1	IV6					D	I	V	IV6	IV		6					M	0	0	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
8	7	1/2	1/2	3/4	4	1	V7]					D	I	V	V7	V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.75	0.0
9	8	0	0	3/4	4	1	I\\					D	I		I	I						\\	M	0	0	2, 6, 3		2	2	0	4	0.0	0.0	2.25	0.0
9	8	1/2	1/2	3/4	4	1	V.V2	-1.1	-5	/		D	V		V2	V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	1	0.0	0.0	0.25	0.0
10	9	0	0	3/4	4	1	I[I					D	V	I	I	I							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	3.0	0.0
11	10	0	0	3/4	4	1	V7/IV					D	V	I	V7/IV	V		7		IV			Mm7	0	0	3, 7, 4, 1		3	3	0	4	0.0	0.0	2.5	0.0
11	10	1/2	1/2	3/4	4	1	iv6					D	V	I	iv6	iv		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
12	11	0	0	3/4	4	1	I					D	V	I	I	I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	1.75	0.0
12	11	1/4	1/4	3/4	4	1	iv6					D	V	I	iv6	iv		6					m	0	0	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
12	11	1/2	1/2	3/4	4	1	viio64	0	-8	/		D	V	I	viio64	vii	o	64					o	0	0	2, 8, 5		8	2	0	3	0.0	0.0	0.75	0.0
13	12	0	0	3/4	4	1	I					D	V	I	I	I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	2.0	0.0
13	12	1/4	1/4	3/4	4	1	V43/IV					D	V	I	V43/IV	V		43		IV			Mm7	0	0	4, 1, 3, 7		3	4	0	2	0.0	0.0	0.5	0.0
13	12	1/2	1/2	3/4	4	1	iv]					D	V	I	iv	iv							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
14	13	0	0	3/4	4	1	V[V(64)					D	V	V	V(64)	V			64				M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.75	0.0
14	13	1/4	1/4	3/4	4	1	iv					D	V	V	iv	iv							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
14	13	1/2	1/2	3/4	4	1	V7]					D	V	V	V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.75	0.0
