mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	1
1	1	0	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	2
1	1	3/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		0	60	C4	4	0
2	2	2	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	7
2	2	2	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	8
2	2	2	0.5	0	0	2/4	1	1	1/8			1/8	1		-4	56	Ab3	3	3
2	2	5/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		0	60	C4	4	4
2	2	7/2	0.5	3/8	3/8	2/4	2	1	1/8			1/8	1		-4	56	Ab3	3	6
2	2	7/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		-1	65	F4	4	5
3	3	4	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	16
3	3	4	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	17
3	3	4	0.5	0	0	2/4	2	1	1/8			1/8	1		0	60	C4	4	12
3	3	4	0.5	0	0	2/4	1	1	1/8			1/8	1		-4	68	Ab4	4	9
3	3	9/2	1.0	1/8	1/8	2/4	2	1	1/4			1/4	1		-2	58	Bb3	3	13
3	3	9/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		1	67	G4	4	10
3	3	11/2	0.5	3/8	3/8	2/4	3	1	1/8			1/8	1		-1	53	F3	3	15
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8			1/8	1		-4	56	Ab3	3	14
3	3	11/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		-1	65	F4	4	11
4	4	6	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	23
4	4	6	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	24
4	4	6	2.0	0	0	2/4	3	1	1/2			1/2	1		1	55	G3	3	22
4	4	6	2.0	0	0	2/4	2	1	1/2			1/2	1		-2	58	Bb3	3	21
4	4	6	0.5	0	0	2/4	1	1	1/8			1/8	1		4	64	E4	4	18
4	4	13/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		1	67	G4	4	19
4	4	15/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		0	72	C5	5	20
5	5	8	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	30
5	5	8	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	31
5	5	8	1.0	0	0	2/4	3	1	1/4			1/4	1		-4	56	Ab3	3	29
5	5	8	1.0	0	0	2/4	2	1	1/4			1/4	1		0	60	C4	4	28
5	5	8	0.5	0	0	2/4	1	1	1/8			1/8	1		0	72	C5	5	25
5	5	17/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		-4	68	Ab4	4	26
5	5	19/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		-1	65	F4	4	27
6	6	10	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	37
6	6	10	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	38
6	6	10	2.0	0	0	2/4	3	1	1/2			1/2	1		1	55	G3	3	36
6	6	10	2.0	0	0	2/4	2	1	1/2			1/2	1		-2	58	Bb3	3	35
6	6	10	0.5	0	0	2/4	1	1	1/8			1/8	1		4	64	E4	4	32
6	6	21/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		1	67	G4	4	33
6	6	23/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		0	72	C5	5	34
7	7	12	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		-1	41	F2	2	44
7	7	12	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		0	48	C3	3	45
7	7	12	1.0	0	0	2/4	3	1	1/4			1/4	1		-4	56	Ab3	3	43
7	7	12	1.0	0	0	2/4	2	1	1/4			1/4	1		0	60	C4	4	42
7	7	12	0.5	0	0	2/4	1	1	1/8			1/8	1		0	72	C5	5	39
7	7	25/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		-4	68	Ab4	4	40
7	7	27/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		-1	65	F4	4	41
8	8	14	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		2	38	D2	2	51
8	8	14	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		1	43	G2	2	52
8	8	14	2.0	0	0	2/4	3	1	1/2			1/2	1		-1	53	F3	3	50
8	8	14	2.0	0	0	2/4	2	1	1/2			1/2	1		1	55	G3	3	49
8	8	14	2.0	0	0	2/4	3	1	1/2			1/2	1		1	55	G3	3	50
8	8	14	2.0	0	0	2/4	2	1	1/2			1/2	1		-1	65	F4	4	49
8	8	14	0.5	0	0	2/4	1	1	1/8			1/8	1		5	71	B4	4	46
8	8	29/2	1.0	1/8	1/8	2/4	1	1	1/4			1/4	1		2	74	D5	5	47
8	8	31/2	0.5	3/8	3/8	2/4	1	1	1/8			1/8	1		1	79	G5	5	48
9	9	16	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		0	36	C2	2	56
9	9	16	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		1	43	G2	2	57
9	9	16	2.0	0	0	2/4	3	1	1/2			1/2	1		4	52	E3	3	55
9	9	16	2.0	0	0	2/4	2	1	1/2			1/2	1		1	55	G3	3	54
9	9	16	2.0	0	0	2/4	3	1	1/2			1/2	1		1	55	G3	3	55
9	9	16	2.0	0	0	2/4	2	1	1/2			1/2	1		4	64	E4	4	54
9	9	16	2.0	0	0	2/4	1	1	1/2			1/2	1		1	79	G5	5	53
10	10	18	2.0	0	0	2/4	3	1	1/2		1/4_c16_1	1/2	1		4	64	E4	4	62
10	10	18	2.0	0	0	2/4	2	1	1/2		1/4_c16_1	1/2	1		1	67	G4	4	60
10	10	18	2.0	0	0	2/4	3	1	1/2		1/4_c16_2	1/2	1		1	67	G4	4	63
10	10	18	2.0	0	0	2/4	2	1	1/2		1/4_c16_2	1/2	1		-2	70	Bb4	4	61
10	10	18	2.0	0	0	2/4	1	1	1/2		1/4_c16_1	1/2	1		0	72	C5	5	58
10	10	18	2.0	0	0	2/4	1	1	1/2		1/4_c16_2	1/2	1		-5	73	Db5	5	59
11	11	20	2.0	0	0	2/4	4	1	1/2		1/4_c16_1	1/2	1		0	36	C2	2	64
11	11	20	2.0	0	0	2/4	4	1	1/2		1/4_c16_2	1/2	1		1	43	G2	2	65
12	12	22	2.0	0	0	2/4	3	1	1/2		1/4_c16_1	1/2	1		4	64	E4	4	70
12	12	22	2.0	0	0	2/4	2	1	1/2		1/4_c16_1	1/2	1		1	67	G4	4	68
12	12	22	2.0	0	0	2/4	3	1	1/2		1/4_c16_2	1/2	1		1	67	G4	4	71
12	12	22	2.0	0	0	2/4	2	1	1/2		1/4_c16_2	1/2	1		-2	70	Bb4	4	69
12	12	22	2.0	0	0	2/4	1	1	1/2		1/4_c16_1	1/2	1		0	72	C5	5	66
12	12	22	2.0	0	0	2/4	1	1	1/2		1/4_c16_2	1/2	1		-5	73	Db5	5	67
13	13	24	0.25	0	0	2/4	4	1	1/16			1/16	1		0	36	C2	2	84
13	13	97/4	0.25	1/16	1/16	2/4	4	1	1/16			1/16	1		1	43	G2	2	85
13	13	49/2	0.25	1/8	1/8	2/4	4	1	1/16			1/16	1		0	36	C2	2	86
13	13	99/4	0.25	3/16	3/16	2/4	4	1	1/16			1/16	1		1	43	G2	2	87
13	13	25	0.25	1/4	1/4	2/4	3	1	1/16			1/16	1		4	64	E4	4	80
13	13	25	0.25	1/4	1/4	2/4	2	1	1/16			1/16	1		1	67	G4	4	76
