mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	4	1	1		1	1		-3	51	5
1	1	0	0	4/4	3	1	1		1	1		-2	58	4
1	1	0	0	4/4	2	1	1		1	1	1	-3	63	3
1	1	0	0	4/4	1	1	1/2		1/2	1		1	67	0
1	1	1/2	1/2	4/4	1	1	3/8		1/4	3/2		-5	73	1
1	1	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	2
2	2	0	0	4/4	4	1	3/4		1/2	3/2		-4	44	9
2	2	0	0	4/4	3	1	3/4		1/2	3/2		-4	56	8
2	2	0	0	4/4	2	1	3/4		1/2	3/2	-1	-3	63	7
2	2	0	0	4/4	1	1	3/4		1/2	3/2		0	72	6
3	3	1/8	1/8	4/4	4	1	1/8		1/8	1		-4	56	24
3	3	1/8	1/8	4/4	3	1	1/8		1/8	1		-2	58	20
3	3	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	15
3	3	1/8	1/8	4/4	1	1	1/8		1/8	1		-1	65	10
3	3	1/4	1/4	4/4	4	1	1/8		1/8	1		1	55	25
3	3	1/4	1/4	4/4	3	1	1/8		1/8	1		-2	58	21
3	3	1/4	1/4	4/4	2	1	1/8		1/8	1		-3	63	16
3	3	1/4	1/4	4/4	1	1	1/8		1/8	1		1	67	11
3	3	3/8	3/8	4/4	4	1	1/8		1/8	1		-1	53	26
3	3	3/8	3/8	4/4	3	1	1/8		1/8	1		-2	58	22
3	3	3/8	3/8	4/4	2	1	1/8		1/8	1		2	62	17
3	3	3/8	3/8	4/4	1	1	1/8		1/8	1		-4	68	12
3	3	1/2	1/2	4/4	4	1	3/8		1/4	3/2		-3	51	27
3	3	1/2	1/2	4/4	3	1	3/8		1/4	3/2		-2	58	23
3	3	1/2	1/2	4/4	2	1	1/4		1/4	1		2	62	18
3	3	1/2	1/2	4/4	1	1	1/4		1/4	1		-4	68	13
3	3	3/4	3/4	4/4	2	1	1/8		1/8	1		-3	63	19
3	3	3/4	3/4	4/4	1	1	1/8		1/8	1		1	67	14
4	4	0	0	4/4	4	1	1		1	1		-3	51	33
4	4	0	0	4/4	3	1	1		1	1	1	0	60	32
4	4	0	0	4/4	2	1	1		1	1		1	67	31
4	4	0	0	4/4	1	1	1/2		1/2	1		0	72	28
4	4	1/2	1/2	4/4	1	1	3/8		1/4	3/2		1	79	29
4	4	7/8	7/8	4/4	1	1	1/8		1/8	1		6	78	30
5	5	0	0	4/4	4	1	3/4		1/2	3/2		2	50	37
5	5	0	0	4/4	3	1	3/4		1/2	3/2	-1	0	60	36
5	5	0	0	4/4	2	1	3/4		1/2	3/2		3	69	35
5	5	0	0	4/4	1	1	3/4		1/2	3/2		6	78	34
6	6	1/8	1/8	4/4	4	1	1/8		1/8	1		0	60	41
6	6	1/4	1/4	4/4	4	1	1/8		1/8	1		2	62	42
6	6	3/8	3/8	4/4	4	1	1/8		1/8	1		-3	63	43
6	6	1/2	1/2	4/4	4	1	1/4		1/4	1		-3	63	44
6	6	5/8	5/8	4/4	1	1	1/8		1/8	1		3	69	38
6	6	3/4	3/4	4/4	4	1	1/4		1/4	1	1	2	62	45
6	6	3/4	3/4	4/4	1	1	1/8		1/8	1		5	71	39
6	6	7/8	7/8	4/4	1	1	1/8		1/8	1		0	72	40
7	7	0	0	4/4	4	1	1/4		1/4	1	-1	2	62	55
7	7	0	0	4/4	1	1	1/4		1/4	1		0	72	46
7	7	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	77	49
7	7	1/4	1/4	4/4	4	1	1/4		1/4	1		-5	61	56
7	7	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	47
7	7	1/4	1/4	4/4	2	1	1/8		1/8	1		1	79	50
7	7	3/8	3/8	4/4	2	1	1/8		1/8	1		-4	80	51
7	7	1/2	1/2	4/4	3	1	1/2		1/2	1		4	52	54
7	7	1/2	1/2	4/4	4	1	1/2		1/2	1	1	0	60	57
7	7	1/2	1/2	4/4	1	1	1/2		1/2	1		-2	70	48
7	7	1/2	1/2	4/4	2	1	1/4		1/4	1		-4	80	52
7	7	3/4	3/4	4/4	2	1	1/4		1/4	1	1	1	79	53
8	8	0	0	4/4	3	1	1		1	1		-1	53	69
8	8	0	0	4/4	4	1	1/8		1/8	1	-1	0	60	70
8	8	0	0	4/4	1	1	1/4		1/4	1		-4	68	58
8	8	0	0	4/4	2	1	1/8		1/8	1	-1	1	79	64
8	8	1/8	1/8	4/4	4	1	1/8		1/8	1		-1	41	71
8	8	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	77	65
8	8	1/4	1/4	4/4	4	1	1/8		1/8	1		1	43	72
8	8	1/4	1/4	4/4	1	1	1/8		1/8	1		0	72	59
8	8	1/4	1/4	4/4	2	1	1/8		1/8	1		-4	80	66
8	8	3/8	3/8	4/4	4	1	1/8		1/8	1		-4	44	73
8	8	3/8	3/8	4/4	2	1	1/8		1/8	1		0	72	67
8	8	3/8	3/8	4/4	1	1	1/8		1/8	1		-1	77	60
8	8	1/2	1/2	4/4	4	1	1/2		1/2	1	1	-2	46	74
8	8	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-4	68	68
8	8	1/2	1/2	4/4	1	1	1/4		1/4	1		-3	75	61
