mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5		0	0	2/4	4	1	1/8		1/8	1		3	57	A3	3	8
1	1	0	0.5		0	0	2/4	3	1	1/8		1/8	1		0	60	C4	4	6
1	1	0	0.5		0	0	2/4	2	1	1/8		1/8	1		4	64	E4	4	4
1	1	0	0.5		0	0	2/4	3	1	1/8		1/8	1		4	64	E4	4	6
1	1	0	0.5		0	0	2/4	3	1	1/8		1/8	1		3	69	A4	4	6
1	1	0	0.5		0	0	2/4	2	1	1/8		1/8	1		0	72	C5	5	4
1	1	0	1.0		0	0	2/4	1	1	1/4		1/4	1		4	76	E5	5	0
1	1	1	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		2	50	D3	3	9
1	1	1	0.5		1/4	1/4	2/4	3	1	1/8		1/8	1		2	62	D4	4	7
1	1	1	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		-1	65	F4	4	5
1	1	1	0.5		1/4	1/4	2/4	3	1	1/8		1/8	1		-1	65	F4	4	7
1	1	1	0.5		1/4	1/4	2/4	3	1	1/8		1/8	1		3	69	A4	4	7
1	1	1	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		2	74	D5	5	5
1	1	1	0.75		1/4	1/4	2/4	1	1	3/16		1/8	3/2		-1	77	F5	5	1
1	1	7/4	0.125		7/16	7/16	2/4	1	1	1/32		1/32	1		4	76	E5	5	2
1	1	15/8	0.125		15/32	15/32	2/4	1	1	1/32		1/32	1		2	74	D5	5	3
2	2	2	0.5		0	0	2/4	2	1	1/8		1/8	1		1	55	G3	3	13
2	2	2	0.5		0	0	2/4	3	1	1/8		1/8	1		1	55	G3	3	15
2	2	2	0.5		0	0	2/4	4	1	1/8		1/8	1		1	55	G3	3	17
2	2	2	0.5		0	0	2/4	2	1	1/8		1/8	1		-1	65	F4	4	13
2	2	2	0.5		0	0	2/4	3	1	1/8		1/8	1		1	67	G4	4	15
2	2	2	0.5		0	0	2/4	2	1	1/8		1/8	1		-2	70	Bb4	4	13
2	2	2	0.5		0	0	2/4	1	1	1/8		1/8	1		0	72	C5	5	10
2	2	5/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	11
2	2	3	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		0	48	C3	3	18
