mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	3/4	4	1	1/4		1/4	1		-2	46	Bb2	2	10
1	1	0	1.0	0	0	3/4	3	1	1/4		1/4	1		2	50	D3	3	7
1	1	0	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	4
1	1	0	1.5	0	0	3/4	1	1	3/8		1/4	3/2		-1	65	F4	4	0
1	1	1	1.0	1/4	1/4	3/4	4	1	1/4		1/4	1		2	38	D2	2	11
1	1	1	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		-1	53	F3	3	8
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	5
1	1	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	1
1	1	2	1.0	1/2	1/2	3/4	4	1	1/4		1/4	1		-1	41	F2	2	12
1	1	2	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1	1	-3	51	Eb3	3	9
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	6
1	1	2	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		1	67	G4	4	2
1	1	5/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	3
2	2	3	2.0	0	0	3/4	4	1	1/2		1/2	1		1	43	G2	2	22
2	2	3	1.0	0	0	3/4	3	1	1/4		1/4	1	-1	-3	51	Eb3	3	19
2	2	3	1.0	0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	17
2	2	3	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	13
2	2	4	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		2	50	D3	3	20
2	2	4	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1	1	-2	58	Bb3	3	18
2	2	4	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	14
2	2	5	1.0	1/2	1/2	3/4	4	1	1/4		1/4	1		2	38	D2	2	23
2	2	5	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		-1	53	F3	3	21
2	2	5	0.75	1/2	1/2	3/4	1	1	3/16		1/8	3/2		-2	70	Bb4	4	15
2	2	23/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		2	62	D4	4	16
3	3	6	1.0	0	0	3/4	4	1	1/4		1/4	1		-3	39	Eb2	2	34
3	3	6	1.0	0	0	3/4	3	1	1/4		1/4	1		1	55	G3	3	31
3	3	6	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	-2	58	Bb3	3	28
3	3	6	1.5	0	0	3/4	1	1	3/8		1/4	3/2		0	60	C4	4	24
