mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0		0	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	1
1	0	0	0	1.0		0	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	0
2	1	1	1	3.0		0	0	3/4	4	1	3/4		1/2	3/2	1	2	62	D4	4	7
2	1	1	1	2.0		0	0	3/4	2	1	1/2		1/2	1		6	66	F#4	4	4
2	1	1	1	2.0		0	0	3/4	1	1	1/2		1/2	1		2	74	D5	5	2
2	1	1	1	3.0		0	0	3/4	3	1	3/4		1/2	3/2	1	2	74	D5	5	6
2	1	3	3	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		3	69	A4	4	5
2	1	3	3	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		6	78	F#5	5	3
3	2	4	4	3.0		0	0	3/4	4	1	3/4		1/2	3/2	0	2	62	D4	4	13
3	2	4	4	2.0		0	0	3/4	2	1	1/2		1/2	1		0	72	C5	5	10
3	2	4	4	3.0		0	0	3/4	3	1	3/4		1/2	3/2	0	2	74	D5	5	12
3	2	4	4	2.0		0	0	3/4	1	1	1/2		1/2	1		3	81	A5	5	8
3	2	6	6	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		5	71	B4	4	11
3	2	6	6	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		1	79	G5	5	9
4	3	7	7	3.0		0	0	3/4	4	1	3/4		1/2	3/2	0	2	62	D4	4	22
4	3	7	7	1.0		0	0	3/4	2	1	1/4		1/4	1		3	69	A4	4	17
4	3	7	7	2.0		0	0	3/4	3	1	1/2		1/2	1	-1	2	74	D5	5	20
4	3	7	7	1.0		0	0	3/4	1	1	1/4		1/4	1		6	78	F#5	5	14
4	3	8	8	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		5	71	B4	4	18
4	3	8	8	1.0		1/4	1/4	3/4	1	1	1/4		1/4	1		1	79	G5	5	15
4	3	9	9	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	19
4	3	9	9	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		7	73	C#5	5	21
4	3	9	9	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	16
5	4	10	10	3.0		0	0	3/4	4	1	3/4		1/2	3/2	-1	2	62	D4	4	30
5	4	10	10	1.0		0	0	3/4	2	1	1/4		1/4	1		6	66	F#4	4	24
5	4	10	10	1.0		0	0	3/4	3	1	1/4		1/4	1		2	74	D5	5	27
5	4	10	10	3.0		0	0	3/4	1	1	3/4		1/2	3/2	1	2	74	D5	5	23
5	4	11	11	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	69	A4	4	25
5	4	11	11	1.0		1/4	1/4	3/4	3	1	1/4		1/4	1		7	73	C#5	5	28
5	4	12	12	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	26
5	4	12	12	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		5	71	B4	4	29
6	5	13	13	3.0		0	0	3/4	4	1	3/4		1/2	3/2		3	57	A3	3	39
6	5	13	13	1.0		0	0	3/4	2	1	1/4		1/4	1		6	66	F#4	4	33
6	5	13	13	1.0		0	0	3/4	3	1	1/4		1/4	1		3	69	A4	4	36
6	5	13	13	2.0		0	0	3/4	1	1	1/2		1/2	1	-1	2	74	D5	5	31
6	5	14	14	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		1	67	G4	4	34
6	5	14	14	1.0		1/4	1/4	3/4	3	1	1/4		1/4	1		5	71	B4	4	37
6	5	15	15	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	35
6	5	15	15	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		1	67	G4	4	38
6	5	15	15	1.0		1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	32
7	6	16	16	3.0		0	0	3/4	4	1	3/4		1/2	3/2		2	50	D3	3	47
7	6	16	16	1.0		0	0	3/4	2	1	1/4		1/4	1		2	62	D4	4	41
7	6	16	16	1.0		0	0	3/4	3	1	1/4		1/4	1		6	66	F#4	4	44
7	6	16	16	3.0		0	0	3/4	1	1	3/4		1/2	3/2	1	2	74	D5	5	40
7	6	17	17	1.0		1/4	1/4	3/4	3	1	1/4		1/4	1		7	61	C#4	4	45
7	6	17	17	1.0		1/4	1/4	3/4	2	1	1/4		1/4	1		3	69	A4	4	42
7	6	18	18	1.0		1/2	1/2	3/4	3	1	1/4		1/4	1		5	59	B3	3	46
7	6	18	18	1.0		1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	43
8	7	19	19	3.0		0	0	3/4	4	1	3/4		1/2	3/2		3	45	A2	2	56
