mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	1
1	1	2	2	2.0	1/2	1/2	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	2
1	1	2	2	2.0	1/2	1/2	2/2	3	1	1/2	1/2_r16_0	1/2	1		0	48	C3	3	0
2	2	4	4	2.0	0	0	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	21
2	2	4	4	2.0	0	0	2/2	3	1	1/2	1/2_r16_0	1/2	1		0	48	C3	3	19
2	2	4	4	0.5	0	0	2/2	2	1	1/8	1/8_r8_0	1/8	1		-4	56	Ab3	3	11
2	2	4	4	0.5	0	0	2/2	1	1	1/8	1/8_r8_0	1/8	1		-1	65	F4	4	3
2	2	9/2	9/2	0.5	1/8	1/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		1	55	G3	3	12
2	2	9/2	9/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		4	64	E4	4	4
2	2	5	5	0.5	1/4	1/4	2/2	2	1	1/8	1/8_r8_0	1/8	1		-4	56	Ab3	3	13
2	2	5	5	0.5	1/4	1/4	2/2	1	1	1/8	1/8_r8_0	1/8	1		-1	65	F4	4	5
2	2	11/2	11/2	0.5	3/8	3/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		-2	58	Bb3	3	14
2	2	11/2	11/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		1	67	G4	4	6
2	2	6	6	2.0	1/2	1/2	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	22
2	2	6	6	2.0	1/2	1/2	2/2	3	1	1/2	1/2_r16_0	1/2	1		0	48	C3	3	20
2	2	6	6	0.5	1/2	1/2	2/2	2	1	1/8	1/8_r8_0	1/8	1		0	60	C4	4	15
2	2	6	6	0.5	1/2	1/2	2/2	1	1	1/8	1/8_r8_0	1/8	1		-4	68	Ab4	4	7
2	2	13/2	13/2	0.5	5/8	5/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		-2	58	Bb3	3	16
2	2	13/2	13/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		-2	70	Bb4	4	8
2	2	7	7	0.5	3/4	3/4	2/2	2	1	1/8	1/8_r8_0	1/8	1		-4	56	Ab3	3	17
2	2	7	7	0.5	3/4	3/4	2/2	1	1	1/8	1/8_r8_0	1/8	1		0	72	C5	5	9
2	2	15/2	15/2	0.5	7/8	7/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		-2	58	Bb3	3	18
2	2	15/2	15/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		-2	70	Bb4	4	10
3	3	8	8	2.0	0	0	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	44
3	3	8	8	2.0	0	0	2/2	3	1	1/2	1/2_r16_0	1/2	1		0	48	C3	3	39
3	3	8	8	0.5	0	0	2/2	2	1	1/8	1/8_r8_0	1/8	1		0	60	C4	4	31
3	3	8	8	0.5	0	0	2/2	1	1	1/8	1/8_r8_0	1/8	1		-4	68	Ab4	4	23
3	3	17/2	17/2	0.5	1/8	1/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		-2	58	Bb3	3	32
3	3	17/2	17/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		1	67	G4	4	24
3	3	9	9	0.5	1/4	1/4	2/2	2	1	1/8	1/8_r8_0	1/8	1		-4	56	Ab3	3	33
3	3	9	9	0.5	1/4	1/4	2/2	1	1	1/8	1/8_r8_0	1/8	1		-1	65	F4	4	25
3	3	19/2	19/2	0.5	3/8	3/8	2/2	2	1	1/8	1/8_r8_0	1/8	1		-2	58	Bb3	3	34
3	3	19/2	19/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8_r8_0	1/8	1		1	67	G4	4	26
3	3	10	10	2.0	1/2	1/2	2/2	4	1	1/2	1/2_r16_0	1/2	1		-1	41	F2	2	45
3	3	10	10	0.5	1/2	1/2	2/2	3	1	1/8	1/8_r8_0	1/8	1		0	48	C3	3	40
