mc	mn	onset	label
1	1	0	.Ab.I
2	2	0	I(b64)
2	2	1/4	I(#8b64)
2	2	1/2	I(9b64)
3	3	0	V65
3	3	1/2	V65(6)
3	3	5/8	V65
4	4	0	I
4	4	1/8	I(64)
4	4	1/2	I\\
5	5	0	V6
5	5	1/2	ii65/V
5	5	5/8	V6
6	6	0	ii7/V
6	6	1/4	V43/V
6	6	1/2	viio6(11)/V
6	6	5/8	viio6/V
7	7	0	V65
7	7	1/8	V7
7	7	1/4	I
7	7	1/2	IV
8	8	0	V(64)
8	8	1/4	V\\
8	8	3/8	V/vi
8	8	1/2	IV
8	8	5/8	viio
9	9	0	I
10	10	0	I(b64)
10	10	1/4	I(#8b64)
10	10	1/2	I(9b64)
11	11	0	V65
11	11	1/2	V7(6)
11	11	5/8	V7
12	12	0	I
12	12	1/2	V43
13	13	0	I6
13	13	1/2	V+6(11)/IV
13	13	5/8	V+6/IV
14	14	0	IV[ii65
14	14	1/4	IV
15	15	1/4	iii6
15	15	3/8	ii6]
15	15	1/2	V(64)
15	15	5/8	V
16	16	0	viio6/V
16	16	1/8	V43/V
16	16	1/4	viio
16	16	3/8	V7
16	16	1/2	I(4)
16	16	5/8	I
17	17	0	ii6
17	17	1/4	V(64)
17	17	1/2	V7(4)
17	17	5/8	V7
18	18	0	I\\
19	19	0	I(b64)
19	19	1/8	I(#8b64)
19	19	3/8	I(9b64)
19	19	1/2	I(4)
20	20	0	I(7)
20	20	1/4	I\\
21	21	0	V.#viio65(4)/ii
21	21	1/8	#viio65(#44)/ii
21	21	1/4	#viio65(#4)/ii
21	21	3/8	#viio65/ii
21	21	1/2	V7/ii
22	22	0	ii64
22	22	1/8	ii6
22	22	1/4	V7/ii
22	22	3/8	V/ii
22	22	1/2	V7/ii
22	22	5/8	V7/ii
23	23	0	V/ii
23	23	1/4	ii(9#74)
23	23	1/2	V43(4)/ii
24	24	0	V/ii
24	24	1/4	ii6
24	24	5/8	viio7/V
25	25	0	V
26	26	0	i64
26	26	1/4	i64(b13)
27	27	0	iv7
27	27	1/4	V7/bVII
28	28	0	V43/bIII
28	28	1/4	.bIII(b4)
28	28	1/2	V65/bIII
29	29	0	.bIII\\
30	30	0	iv65
31	31	1/4	.Ger6
32	32	0	V(b64)
32	32	1/8	iv7
32	32	1/4	V(b64)
32	32	1/2	V
33	33	0	V43/V
33	33	1/4	V65
33	33	3/8	V7
33	33	1/2	I(4)
33	33	5/8	V7(IV)
34	34	0	ii6
34	34	1/4	V(64)
34	34	1/2	V7(4)
34	34	5/8	V7
35	35	0	I\\
35	35	1/2	IV6
36	36	0	I64
36	36	1/8	I6
36	36	3/8	I
36	36	1/2	IV6
37	37	0	I64
37	37	1/2	viio7/V
38	38	1/4	V7(4)
38	38	1/2	V2
39	39	0	I6
39	39	1/2	IV
40	40	0	I64
40	40	1/2	iv6
41	41	0	I64
41	41	1/4	iv6
41	41	1/2	I64
42	42	0	ii%2/V
42	42	1/4	V65/V
43	43	0	viio43
43	43	1/4	#viio65/ii
44	44	0	viio2/V
44	44	1/4	viio65
45	45	0	I6
45	45	1/2	ii65
46	46	0	V(64)
46	46	1/2	V7
47	47	0	I\\
47	47	1/4	I64
47	47	1/2	I
48	48	0	V7(4)
48	48	1/8	V7
48	48	1/4	V7(9)
48	48	1/2	V7
49	49	0	I
49	49	1/4	I64
49	49	1/2	I
50	50	0	V7(4)
50	50	1/8	V7
50	50	1/4	V7(9)
50	50	1/2	V7
51	51	0	i
52	52	0	I.i64
52	52	1/4	vii%7(#7)/bVII
52	52	1/2	vii%7/bVII
53	53	1/4	V(64)/bIII
54	54	0	V7(4)/bIII
54	54	1/4	V7/bIII
55	55	0	viio7
55	55	1/2	V7/bIII
56	56	0	.bIII64
56	56	1/4	V(4)/bIII
56	56	7/16	V/bIII
56	56	1/2	ii64/bIII
57	57	0	vi(4)/bIII
57	57	3/16	vi/bIII
57	57	1/4	V65/bIII
58	58	0	.bIII6
58	58	1/4	viio6(2)/bIII
58	58	7/16	viio6/bIII
58	58	1/2	iio64
59	59	0	i64(2)
59	59	1/4	ii%7
59	59	1/2	V43
60	60	0	i64
60	60	1/8	i64(#4)
60	60	1/4	V(4)
60	60	7/16	V
60	60	1/2	V7
61	61	0	i64(2)
61	61	3/16	i64
61	61	1/4	I
61	61	3/8	iio64/ii
61	61	1/2	V7/ii
61	61	5/8	#viio/ii
62	62	0	ii6
62	62	1/4	V64(4)/ii
62	62	7/16	V43/ii
62	62	1/2	V2/ii
63	63	0	ii6(#72)
63	63	3/16	ii6
63	63	1/4	v6
64	64	0	#viio65/v
64	64	1/4	#viio43/v
65	65	0	V6
65	65	1/4	#viio43/vi
66	66	0	V(64)/vi
66	66	1/4	V7(4)/vi
66	66	7/16	V7/vi
67	67	0	vi64(2)
67	67	3/16	vi
67	67	1/4	#viio7/vi
67	67	3/8	#viio65/vi
67	67	1/2	vi6(13)
67	67	5/8	vi6
68	68	0	V7/iii
68	68	1/4	V7/vi
68	68	1/2	V7/ii
69	69	0	V7/V
69	69	1/4	#viio7/vi
69	69	1/2	vi
70	70	0	vi6
70	70	1/4	ii%65(112)/vi
70	70	7/16	ii%65/vi
70	70	1/2	V7/vi
71	71	0	#viio2/vi
71	71	3/16	VI/vi
71	71	1/4	vi6
71	71	1/2	ii%65(112)/vi
71	71	11/16	.bII6/vi
