mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.Bb.I	Bb	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	1	1	I6	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	3/4	1	1	ii6	Bb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
1	1	5/8	5/8	3/4	1	1	viio64	Bb	I		viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
2	2	0	0	3/4	1	1	vi(964)	Bb	I		vi(964)		vi			964			m	0	0	3, 2, -1	5	3	3
2	2	1/4	1/4	3/4	1	1	vi	Bb	I		vi		vi						m	0	0	3, 0, 4		3	3
2	2	1/2	1/2	3/4	1	1	I6	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
3	3	0	0	3/4	1	1	ii65	Bb	I		ii65		ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
3	3	1/4	1/4	3/4	1	1	V(4)	Bb	I		V(4)		V			4			M	0	0	1, 0, 2		1	1
3	3	1/2	1/2	3/4	1	1	V	Bb	I		V		V						M	0	0	1, 5, 2		1	1
4	4	0	0	3/4	1	1	I(94)	Bb	I		I(94)		I			94			M	0	0	0, -1, 1	2	0	0
4	4	1/4	1/4	3/4	1	1	I\\	Bb	I		I		I					\\	M	0	0	0, 4, 1		0	0
4	4	1/2	1/2	3/4	1	1	V43	Bb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
5	5	0	0	3/4	1	1	I6	Bb	I		I6		I		6				M	0	0	4, 1, 0		0	4
5	5	1/4	1/4	3/4	1	1	ii65	Bb	I		ii65		ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
5	5	1/2	1/2	3/4	1	1	ii(94)	Bb	I		ii(94)		ii			94			m	0	0	2, 1, 3	4	2	2
5	5	7/12	7/12	3/4	1	1	ii7	Bb	I		ii7		ii		7				mm7	0	0	2, -1, 3, 0		2	2
6	6	0	0	3/4	1	1	V(64)	Bb	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
6	6	1/4	1/4	3/4	1	1	V7	Bb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
