mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.b.i		b	i		i		i						m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/4	1	1	iv(9)		b	i		iv(9)		iv			9			m	1	1	-1, -4, 0	1	-1	-1
1	1	3/8	3/8	2/4	1	1	iv		b	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
2	2	0	0	2/4	1	1	V65/III		b	i		V65/III		V		65		III		Mm7	1	1	2, -1, -4, -2		-2	2
2	2	1/4	1/4	2/4	1	1	III(9)		b	i		III(9)		III			9			M	1	1	-3, 1, -2	-1	-3	-3
2	2	3/8	3/8	2/4	1	1	III		b	i		III		III						M	1	1	-3, 1, -2		-3	-3
3	3	0	0	2/4	1	1	i6		b	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
3	3	1/4	1/4	2/4	1	1	iv7		b	i		iv7		iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
4	4	0	0	2/4	1	1	ii%65		b	i		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
4	4	1/4	1/4	2/4	1	1	V7\\		b	i		V7		V		7			\\	Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	2/4	1	1	i		b	i		i		i						m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	2/4	1	1	iv(9)		b	i		iv(9)		iv			9			m	1	1	-1, -4, 0	1	-1	-1
5	5	3/8	3/8	2/4	1	1	iv		b	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
6	6	0	0	2/4	1	1	V65/III		b	i		V65/III		V		65		III		Mm7	1	1	2, -1, -4, -2		-2	2
6	6	1/4	1/4	2/4	1	1	III(9)		b	i		III(9)		III			9			M	1	1	-3, 1, -2	-1	-3	-3
6	6	3/8	3/8	2/4	1	1	III+		b	i		III+		III	+					+	1	1	-3, 1, 5		-3	-3
7	7	0	0	2/4	1	1	i6		b	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
