mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	2/4	4	1		g.V2	g	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	1	1/2	1/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
2	1	1	1	0.5	1/8	1/8	2/4	4	1		V	g	i		V		V							M	1	1	1, 5, 2		1	1
2	1	3/2	3/2	0.5	1/4	1/4	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
2	1	2	2	0.5	3/8	3/8	2/4	4	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	5/2	5/2	1.5	0	0	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	2	4	4	0.5	3/8	3/8	2/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	9/2	9/2	0.5	0	0	2/4	4	1		ii%65	g	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	5	5	0.5	1/8	1/8	2/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	11/2	11/2	0.5	1/4	1/4	2/4	4	1		ii%65	g	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	6	6	0.5	3/8	3/8	2/4	4	1		V	g	i		V		V							M	1	1	1, 5, 2		1	1
5	4	13/2	13/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
5	4	7	7	0.5	1/8	1/8	2/4	4	1		i(9#764)	g	i		i(9#764)		i			9#764				m	1	1	0, -1, -4	2, 5	0	0
