mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	4	1	Ab.I	Ab	I		I		I							M	0	0	0, 4, 1		0	0
2	1	0	0	2/4	4	1	viio	Ab	I		viio		vii	o						o	0	0	5, 2, -1		5	5
2	1	1/8	1/8	2/4	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
2	1	1/4	1/4	2/4	4	1	#viio/vi	Ab	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
2	1	3/8	3/8	2/4	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
3	2	0	0	2/4	4	1	ii65(2)	Ab	I		ii65(2)		ii		65	2				mm7	0	0	-1, 3, 0, 4		2	-1
3	2	1/4	1/4	2/4	4	1	ii65	Ab	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
4	3	0	0	2/4	4	1	IV	Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	1/8	1/8	2/4	4	1	V2	Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	3	1/4	1/4	2/4	4	1	I6	Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	3/8	3/8	2/4	4	1	ii7	Ab	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
5	4	0	0	2/4	4	1	V7	Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	3/8	3/8	2/4	4	1	I\\	Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
6	5	0	0	2/4	4	1	viio	Ab	I		viio		vii	o						o	0	0	5, 2, -1		5	5
6	5	1/8	1/8	2/4	4	1	vi	Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
6	5	1/4	1/4	2/4	4	1	#viio/vi	Ab	I		#viio/vi		#vii	o			vi			o	0	0	8, 5, 2		8	8
6	5	3/8	3/8	2/4	4	1	vi6	Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
7	6	0	0	2/4	4	1	V2(4)/V	Ab	I		V2(4)/V		V		2	4	V			Mm7	0	0	0, 2, 1, 3		2	0
7	6	1/4	1/4	2/4	4	1	V2/V	Ab	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
7	6	3/8	3/8	2/4	4	1	V6	Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
8	7	0	0	2/4	4	1	V(64)/V	Ab	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
