mc	mn	onset	label
1	1	0	.D.I
4	4	0	ii%43/iii
5	5	0	V7/iii
5	5	3/4	iii64
6	6	0	iii
8	8	0	I6
9	9	0	ii65
10	10	0	IV
11	11	0	V65/V
12	12	0	V7
13	13	0	I\\
13	13	1/2	viio
13	13	3/4	I
14	14	0	viio
14	14	1/4	I
14	14	1/2	ii
14	14	3/4	I6
15	15	0	V43(9)
15	15	1/4	ii65
15	15	1/2	V65
15	15	3/4	IV6(+2)
16	16	0	iii6
16	16	1/4	#viio65/vi
16	16	1/2	V(964)
16	16	3/4	V7
17	17	0	I\\
17	17	1/2	V6
17	17	3/4	I
18	18	0	viio6
18	18	1/4	I6
18	18	1/2	ii6
18	18	3/4	I64
18	18	7/8	vi6
19	19	0	V65
19	19	1/4	IV6(+2)
19	19	1/2	iii65
19	19	3/4	ii65
20	20	0	I6
20	20	1/4	#viio43/vi
20	20	1/2	vi6
20	20	3/4	viio
21	21	0	I\\
21	21	1/4	I6
21	21	1/2	IV6
22	22	0	I64
22	22	1/4	I
22	22	1/2	IV6
23	23	0	I64
23	23	1/4	I
23	23	1/2	IV6
24	24	0	I64(+6)
24	24	1/2	.Ger6/vi
25	25	0	V/vi\\
25	25	1/2	vi
26	26	0	V/vi
26	26	1/2	vi
27	27	0	V/vi
27	27	1/4	V6/vi
27	27	1/2	vi
28	28	0	V/vi
28	28	1/2	vi
29	29	0	V/vi
29	29	1/2	V7/III
30	30	0	V(64)/III
30	30	1/2	V7/III
31	31	0	III\\
31	31	1/2	viio/III
31	31	3/4	III
32	32	5/8	#viio/vi
33	33	0	iio/vi
34	34	0	#viio7/vi
36	36	0	V
36	36	1/4	V43
36	36	1/2	V
36	36	3/4	V43
37	37	0	I\\
39	39	3/4	I64
40	40	0	ii%43/iii
41	41	0	V7/iii
41	41	3/4	iii64
42	42	0	iii
43	43	0	V7/iii
44	44	0	iii
44	44	3/4	iii6
45	45	0	V65/iii
45	45	1/2	V43/iii
46	46	0	iii
46	46	3/4	iii6
47	47	0	iio/iii
47	47	1/2	#viio7/iii
47	47	3/4	V.V6
48	48	0	vi7
48	48	1/8	viio
48	48	1/4	I
48	48	1/2	I6
49	49	0	ii6
49	49	1/4	ii
49	49	1/2	vii%7
49	49	3/4	V2
50	50	0	I6
50	50	3/8	V7
50	50	1/2	vi
50	50	5/8	viio
50	50	3/4	vi6
50	50	7/8	#vii%7/ii
51	51	0	ii
51	51	1/8	I6
51	51	1/4	ii6
