mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12/8	1	1	.D.I		D	I		I		I						M	0	0	0, 4, 1		0	0
1	1	3/4	3/4	12/8	1	1	ii65		D	I		ii65		ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
1	1	9/8	9/8	12/8	1	1	V7		D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
2	2	0	0	12/8	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
4	4	9/8	9/8	12/8	1	1	I(64)		D	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
5	5	0	0	12/8	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
5	5	3/8	3/8	12/8	1	1	I(64)		D	I		I(64)		I			64			M	0	0	0, -1, 3		0	0
5	5	3/4	3/4	12/8	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
5	5	9/8	9/8	12/8	1	1	vi		D	I		vi		vi						m	0	0	3, 0, 4		3	3
6	6	0	0	12/8	1	1	V\\		D	I		V		V					\\	M	0	0	1, 5, 2		1	1
6	6	3/4	3/4	12/8	1	1	ii		D	I		ii		ii						m	0	0	2, -1, 3		2	2
8	8	9/8	9/8	12/8	1	1	ii(b64)		D	I		ii(b64)		ii			b64			m	0	0	2, 1, -2		2	2
9	9	0	0	12/8	1	1	ii		D	I		ii		ii						m	0	0	2, -1, 3		2	2
9	9	3/8	3/8	12/8	1	1	ii(b64)		D	I		ii(b64)		ii			b64			m	0	0	2, 1, -2		2	2
9	9	9/8	9/8	12/8	1	1	.It6/ii		D	I		It6/ii	It	vii	o	6	b3	V/ii		It	0	0	-2, 2, 8		8	-2
10	10	0	0	12/8	1	1	V/ii\\		D	I		V/ii		V				ii	\\	M	0	0	3, 7, 4		3	3
10	10	3/4	3/4	12/8	1	1	ii		D	I		ii		ii						m	0	0	2, -1, 3		2	2
11	11	0	0	12/8	1	1	viio		D	I		viio		vii	o					o	0	0	5, 2, -1		5	5
11	11	3/4	3/4	12/8	1	1	V7		D	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	0	12/8	1	1	I		D	I		I		I						M	0	0	0, 4, 1		0	0
12	12	3/4	3/4	12/8	1	1	ii		D	I		ii		ii						m	0	0	2, -1, 3		2	2
13	13	0	0	12/8	1	1	viio		D	I		viio		vii	o					o	0	0	5, 2, -1		5	5
