mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	4/4	4	1		e.i	e	i		i		i							m	1	1	0, -3, 1		0	0
3	3	8	8	2.0	0	0	4/4	4	1		V2(9)/V	e	i		V2(9)/V		V		2	9	V			Mm7	1	1	0, 2, 6, 3	4	2	0
3	3	10	10	2.0	1/2	1/2	4/4	4	1		V2/V	e	i		V2/V		V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
4	4	12	12	2.0	0	0	4/4	4	1		V(4)	e	i		V(4)		V			4				M	1	1	1, 0, 2		1	1
4	4	14	14	2.0	1/2	1/2	4/4	4	1		V	e	i		V		V							M	1	1	1, 5, 2		1	1
5	5	16	16	1.0	0	0	4/4	4	1		i(4)	e	i		i(4)		i			4				m	1	1	0, -1, 1		0	0
5	5	17	17	3.0	1/4	1/4	4/4	4	1		i	e	i		i		i							m	1	1	0, -3, 1		0	0
6	6	20	20	1.0	0	0	4/4	4	1		iv6(11)	e	i		iv6(11)		iv		6	11				m	1	1	-4, 0, -1	-2	-1	-4
6	6	21	21	1.0	1/4	1/4	4/4	4	1		iv6	e	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	22	22	1.0	1/2	1/2	4/4	4	1		iv6(2)	e	i		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
6	6	23	23	1.0	3/4	3/4	4/4	4	1		iv6	e	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	24	24	1.0	0	0	4/4	4	1		ii%65(2)	e	i		ii%65(2)		ii	%	65	2				%7	1	1	-1, -4, 0, -3		2	-1
7	7	25	25	3.0	1/4	1/4	4/4	4	1		ii%65	e	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	28	28	1.0	0	0	4/4	4	1		ii[iv6(2)	e	i	ii	iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
8	8	29	29	1.0	1/4	1/4	4/4	4	1		iv6	e	i	ii	iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
8	8	30	30	1.0	1/2	1/2	4/4	4	1		III6	e	i	ii	III6		III		6					M	1	1	1, -2, -3		-3	1
