mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.E.I[I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
1	1	3/8	IV6		E	I	I	IV6	IV			6				M	0	0	3, 0, -1		-1	3
1	1	1/2	I64		E	I	I	I64	I			64				M	0	0	1, 0, 4		0	1
1	1	5/8	viio64		E	I	I	viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
2	2	0	I6		E	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
2	2	1/8	viio6		E	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
2	2	1/4	I6]		E	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
2	2	3/8	vii%7		E	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5	5
2	2	1/2	I		E	I		I	I							M	0	0	0, 4, 1		0	0
2	2	5/8	IV6		E	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
3	3	0	I64		E	I		I64	I			64				M	0	0	1, 0, 4		0	1
3	3	1/8	viio64		E	I		viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
3	3	1/4	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
3	3	3/8	V64		E	I		V64	V			64				M	0	0	2, 1, 5		1	2
3	3	1/2	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
3	3	5/8	ii6		E	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
4	4	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
4	4	1/4	V7		E	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
5	5	1/4	V7		E	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
6	6	1/4	V7\\		E	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
6	6	3/8	viio64/V		E	I		viio64/V	vii		o	64		V		o	0	0	0, 6, 3		6	0
6	6	1/2	V6		E	I		V6	V			6				M	0	0	5, 2, 1		1	5
6	6	5/8	vi6		E	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
7	7	0	viio6		E	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
7	7	1/8	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
7	7	1/4	ii6		E	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
7	7	3/8	iii6		E	I		iii6	iii			6				m	0	0	1, 5, 4		4	1
7	7	1/2	IV6		E	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
7	7	5/8	viio64/V		E	I		viio64/V	vii		o	64		V		o	0	0	0, 6, 3		6	0
8	8	0	V6		E	I		V6	V			6				M	0	0	5, 2, 1		1	5
8	8	1/8	viio64/V		E	I		viio64/V	vii		o	64		V		o	0	0	0, 6, 3		6	0
8	8	1/4	V64		E	I		V64	V			64				M	0	0	2, 1, 5		1	2
8	8	3/8	vi64		E	I		vi64	vi			64				m	0	0	4, 3, 0		3	4
8	8	1/2	viio64		E	I		viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
8	8	5/8	V		E	I		V	V							M	0	0	1, 5, 2		1	1
9	9	0	I[I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
9	9	3/8	IV6		E	I	I	IV6	IV			6				M	0	0	3, 0, -1		-1	3
9	9	1/2	I64		E	I	I	I64	I			64				M	0	0	1, 0, 4		0	1
9	9	5/8	viio64		E	I	I	viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
10	10	0	I6		E	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
10	10	1/8	viio6		E	I	I	viio6	vii		o	6				o	0	0	2, -1, 5		5	2
10	10	1/4	I6]		E	I	I	I6	I			6				M	0	0	4, 1, 0		0	4
10	10	3/8	vii%7		E	I		vii%7	vii		%	7				%7	0	0	5, 4, 11, 3		5	5
10	10	1/2	I		E	I		I	I							M	0	0	0, 4, 1		0	0
10	10	5/8	IV6		E	I		IV6	IV			6				M	0	0	3, 0, -1		-1	3
11	11	0	I64		E	I		I64	I			64				M	0	0	1, 0, 4		0	1
11	11	1/8	viio64		E	I		viio64	vii		o	64				o	0	0	-1, 5, 2		5	-1
11	11	1/4	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
11	11	3/8	V64		E	I		V64	V			64				M	0	0	2, 1, 5		1	2
11	11	1/2	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
11	11	5/8	ii6		E	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
12	12	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
12	12	1/4	V7		E	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	3/8	ii2		E	I		ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
12	12	1/2	V65		E	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
12	12	5/8	ii64		E	I		ii64	ii			64				m	0	0	3, 2, -1		2	3
13	13	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
13	13	1/4	V7		E	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
13	13	3/8	ii2		E	I		ii2	ii			2				mm7	0	0	0, 2, -1, 3		2	0
13	13	1/2	V65		E	I		V65	V			65				Mm7	0	0	5, 2, -1, 1		1	5
13	13	5/8	ii64		E	I		ii64	ii			64				m	0	0	3, 2, -1		2	3
14	14	0	V7(4)		E	I		V7(4)	V			7	4			Mm7	0	0	1, 0, 2, -1		1	1
14	14	1/4	V7\\		E	I		V7	V			7			\\	Mm7	0	0	1, 5, 2, -1		1	1
14	14	3/8	viio64/V		E	I		viio64/V	vii		o	64		V		o	0	0	0, 6, 3		6	0
14	14	1/2	V6		E	I		V6	V			6				M	0	0	5, 2, 1		1	5
14	14	5/8	vi6		E	I		vi6	vi			6				m	0	0	0, 4, 3		3	0
15	15	0	viio6		E	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
15	15	1/8	I6		E	I		I6	I			6				M	0	0	4, 1, 0		0	4
15	15	1/4	ii6		E	I		ii6	ii			6				m	0	0	-1, 3, 2		2	-1
15	15	3/8	viio/V		E	I		viio/V	vii		o			V		o	0	0	6, 3, 0		6	6
15	15	1/2	V		E	I		V	V							M	0	0	1, 5, 2		1	1
15	15	5/8	viio		E	I		viio	vii		o					o	0	0	5, 2, -1		5	5
16	16	0	I6\\		E	I		I6	I			6			\\	M	0	0	4, 1, 0		0	4
