mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	3/4	4/4	4	1	Eb.I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	1	1	1.0	0	0	4/4	4	1	viio6(2)	Eb	I		viio6(2)		vii	o	6	2				o	0	0	2, -1, 0		5	2
2	1	2	2	1.0	1/4	1/4	4/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	3	3	1.0	1/2	1/2	4/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	1	4	4	1.0	3/4	3/4	4/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	2	5	5	1.0	0	0	4/4	4	1	viio6(2)/V	Eb	I		viio6(2)/V		vii	o	6	2	V			o	0	0	3, 0, 1		6	3
3	2	6	6	2.0	1/4	1/4	4/4	4	1	V65	Eb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	8	8	1.0	3/4	3/4	4/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	9	9	1.0	0	0	4/4	4	1	viio6(2)	Eb	I		viio6(2)		vii	o	6	2				o	0	0	2, -1, 0		5	2
4	3	10	10	1.0	1/4	1/4	4/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	11	11	1.0	1/2	1/2	4/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	12	12	1.0	3/4	3/4	4/4	4	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	4	13	13	1.0	0	0	4/4	4	1	viio6(2)/V	Eb	I		viio6(2)/V		vii	o	6	2	V			o	0	0	3, 0, 1		6	3
5	4	14	14	1.0	1/4	1/4	4/4	4	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	15	15	2.0	1/2	1/2	4/4	4	1	V65\\	Eb	I		V65		V		65				\\	Mm7	0	0	5, 2, -1, 1		1	5
6	5	17	17	1.0	0	0	4/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	18	18	0.5	1/4	1/4	4/4	4	1	viio6(+2)	Eb	I		viio6(+2)		vii	o	6	+2				o	0	0	2, -1, 5	0	5	2
6	5	37/2	37/2	0.5	3/8	3/8	4/4	4	1	V65/IV	Eb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
6	5	19	19	0.5	1/2	1/2	4/4	4	1	IV64	Eb	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
6	5	39/2	39/2	0.5	5/8	5/8	4/4	4	1	V+/IV	Eb	I		V+/IV		V	+			IV			+	0	0	0, 4, 8		0	0
6	5	20	20	1.0	3/4	3/4	4/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	21	21	0.5	0	0	4/4	4	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	6	43/2	43/2	0.5	1/8	1/8	4/4	4	1	V+(#74)	Eb	I		V+(#74)		V	+		#74				+	0	0	1, 0, 9	6	1	1
