mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.a.#viio7/iv		a	i		#viio7/iv	#vii		o	7		iv		o7	1	1	4, 1, -2, -5		4.0	4.0
9	9	0	iv\\		a	i		iv	iv						\\	m	1	1	-1, -4, 0		-1.0	-1.0
9	9	3/4	iv6		a	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
9	9	7/8	iio/iv		a	i		iio/iv	ii		o			iv		o	1	1	1, -2, -5		1.0	1.0
10	10	1/8	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
10	10	1/4	iv64		a	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
10	10	3/8	iio64/iv		a	i		iio64/iv	ii		o	64		iv		o	1	1	-5, 1, -2		1.0	-5.0
10	10	5/8	iv64		a	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
10	10	7/8	iio6/iv		a	i		iio6/iv	ii		o	6		iv		o	1	1	-2, -5, 1		1.0	-2.0
11	11	0	iv(9b64)		a	i		iv(9b64)	iv				9b64			m	1	1	-1, -2, -5	1	-1.0	-1.0
11	11	1/8	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
11	11	1/4	iv6		a	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
11	11	3/8	#viio7/iv		a	i		#viio7/iv	#vii		o	7		iv		o7	1	1	4, 1, -2, -5		4.0	4.0
11	11	5/8	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
11	11	7/8	iio64/iv		a	i		iio64/iv	ii		o	64		iv		o	1	1	-5, 1, -2		1.0	-5.0
12	12	1/8	iv64		a	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
12	12	3/8	iio6/iv		a	i		iio6/iv	ii		o	6		iv		o	1	1	-2, -5, 1		1.0	-2.0
12	12	5/8	iv6		a	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
12	12	3/4	#viio6/iv		a	i		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
12	12	7/8	iv6\\		a	i		iv6	iv			6			\\	m	1	1	-4, 0, -1		-1.0	-4.0
13	13	0	V65/VI		a	i		V65/VI	V			65		VI		Mm7	1	1	1, -2, -5, -3		-3.0	1.0
15	15	0	V6/VI		a	i		V6/VI	V			6		VI		M	1	1	1, -2, -3		-3.0	1.0
17	17	0	IV6/VI		a	i		IV6/VI	IV			6		VI		M	1	1	-1, -4, -5		-5.0	-1.0
19	19	0	V7(9)/VI		a	i		V7(9)/VI	V			7	9	VI		Mm7	1	1	-3, 1, -2, -5	-1	-3.0	-3.0
19	19	1/2	V7/VI\\		a	i		V7/VI	V			7		VI	\\	Mm7	1	1	-3, 1, -2, -5		-3.0	-3.0
21	21	0	V65/iv		a	i		V65/iv	V			65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
21	21	1/4	V6/iv		a	i		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
21	21	3/8	iio/iv		a	i		iio/iv	ii		o			iv		o	1	1	1, -2, -5		1.0	1.0
21	21	5/8	V6/iv		a	i		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
21	21	7/8	iio/iv		a	i		iio/iv	ii		o			iv		o	1	1	1, -2, -5		1.0	1.0
22	22	1/8	V6/iv		a	i		V6/iv	V			6		iv		M	1	1	4, 1, 0		0.0	4.0
22	22	3/8	#viio2/iv		a	i		#viio2/iv	#vii		o	2		iv		o7	1	1	-5, 4, 1, -2		4.0	-5.0
22	22	5/8	iio6/iv		a	i		iio6/iv	ii		o	6		iv		o	1	1	-2, -5, 1		1.0	-2.0
22	22	7/8	#viio6/iv		a	i		#viio6/iv	#vii		o	6		iv		o	1	1	1, -2, 4		4.0	1.0
23	23	0	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
23	23	3/8	#viio7/iv		a	i		#viio7/iv	#vii		o	7		iv		o7	1	1	4, 1, -2, -5		4.0	4.0
23	23	5/8	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
23	23	7/8	iio64/iv		a	i		iio64/iv	ii		o	64		iv		o	1	1	-5, 1, -2		1.0	-5.0
24	24	1/8	iv64		a	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
24	24	1/4	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
24	24	3/8	iv64		a	i		iv64	iv			64				m	1	1	0, -1, -4		-1.0	0.0
24	24	5/8	iv6		a	i		iv6	iv			6				m	1	1	-4, 0, -1		-1.0	-4.0
24	24	7/8	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0
25	25	0	V6		a	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
25	25	3/8	iio		a	i		iio	ii		o					o	1	1	2, -1, -4		2.0	2.0
25	25	5/8	V6		a	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
25	25	7/8	iio		a	i		iio	ii		o					o	1	1	2, -1, -4		2.0	2.0
26	26	1/8	V6		a	i		V6	V			6				M	1	1	5, 2, 1		1.0	5.0
