mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	4	1	e.i		e	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
2	2	0	0	3/4	4	1	iio6(2)		e	i		iio6(2)		ii	o	6	2				o	1	1	-1, -4, -3		2	-1
2	2	3/8	3/8	3/4	4	1	iio6		e	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	1/2	1/2	3/4	4	1	#viio43		e	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
4	4	0	0	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	3/4	4	1	i6(#7)		e	i		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
5	5	1/4	1/4	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	1/2	1/2	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
6	6	0	0	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
6	6	1/2	1/2	3/4	4	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	0	0	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
7	7	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
8	8	0	0	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
8	8	1/2	1/2	3/4	4	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
9	9	0	0	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
10	10	0	0	3/4	4	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
10	10	1/2	1/2	3/4	4	1	i64		e	i		i64		i		64					m	1	1	1, 0, -3		0	1
11	11	0	0	3/4	4	1	ii%43		e	i		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
11	11	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	3/4	4	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
12	12	1/2	1/2	3/4	4	1	i64		e	i		i64		i		64					m	1	1	1, 0, -3		0	1
13	13	0	0	3/4	4	1	ii%43		e	i		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
13	13	1/2	1/2	3/4	4	1	ii%65		e	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
14	14	0	0	3/4	4	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
14	14	1/4	1/4	3/4	4	1	V(64)		e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
14	14	1/2	1/2	3/4	4	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	15	0	0	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
15	15	1/4	1/4	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
15	15	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
16	16	0	0	3/4	4	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
16	16	1/4	1/4	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
16	16	1/2	1/2	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
17	17	0	0	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
17	17	1/4	1/4	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
17	17	1/2	1/2	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
18	18	0	0	3/4	4	1	V7(6)		e	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
18	18	3/8	3/8	3/4	4	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	0	0	3/4	4	1	V7(9)		e	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
19	19	1/2	1/2	3/4	4	1	V(64)		e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
19	19	5/8	5/8	3/4	4	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	0	0	3/4	4	1	VI\\		e	i		VI		VI						\\	M	1	1	-4, 0, -3		-4	-4
21	21	3/8	3/8	3/4	4	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
24	24	0	0	3/4	4	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
25	25	0	0	3/4	4	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	0	0	3/4	4	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
27	27	0	0	3/4	4	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
28	28	0	0	3/4	4	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
29	29	0	0	3/4	4	1	ii%7		e	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
29	29	1/4	1/4	3/4	4	1	iio		e	i		iio		ii	o						o	1	1	2, -1, -4		2	2
29	29	1/2	1/2	3/4	4	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
30	30	0	0	3/4	4	1	iio6		e	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
30	30	1/4	1/4	3/4	4	1	V(64)		e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
30	30	1/2	1/2	3/4	4	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
31	31	0	0	3/4	4	1	i(9#7)		e	i		i(9#7)		i			9#7				m	1	1	0, -3, 1	2, 5	0	0
31	31	1/4	1/4	3/4	4	1	i\\		e	i		i		i						\\	m	1	1	0, -3, 1		0	0
32	32	0	0	3/4	4	1	iv6		e	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
33	33	0	0	3/4	4	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
34	34	0	0	3/4	4	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
34	34	1/4	1/4	3/4	4	1	iv6		e	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
35	35	0	0	3/4	4	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
36	36	0	0	3/4	4	1	VI		e	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
37	37	0	0	3/4	4	1	ii%7		e	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
37	37	1/4	1/4	3/4	4	1	#viio65		e	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
