mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	2/4	4	1	f.i[i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
3	3	4	4	0.5	0	0	2/4	4	1	V7	f	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	9/2	9/2	1.5	1/8	1/8	2/4	4	1	i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
4	4	6	6	2.0	0	0	2/4	4	1	V7	f	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	8	8	2.0	0	0	2/4	4	1	i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
6	6	10	10	2.0	0	0	2/4	4	1	V7	f	i	i	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	12	12	2.0	0	0	2/4	4	1	i]	f	i	i	i		i							m	1	1	0, -3, 1		0	0
8	8	14	14	2.0	0	0	2/4	4	1	V43/V	f	i		V43/V		V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
9	9	16	16	2.0	0	0	2/4	4	1	V\\	f	i		V		V						\\	M	1	1	1, 5, 2		1	1
10	10	18	18	2.0	0	0	2/4	4	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
11	11	20	20	2.0	0	0	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
12	12	22	22	2.0	0	0	2/4	4	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	13	24	24	1.0	0	0	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
13	13	25	25	1.0	1/4	1/4	2/4	4	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
14	14	26	26	1.0	0	0	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
14	14	27	27	1.0	1/4	1/4	2/4	4	1	V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
15	15	28	28	1.0	0	0	2/4	4	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
15	15	29	29	1.0	1/4	1/4	2/4	4	1	V2	f	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
16	16	30	30	1.0	0	0	2/4	4	1	i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
16	16	31	31	1.0	1/4	1/4	2/4	4	1	V64	f	i		V64		V		64					M	1	1	2, 1, 5		1	2
17	17	32	32	4.0	0	0	2/4	4	1	i[i	f	i	i	i		i							m	1	1	0, -3, 1		0	0
