mc	mn	onset	label
1	1	0	.e.i
3	3	0	V2(9)/V
3	3	1/2	V2/V
4	4	0	V(4)
4	4	1/2	V
5	5	0	i(4)
5	5	1/4	i
6	6	0	iv6(11)
6	6	1/4	iv6
6	6	1/2	iv6(2)
6	6	3/4	iv6
7	7	0	ii%65(2)
7	7	1/4	ii%65
8	8	0	ii[iv6(2)
8	8	1/4	iv6
8	8	1/2	III6
8	8	3/4	iio6]
9	9	0	V7(94)
9	9	1/4	V7(9)
9	9	1/2	V(6)
9	9	3/4	V7
10	10	0	i
11	11	0	V2(9)/V
11	11	1/2	V2/V
12	12	0	V(4)
12	12	1/2	V
13	13	0	V7(4)/iv
13	13	1/4	V7(b9)/iv
13	13	1/2	V(6)/iv
13	13	3/4	V7/iv
14	14	0	iv(11)
14	14	1/4	iv
14	14	1/2	V7/iv
14	14	3/4	V(64)/iv
15	15	0	V7(b94)/iv
15	15	1/4	V7(b9)/iv
15	15	1/2	V(6)/iv
15	15	3/4	V7/iv
16	16	0	iv(11)
16	16	1/4	iv
16	16	1/2	V7/iv
16	16	3/4	V(64)/iv
17	17	0	ii%7
17	17	1/4	#viio65
17	17	1/2	V(6)
17	17	3/4	V2
18	18	0	i6
19	19	0	iv[VII6
19	19	1/8	VI6
19	19	1/4	iio6
19	19	3/8	i6
19	19	1/2	VII6
19	19	5/8	VI6
19	19	3/4	v6
19	19	7/8	iv6]
20	20	0	V[V(6)
20	20	1/8	VI
20	20	1/4	III6
20	20	3/8	iv
20	20	1/2	i6]
20	20	5/8	iio6(+4)
20	20	3/4	i6
20	20	7/8	V43
21	21	0	i6
21	21	1/4	V43
21	21	1/2	i
21	21	3/4	V7
22	22	0	i
22	22	1/2	#viio(+2)
22	22	5/8	V(64)
22	22	3/4	iio6
22	22	7/8	i6
23	23	0	VII64
23	23	1/8	iv
23	23	1/4	iio
23	23	3/8	i6(+2)
23	23	1/2	VII6(+4)
23	23	5/8	VI64
23	23	3/4	v2
23	23	7/8	iv
24	24	0	V(6)
24	24	1/4	iio64
24	24	1/2	V(64)
24	24	3/4	V
25	25	0	i\\
25	25	1/2	i64
25	25	3/4	i
26	26	0	iio64
26	26	1/4	iio
26	26	1/2	iio64
26	26	3/4	iio
27	27	0	#viio
27	27	1/4	ii%43
27	27	1/2	V7
27	27	7/8	#viio2
28	28	0	V7
28	28	1/8	#viio
28	28	1/4	iio
28	28	3/8	iio6
28	28	1/2	iio
28	28	5/8	#viio
28	28	3/4	V
28	28	7/8	#viio6
29	29	0	i\\
29	29	1/2	i2
29	29	3/4	VI
29	29	7/8	i43
30	30	0	iv
30	30	1/4	ii%43
30	30	3/8	iio6
30	30	1/2	iio
30	30	3/4	iio6
31	31	0	V
31	31	1/8	V7
31	31	1/4	#viio6
31	31	3/8	#viio2
31	31	1/2	V7
31	31	7/8	#viio2
32	32	0	V7
32	32	1/8	#viio
32	32	1/4	iio
32	32	3/8	iio6
32	32	1/2	iio
32	32	5/8	#viio
32	32	3/4	V
32	32	7/8	#viio6
33	33	0	i\\
33	33	1/4	i64
33	33	3/8	i6
33	33	1/2	i
33	33	3/4	III.IV6
34	34	0	V65
34	34	1/4	V43
34	34	3/8	V2
34	34	1/2	V43
34	34	5/8	V6
34	34	3/4	V
34	34	7/8	V43
35	35	0	I
35	35	1/4	I64
35	35	3/8	I6
35	35	1/2	I
35	35	5/8	iv6/iii
36	36	0	V7/iii
36	36	5/8	#viio/iii
36	36	3/4	V43/iii
36	36	7/8	V7/iii
37	37	0	iii64
37	37	5/8	iii
37	37	3/4	iii6
37	37	7/8	iii64
38	38	0	iio6/iii
38	38	1/8	iio64/iii
38	38	1/4	#viio65/iii
38	38	3/8	V2/iii
38	38	1/2	viio2/VII
38	38	3/4	viio7/VII
39	39	0	V7/iii\\
39	39	1/4	V7(9)/iii
40	40	1/4	V7/iii
41	41	0	V(64)/iii
41	41	1/4	V2(9)/iii
41	41	1/2	iii6
41	41	3/4	IIIM2/iii
42	42	0	VI6/iii
42	42	1/4	#viio43/vi
42	42	1/2	IV6/iii
42	42	3/4	.It6/iii
43	43	0	V/iii\\
43	43	1/4	V7(9)/iii
44	44	3/4	#viio7/iii
45	45	0	iii
45	45	1/4	V43/iii
45	45	1/2	iii6
46	46	0	iv/iii
46	46	1/4	V(64)/iii
46	46	1/2	iio64/iii
46	46	3/4	iv7/iii
47	47	0	V/iii\\
47	47	1/4	V7/iii
47	47	1/2	III
47	47	3/4	VI6/iii
48	48	0	V/iii
48	48	1/4	V7/iii
48	48	1/2	III
48	48	3/4	VI6/iii
49	49	0	V/iii
49	49	1/4	V7/iii
49	49	1/2	V(#64)/iii
49	49	3/4	V(64)/iii
50	50	0	V/iii
50	50	1/2	V7/iii
51	51	0	V(#13)/iii
51	51	1/2	V(64)/iii
52	52	0	V7(4)/iii
52	52	3/4	V7/iii
53	53	0	I[I
53	53	1/4	V7/IV
53	53	1/2	IV6
