mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	32.0	0	0	2/2	4	1	a.#viio7/iv	a	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
9	9	32	3.0	0	0	2/2	4	1	iv\\	a	i		iv		iv						\\	m	1	1	-1, -4, 0		-1	-1
9	9	35	0.5	3/4	3/4	2/2	4	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
9	9	71/2	1.0	7/8	7/8	2/2	4	1	iio/iv	a	i		iio/iv		ii	o			iv			o	1	1	1, -2, -5		1	1
10	10	73/2	0.5	1/8	1/8	2/2	4	1	iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
10	10	37	0.5	1/4	1/4	2/2	4	1	iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
10	10	75/2	1.0	3/8	3/8	2/2	4	1	iio64/iv	a	i		iio64/iv		ii	o	64		iv			o	1	1	-5, 1, -2		1	-5
10	10	77/2	1.0	5/8	5/8	2/2	4	1	iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
10	10	79/2	0.5	7/8	7/8	2/2	4	1	iio6/iv	a	i		iio6/iv		ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
11	11	40	0.5	0	0	2/2	4	1	iv(9b64)	a	i		iv(9b64)		iv			9b64				m	1	1	-1, -2, -5	1	-1	-1
11	11	81/2	0.5	1/8	1/8	2/2	4	1	iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	41	0.5	1/4	1/4	2/2	4	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
11	11	83/2	1.0	3/8	3/8	2/2	4	1	#viio7/iv	a	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
11	11	85/2	1.0	5/8	5/8	2/2	4	1	iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	87/2	1.0	7/8	7/8	2/2	4	1	iio64/iv	a	i		iio64/iv		ii	o	64		iv			o	1	1	-5, 1, -2		1	-5
12	12	89/2	1.0	1/8	1/8	2/2	4	1	iv64	a	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
12	12	91/2	1.0	3/8	3/8	2/2	4	1	iio6/iv	a	i		iio6/iv		ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
12	12	93/2	0.5	5/8	5/8	2/2	4	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	47	0.5	3/4	3/4	2/2	4	1	#viio6/iv	a	i		#viio6/iv		#vii	o	6		iv			o	1	1	1, -2, 4		4	1
12	12	95/2	0.5	7/8	7/8	2/2	4	1	iv6\\	a	i		iv6		iv		6				\\	m	1	1	-4, 0, -1		-1	-4
