mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	4	1		a.i		a	i		i		i							m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
2	2	2	2	1.0	0	0	2/4	4	1		V7/III		a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
2	2	3	3	1.0	1/4	1/4	2/4	4	1		III		a	i		III		III							M	1	1	-3, 1, -2		-3	-3
3	3	4	4	1.0	0	0	2/4	4	1		VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
3	3	5	5	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	6	6	0.5	0	0	2/4	4	1		V[i6		a	i	V	i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	13/2	13/2	0.5	1/8	1/8	2/4	4	1		iio6		a	i	V	iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
4	4	7	7	1.0	1/4	1/4	2/4	4	1		V6]\\		a	i	V	V6		V		6				\\	M	1	1	5, 2, 1		1	5
5	5	8	8	1.0	0	0	2/4	4	1		i		a	i		i		i							m	1	1	0, -3, 1		0	0
5	5	9	9	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	10	10	1.0	0	0	2/4	4	1		V7/III		a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	11	11	1.0	1/4	1/4	2/4	4	1		III		a	i		III		III							M	1	1	-3, 1, -2		-3	-3
7	7	12	12	1.0	0	0	2/4	4	1		VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	13	13	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
8	8	14	14	0.5	0	0	2/4	4	1		V(64)		a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	29/2	29/2	0.5	1/8	1/8	2/4	4	1		V7		a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	15	15	1.0	1/4	1/4	2/4	4	1		i\\		a	i		i		i						\\	m	1	1	0, -3, 1		0	0
9	9	16	16	1.0	0	0	2/4	4	1		v.i		a	v		i		i							m	1	1	0, -3, 1		0	0
9	9	17	17	1.0	1/4	1/4	2/4	4	1		ii%65		a	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	10	18	18	1.0	0	0	2/4	4	1		i6		a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
10	10	19	19	1.0	1/4	1/4	2/4	4	1		ii%43		a	v		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
11	11	20	20	1.0	0	0	2/4	4	1		V(64)		a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
11	11	21	21	1.0	1/4	1/4	2/4	4	1		ii%65		a	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
12	12	22	22	1.0	0	0	2/4	4	1		V7		a	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	23	23	2.0	1/4	1/4	2/4	4	1		i\\		a	v		i		i						\\	m	1	1	0, -3, 1		0	0
13	13	25	25	1.0	1/4	1/4	2/4	4	1		ii%65		a	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
14	14	26	26	1.0	0	0	2/4	4	1		i6		a	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	27	27	1.0	1/4	1/4	2/4	4	1		ii%43		a	v		ii%43		ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
15	15	28	28	1.0	0	0	2/4	4	1		V(64)		a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	29	29	1.0	1/4	1/4	2/4	4	1		iv		a	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
16	16	30	30	1.0	0	0	2/4	4	1		V(64)		a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
16	16	31	31	1.0	1/4	1/4	2/4	4	1		#viio7		a	v		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
17	17	32	32	1.0	0	0	2/4	4	1		V(64)		a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
17	17	33	33	1.0	1/4	1/4	2/4	4	1		#viio2		a	v		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
18	18	34	34	1.0	0	0	2/4	4	1		V(64)		a	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
18	18	35	35	1.0	1/4	1/4	2/4	4	1		#viio2		a	v		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
19	19	36	36	0.5	0	0	2/4	4	1		i.V65		a	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
19	19	73/2	73/2	0.5	1/8	1/8	2/4	4	1		V/iv		a	i		V/iv		V				iv			M	1	1	0, 4, 1		0	0
19	19	37	37	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
20	20	38	38	1.0	0	0	2/4	4	1		V7/III		a	i		V7/III		V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
20	20	39	39	1.0	1/4	1/4	2/4	4	1		III		a	i		III		III							M	1	1	-3, 1, -2		-3	-3
21	21	40	40	1.0	0	0	2/4	4	1		VI		a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
21	21	41	41	1.0	1/4	1/4	2/4	4	1		iv		a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
22	22	42	42	1.0	0	0	2/4	4	1		V(64)		a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
22	22	43	43	1.0	1/4	1/4	2/4	4	1		V2		a	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
23	23	44	44	0.5	0	0	2/4	4	1		V6/iv		a	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
23	23	89/2	89/2	0.5	1/8	1/8	2/4	4	1		V7/iv		a	i		V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
