mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	3/4	1	1	.A.I		A	I		I		I						M	0	0	0, 4, 1		0	0
2	1	0	0	3/4	1	1	IV		A	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
2	1	1/2	1/2	3/4	1	1	V		A	I		V		V						M	0	0	1, 5, 2		1	1
3	2	0	0	3/4	1	1	I\\		A	I		I		I					\\	M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	3/4	1	1	IV6		A	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
4	3	0	0	3/4	1	1	V(64)		A	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
4	3	3/8	3/8	3/4	1	1	IV		A	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
4	3	1/2	1/2	3/4	1	1	V7		A	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/4	1/4	3/4	1	1	I\\		A	I		I		I					\\	M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	1	1	IV		A	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
6	5	1/2	1/2	3/4	1	1	V		A	I		V		V						M	0	0	1, 5, 2		1	1
7	6	0	0	3/4	1	1	V/ii		A	I		V/ii		V				ii		M	0	0	3, 7, 4		3	3
8	7	0	0	3/4	1	1	ii		A	I		ii		ii						m	0	0	2, -1, 3		2	2
8	7	3/8	3/8	3/4	1	1	ii2		A	I		ii2		ii		2				mm7	0	0	0, 2, -1, 3		2	0
8	7	1/2	1/2	3/4	1	1	ii65/IV		A	I		ii65/IV		ii		65		IV		mm7	0	0	-2, 2, -1, 1		1	-2
8	7	5/8	5/8	3/4	1	1	V/IV		A	I		V/IV		V				IV		M	0	0	0, 4, 1		0	0
9	8	0	0	3/4	1	1	IV(7b4)		A	I		IV(7b4)		IV			7b4			M	0	0	-1, -2, 0	4	-1	-1
9	8	1/4	1/4	3/4	1	1	IV		A	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
9	8	1/2	1/2	3/4	1	1	V7(4)/vi		A	I		V7(4)/vi		V		7	4	vi		Mm7	0	0	4, 3, 5, 2		4	4
9	8	5/8	5/8	3/4	1	1	V7/vi		A	I		V7/vi		V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
10	9	0	0	3/4	1	1	vi(9#74)		A	I		vi(9#74)		vi			9#74			m	0	0	3, 2, 4	5, 8	3	3
10	9	1/4	1/4	3/4	1	1	vi		A	I		vi		vi						m	0	0	3, 0, 4		3	3
10	9	1/2	1/2	3/4	1	1	V43/V		A	I		V43/V		V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
10	9	5/8	5/8	3/4	1	1	viio6/V		A	I		viio6/V		vii	o	6		V		o	0	0	3, 0, 6		6	3
11	10	0	0	3/4	1	1	V65		A	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
11	10	1/4	1/4	3/4	1	1	I		A	I		I		I						M	0	0	0, 4, 1		0	0
11	10	1/2	1/2	3/4	1	1	IV6		A	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
12	11	0	0	3/4	1	1	V65		A	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
12	11	1/4	1/4	3/4	1	1	I		A	I		I		I						M	0	0	0, 4, 1		0	0
12	11	1/2	1/2	3/4	1	1	IV6		A	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
13	12	0	0	3/4	1	1	V65		A	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
13	12	1/4	1/4	3/4	1	1	I		A	I		I		I						M	0	0	0, 4, 1		0	0
13	12	1/2	1/2	3/4	1	1	viio6/V		A	I		viio6/V		vii	o	6		V		o	0	0	3, 0, 6		6	3
14	13	0	0	3/4	1	1	V\\		A	I		V		V					\\	M	0	0	1, 5, 2		1	1
14	13	1/2	1/2	3/4	1	1	I		A	I		I		I						M	0	0	0, 4, 1		0	0
14	13	11/16	11/16	3/4	1	1	V6		A	I		V6		V		6				M	0	0	5, 2, 1		1	5
15	14	0	0	3/4	1	1	V43		A	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
15	14	1/2	1/2	3/4	1	1	V		A	I		V		V						M	0	0	1, 5, 2		1	1
16	15	0	0	3/4	1	1	I		A	I		I		I						M	0	0	0, 4, 1		0	0
16	15	3/16	3/16	3/4	1	1	V6		A	I		V6		V		6				M	0	0	5, 2, 1		1	5
16	15	1/4	1/4	3/4	1	1	V43		A	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
16	15	1/2	1/2	3/4	1	1	V\\		A	I		V		V					\\	M	0	0	1, 5, 2		1	1
17	16	0	0	3/4	1	1	viio2(42)		A	I		viio2(42)		vii	o	2	42			o7	0	0	-4, 0, 4, -1		5	-4
17	16	1/8	1/8	3/4	1	1	viio2		A	I		viio2		vii	o	2				o7	0	0	-4, 5, 2, -1		5	-4
17	16	1/4	1/4	3/4	1	1	V7(4)		A	I		V7(4)		V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
17	16	7/16	7/16	3/4	1	1	V7		A	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
17	16	1/2	1/2	3/4	1	1	V\\		A	I		V		V					\\	M	0	0	1, 5, 2		1	1
20	19	0	0	4/4	1	1	i.V6		A	i		V6		V		6				M	0	1	5, 2, 1		1	5
20	19	3/4	3/4	4/4	1	1	#viio6		A	i		#viio6		#vii	o	6				o	0	1	2, -1, 5		5	2
21	20	0	0	4/4	1	1	#viio		A	i		#viio		#vii	o					o	0	1	5, 2, -1		5	5
21	20	1/4	1/4	4/4	1	1	#viio6		A	i		#viio6		#vii	o	6				o	0	1	2, -1, 5		5	2
21	20	1/2	1/2	4/4	1	1	V2		A	i		V2		V		2				Mm7	0	1	-1, 1, 5, 2		1	-1
21	20	3/4	3/4	4/4	1	1	#viio		A	i		#viio		#vii	o					o	0	1	5, 2, -1		5	5
22	21	0	0	4/4	1	1	iio64		A	i		iio64		ii	o	64				o	0	1	-4, 2, -1		2	-4
22	21	1/4	1/4	4/4	1	1	#viio43		A	i		#viio43		#vii	o	43				o7	0	1	-1, -4, 5, 2		5	-1
