mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.G.I[I	G	I	I	I		I						M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1	ii6	G	I	I	ii6		ii		6				m	0	0	-1, 3, 2		2	-1
2	2	1/2	1/2	4/4	1	1	viio6	G	I	I	viio6		vii	o	6				o	0	0	2, -1, 5		5	2
2	2	3/4	3/4	4/4	1	1	V65	G	I	I	V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	3	0	0	4/4	1	1	I	G	I	I	I		I						M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	1	1	ii6	G	I	I	ii6		ii		6				m	0	0	-1, 3, 2		2	-1
4	4	1/2	1/2	4/4	1	1	viio6	G	I	I	viio6		vii	o	6				o	0	0	2, -1, 5		5	2
4	4	3/4	3/4	4/4	1	1	V7	G	I	I	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	4/4	1	1	I]	G	I	I	I		I						M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	4/4	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
5	5	3/4	3/4	4/4	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
6	6	0	0	4/4	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/2	1/2	4/4	1	1	I\\	G	I		I		I					\\	M	0	0	0, 4, 1		0	0
7	7	0	0	4/4	1	1	V65/V	G	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
8	8	0	0	4/4	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
8	8	1/4	1/4	4/4	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
8	8	1/2	1/2	4/4	1	1	V65/ii	G	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
9	9	0	0	4/4	1	1	ii	G	I		ii		ii						m	0	0	2, -1, 3		2	2
9	9	1/4	1/4	4/4	1	1	viio6	G	I		viio6		vii	o	6				o	0	0	2, -1, 5		5	2
9	9	1/2	1/2	4/4	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
9	9	3/4	3/4	4/4	1	1	ii6	G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
10	10	0	0	4/4	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
10	10	1/4	1/4	4/4	1	1	V7(4)	G	I		V7(4)		V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
10	10	1/2	1/2	4/4	1	1	V\\	G	I		V		V					\\	M	0	0	1, 5, 2		1	1
10	10	3/4	3/4	4/4	1	1	V2	G	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
11	11	0	0	4/4	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
11	11	1/4	1/4	4/4	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
11	11	1/2	1/2	4/4	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
11	11	3/4	3/4	4/4	1	1	V+2/IV	G	I		V+2/IV		V	+	2		IV		+7	0	0	-2, 0, 4, 8		0	-2
12	12	0	0	4/4	1	1	V65/ii	G	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
12	12	1/2	1/2	4/4	1	1	ii6	G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
12	12	7/8	7/8	4/4	1	1	V65/ii	G	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
13	13	0	0	4/4	1	1	ii	G	I		ii		ii						m	0	0	2, -1, 3		2	2
13	13	1/2	1/2	4/4	1	1	IV6/IV	G	I		IV6/IV		IV		6		IV		M	0	0	2, -1, -2		-2	2
14	14	0	0	4/4	1	1	V65/IV	G	I		V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
14	14	1/4	1/4	4/4	1	1	V7/IV	G	I		V7/IV		V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
14	14	1/2	1/2	4/4	1	1	IV	G	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
15	15	0	0	4/4	1	1	V65/V	G	I		V65/V		V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
16	16	0	0	4/4	1	1	V	G	I		V		V						M	0	0	1, 5, 2		1	1
16	16	1/4	1/4	4/4	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
16	16	1/2	1/2	4/4	1	1	V65/ii	G	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
17	17	0	0	4/4	1	1	ii	G	I		ii		ii						m	0	0	2, -1, 3		2	2
17	17	1/4	1/4	4/4	1	1	ii6	G	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
17	17	3/8	3/8	4/4	1	1	iio6	G	I		iio6		ii	o	6				o	0	0	-1, -4, 2		2	-1
17	17	1/2	1/2	4/4	1	1	V(64)	G	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
17	17	3/4	3/4	4/4	1	1	V7	G	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
18	18	0	0	4/4	1	1	I\\	G	I		I		I					\\	M	0	0	0, 4, 1		0	0
18	18	1/2	1/2	4/4	1	1	I6	G	I		I6		I		6				M	0	0	4, 1, 0		0	4
18	18	3/4	3/4	4/4	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
19	19	0	0	4/4	1	1	V65	G	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
20	20	0	0	4/4	1	1	I	G	I		I		I						M	0	0	0, 4, 1		0	0
21	21	0	0	4/4	1	1	V.V7/vi	G	V		V7/vi		V		7		vi		Mm7	0	0	4, 8, 5, 2		4	4
22	22	0	0	4/4	1	1	vi64	G	V		vi64		vi		64				m	0	0	4, 3, 0		3	4
22	22	1/4	1/4	4/4	1	1	vi6	G	V		vi6		vi		6				m	0	0	0, 4, 3		3	0
22	22	1/2	1/2	4/4	1	1	vi64	G	V		vi64		vi		64				m	0	0	4, 3, 0		3	4
22	22	3/4	3/4	4/4	1	1	vi6	G	V		vi6		vi		6				m	0	0	0, 4, 3		3	0
23	23	0	0	4/4	1	1	vii%7/V	G	V		vii%7/V		vii	%	7		V		%7	0	0	6, 3, 0, 4		6	6
23	23	1/4	1/4	4/4	1	1	vi6	G	V		vi6		vi		6				m	0	0	0, 4, 3		3	0
23	23	1/2	1/2	4/4	1	1	V(64)	G	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
23	23	3/4	3/4	4/4	1	1	V6(6)/vi	G	V		V6(6)/vi		V		6	6	vi		M	0	0	8, 0, 4		4	8
24	24	0	0	4/4	1	1	vi	G	V		vi		vi						m	0	0	3, 0, 4		3	3
