mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.f.i[i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
3	3	1/8	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
3	3	3/8	i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
4	4	0	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
5	5	0	i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
6	6	0	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
7	7	0	i]	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
8	8	0	V43/V	f	i		V43/V	V		43		V		Mm7	1	1	3, 0, 2, 6		2.0	3.0
9	9	0	V\\	f	i		V	V					\\	M	1	1	1, 5, 2		1.0	1.0
10	10	0	V65	f	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
11	11	0	V	f	i		V	V						M	1	1	1, 5, 2		1.0	1.0
12	12	0	V65	f	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
13	13	0	V	f	i		V	V						M	1	1	1, 5, 2		1.0	1.0
13	13	1/4	V65	f	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
14	14	0	V	f	i		V	V						M	1	1	1, 5, 2		1.0	1.0
14	14	1/4	V65	f	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
15	15	0	V	f	i		V	V						M	1	1	1, 5, 2		1.0	1.0
15	15	1/4	V2	f	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
16	16	0	i6	f	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
16	16	1/4	V64	f	i		V64	V		64				M	1	1	2, 1, 5		1.0	2.0
17	17	0	i[i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
19	19	1/8	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
19	19	3/8	i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
20	20	0	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
21	21	0	i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
22	22	0	V7	f	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
23	23	0	i	f	i	i	i	i						m	1	1	0, -3, 1		0.0	0.0
24	24	0	III.V43/V]	f	III	vi	V43/V	V		43		V		Mm7	1	0	3, 0, 2, 6		2.0	3.0
25	25	0	V	f	III		V	V						M	1	0	1, 5, 2		1.0	1.0
26	26	0	V43/V	f	III		V43/V	V		43		V		Mm7	1	0	3, 0, 2, 6		2.0	3.0
27	27	0	V	f	III		V	V						M	1	0	1, 5, 2		1.0	1.0
27	27	3/8	V7	f	III		V7	V		7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
28	28	0	V43/IV	f	III		V43/IV	V		43		IV		Mm7	1	0	1, -2, 0, 4		0.0	1.0
29	29	0	IV	f	III		IV	IV						M	1	0	-1, 3, 0		-1.0	-1.0
30	30	0	IVM65	f	III		IVM65	IV	M	65				MM7	1	0	3, 0, 4, -1		-1.0	3.0
31	31	0	IV	f	III		IV	IV						M	1	0	-1, 3, 0		-1.0	-1.0
32	32	0	IVM65	f	III		IVM65	IV	M	65				MM7	1	0	3, 0, 4, -1		-1.0	3.0
33	33	0	IV	f	III		IV	IV						M	1	0	-1, 3, 0		-1.0	-1.0
33	33	1/4	ivM65	f	III		ivM65	iv	M	65				mM7	1	0	-4, 0, 4, -1		-1.0	-4.0
34	34	0	iv	f	III		iv	iv						m	1	0	-1, -4, 0		-1.0	-1.0
34	34	1/4	ivM65	f	III		ivM65	iv	M	65				mM7	1	0	-4, 0, 4, -1		-1.0	-4.0
35	35	0	iv	f	III		iv	iv						m	1	0	-1, -4, 0		-1.0	-1.0
35	35	1/4	iv2	f	III		iv2	iv		2				mm7	1	0	-3, -1, -4, 0		-1.0	-3.0
36	36	0	ii%7	f	III		ii%7	ii	%	7				%7	1	0	2, 1, 8, 0		2.0	2.0
36	36	1/4	iv64	f	III		iv64	iv		64				m	1	0	0, -1, -4		-1.0	0.0
37	37	0	viio7	f	III		viio7	vii	o	7				o7	1	0	5, 2, -1, -4		5.0	5.0
38	38	0	iio6	f	III		iio6	ii	o	6				o	1	0	-1, -4, 2		2.0	-1.0
39	39	0	iv	f	III		iv	iv						m	1	0	-1, -4, 0		-1.0	-1.0
39	39	1/4	iv2	f	III		iv2	iv		2				mm7	1	0	-3, -1, -4, 0		-1.0	-3.0
40	40	0	iio	f	III		iio	ii	o					o	1	0	2, -1, -4		2.0	2.0
40	40	1/4	ii%2	f	III		ii%2	ii	%	2				%7	1	0	0, 2, 1, 8		2.0	0.0
41	41	0	viio7	f	III		viio7	vii	o	7				o7	1	0	5, 2, -1, -4		5.0	5.0
41	41	1/4	iio6	f	III		iio6	ii	o	6				o	1	0	-1, -4, 2		2.0	-1.0
42	42	0	I	f	III		I	I						M	1	0	0, 4, 1		0.0	0.0
42	42	1/4	I6	f	III		I6	I		6				M	1	0	4, 1, 0		0.0	4.0
43	43	0	viio6	f	III		viio6	vii	o	6				o	1	0	2, -1, 5		5.0	2.0
43	43	1/4	V7	f	III		V7	V		7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
44	44	0	I6	f	III		I6	I		6				M	1	0	4, 1, 0		0.0	4.0
44	44	1/4	I64	f	III		I64	I		64				M	1	0	1, 0, 4		0.0	1.0
45	45	0	#viio6/ii	f	III		#viio6/ii	#vii	o	6		ii		o	1	0	4, 1, 7		7.0	4.0
45	45	1/4	iio6/ii	f	III		iio6/ii	ii	o	6		ii		o	1	0	1, -2, 4		4.0	1.0
46	46	0	ii6	f	III		ii6	ii		6				m	1	0	-1, 3, 2		2.0	-1.0
47	47	0	V(4)	f	III		V(4)	V			4			M	1	0	1, 0, 2		1.0	1.0
47	47	1/4	V2	f	III		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
48	48	0	V	f	III		V	V						M	1	0	1, 5, 2		1.0	1.0
48	48	1/4	V2	f	III		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
49	49	0	vi	f	III		vi	vi						m	1	0	3, 0, 4		3.0	3.0
51	51	0	V7(4)/V	f	III		V7(4)/V	V		7	4	V		Mm7	1	0	2, 1, 3, 0		2.0	2.0
