mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.a.i		a	i		i		i						m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/4	1	1	iv		a	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
2	2	0	0	2/4	1	1	V7/III		a	i		V7/III		V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
2	2	1/4	1/4	2/4	1	1	III		a	i		III		III						M	1	1	-3, 1, -2		-3	-3
3	3	0	0	2/4	1	1	VI		a	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
3	3	1/4	1/4	2/4	1	1	iv		a	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
4	4	0	0	2/4	1	1	V[i6		a	i	V	i6		i		6				m	1	1	-3, 1, 0		0	-3
4	4	1/8	1/8	2/4	1	1	iio6		a	i	V	iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
4	4	1/4	1/4	2/4	1	1	V6]\\		a	i	V	V6		V		6			\\	M	1	1	5, 2, 1		1	5
5	5	0	0	2/4	1	1	i		a	i		i		i						m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	2/4	1	1	iv		a	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
6	6	0	0	2/4	1	1	V7/III		a	i		V7/III		V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	1/4	1/4	2/4	1	1	III		a	i		III		III						M	1	1	-3, 1, -2		-3	-3
7	7	0	0	2/4	1	1	VI		a	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
7	7	1/4	1/4	2/4	1	1	iv		a	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
8	8	0	0	2/4	1	1	V(64)		a	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
8	8	1/8	1/8	2/4	1	1	V7		a	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
8	8	1/4	1/4	2/4	1	1	i\\		a	i		i		i					\\	m	1	1	0, -3, 1		0	0
9	9	0	0	2/4	1	1	v.i		a	v		i		i						m	1	1	0, -3, 1		0	0
9	9	1/4	1/4	2/4	1	1	ii%65		a	v		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
10	10	0	0	2/4	1	1	i6		a	v		i6		i		6				m	1	1	-3, 1, 0		0	-3
10	10	1/4	1/4	2/4	1	1	ii%43		a	v		ii%43		ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
