mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.f.i[i		f	i	i	i		i						m	1	1	0, -3, 1		0	0
3	3	5/8	5/8	2/2	1	1	i6		f	i	i	i6		i		6				m	1	1	-3, 1, 0		0	-3
3	3	3/4	3/4	2/2	1	1	iio6		f	i	i	iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
3	3	7/8	7/8	2/2	1	1	#viio6/iv		f	i	i	#viio6/iv		#vii	o	6		iv		o	1	1	1, -2, 4		4	1
4	4	0	0	2/2	1	1	iv6		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
4	4	1/8	1/8	2/2	1	1	#viio64/iv		f	i	i	#viio64/iv		#vii	o	64		iv		o	1	1	-2, 4, 1		4	-2
4	4	1/4	1/4	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
4	4	3/8	3/8	2/2	1	1	iio64/iv		f	i	i	iio64/iv		ii	o	64		iv		o	1	1	-5, 1, -2		1	-5
4	4	1/2	1/2	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
4	4	5/8	5/8	2/2	1	1	V7/iv		f	i	i	V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
4	4	3/4	3/4	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
4	4	7/8	7/8	2/2	1	1	iio6/iv		f	i	i	iio6/iv		ii	o	6		iv		o	1	1	-2, -5, 1		1	-2
5	5	0	0	2/2	1	1	iv6		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
5	5	1/8	1/8	2/2	1	1	#viio6/iv		f	i	i	#viio6/iv		#vii	o	6		iv		o	1	1	1, -2, 4		4	1
5	5	1/4	1/4	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
5	5	3/8	3/8	2/2	1	1	iio6/iv		f	i	i	iio6/iv		ii	o	6		iv		o	1	1	-2, -5, 1		1	-2
5	5	1/2	1/2	2/2	1	1	iv6		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
5	5	5/8	5/8	2/2	1	1	III6		f	i	i	III6		III		6				M	1	1	1, -2, -3		-3	1
5	5	3/4	3/4	2/2	1	1	iio6		f	i	i	iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
5	5	7/8	7/8	2/2	1	1	i6]		f	i	i	i6		i		6				m	1	1	-3, 1, 0		0	-3
6	6	0	0	2/2	1	1	#viio6		f	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
6	6	1/4	1/4	2/2	1	1	iio		f	i		iio		ii	o					o	1	1	2, -1, -4		2	2
6	6	1/2	1/2	2/2	1	1	i6(6)		f	i		i6(6)		i		6	6			m	1	1	-3, -4, 0		0	-3
6	6	5/8	5/8	2/2	1	1	i6		f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
7	7	0	0	2/2	1	1	#viio6		f	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
7	7	1/4	1/4	2/2	1	1	iio		f	i		iio		ii	o					o	1	1	2, -1, -4		2	2
7	7	1/2	1/2	2/2	1	1	i6(6)		f	i		i6(6)		i		6	6			m	1	1	-3, -4, 0		0	-3
7	7	5/8	5/8	2/2	1	1	i6		f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
8	8	0	0	2/2	1	1	viio7/V		f	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
9	9	0	0	2/2	1	1	V\\		f	i		V		V					\\	M	1	1	1, 5, 2		1	1
9	9	1/2	1/2	2/2	1	1	iio64		f	i		iio64		ii	o	64				o	1	1	-4, 2, -1		2	-4
10	10	1/2	1/2	2/2	1	1	iio6		f	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
11	11	0	0	2/2	1	1	#viio43		f	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
11	11	1/2	1/2	2/2	1	1	#viio2		f	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
12	12	0	0	2/2	1	1	#viio65		f	i		#viio65		#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
12	12	1/2	1/2	2/2	1	1	iio64		f	i		iio64		ii	o	64				o	1	1	-4, 2, -1		2	-4
12	12	3/4	3/4	2/2	1	1	ii%43		f	i		ii%43		ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
13	13	0	0	2/2	1	1	#viio2		f	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
13	13	1/2	1/2	2/2	1	1	iio		f	i		iio		ii	o					o	1	1	2, -1, -4		2	2
14	14	0	0	2/2	1	1	V		f	i		V		V						M	1	1	1, 5, 2		1	1
14	14	1/2	1/2	2/2	1	1	V43		f	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
15	15	0	0	2/2	1	1	i[i\\		f	i	i	i		i					\\	m	1	1	0, -3, 1		0	0
15	15	1/2	1/2	2/2	1	1	V7/iv		f	i	i	V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
16	16	5/8	5/8	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
16	16	3/4	3/4	2/2	1	1	iio64/iv		f	i	i	iio64/iv		ii	o	64		iv		o	1	1	-5, 1, -2		1	-5
16	16	7/8	7/8	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
17	17	0	0	2/2	1	1	V7/iv		f	i	i	V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
18	18	0	0	2/2	1	1	iv6		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
18	18	1/4	1/4	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
18	18	1/2	1/2	2/2	1	1	iv6		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
19	19	1/4	1/4	2/2	1	1	iv64		f	i	i	iv64		iv		64				m	1	1	0, -1, -4		-1	0
19	19	1/2	1/2	2/2	1	1	iv6]		f	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
20	20	0	0	2/2	1	1	#viio65		f	i		#viio65		#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
20	20	1/4	1/4	2/2	1	1	i6		f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
20	20	1/2	1/2	2/2	1	1	ii%65		f	i		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
20	20	3/4	3/4	2/2	1	1	i64		f	i		i64		i		64				m	1	1	1, 0, -3		0	1
21	21	0	0	2/2	1	1	iv6		f	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
21	21	1/4	1/4	2/2	1	1	i65		f	i		i65		i		65				mm7	1	1	-3, 1, -2, 0		0	-3
21	21	1/2	1/2	2/2	1	1	iv		f	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
21	21	3/4	3/4	2/2	1	1	V43		f	i		V43		V		43				Mm7	1	1	2, -1, 1, 5		1	2
22	22	0	0	2/2	1	1	i6		f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
22	22	1/4	1/4	2/2	1	1	V65		f	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
22	22	1/2	1/2	2/2	1	1	i		f	i		i		i						m	1	1	0, -3, 1		0	0
22	22	3/4	3/4	2/2	1	1	iio(+4)		f	i		iio(+4)		ii	o		+4			o	1	1	2, -1, -4	1	2	2
23	23	0	0	2/2	1	1	i6\\		f	i		i6		i		6			\\	m	1	1	-3, 1, 0		0	-3
24	24	0	0	2/2	1	1	iv6(2)		f	i		iv6(2)		iv		6	2			m	1	1	-4, 0, 1		-1	-4
24	24	5/8	5/8	2/2	1	1	iv6		f	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
25	25	0	0	2/2	1	1	VI(#4)		f	i		VI(#4)		VI			#4			M	1	1	-4, 0, 9		-4	-4
25	25	1/4	1/4	2/2	1	1	VI		f	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
25	25	1/2	1/2	2/2	1	1	viio7/V		f	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
26	26	0	0	2/2	1	1	V(6)		f	i		V(6)		V			6			M	1	1	1, 5, -3		1	1
26	26	5/8	5/8	2/2	1	1	V7		f	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
26	26	3/4	3/4	2/2	1	1	V(64)		f	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
26	26	7/8	7/8	2/2	1	1	V		f	i		V		V						M	1	1	1, 5, 2		1	1
27	27	0	0	2/2	1	1	i		f	i		i		i						m	1	1	0, -3, 1		0	0
27	27	1/2	1/2	2/2	1	1	i6		f	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
28	28	0	0	2/2	1	1	iv6(2)		f	i		iv6(2)		iv		6	2			m	1	1	-4, 0, 1		-1	-4
28	28	5/8	5/8	2/2	1	1	iv6		f	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
