mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	4/4	4	1	G.I[I	G	I	I	I		I							M	0	0	0, 4, 1		0	0
2	2	4	4	2.0	0	0	4/4	4	1	ii6	G	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	6	6	1.0	1/2	1/2	4/4	4	1	viio6	G	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
2	2	7	7	1.0	3/4	3/4	4/4	4	1	V65	G	I	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	8	8	4.0	0	0	4/4	4	1	I	G	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	12	12	2.0	0	0	4/4	4	1	ii6	G	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	14	14	1.0	1/2	1/2	4/4	4	1	viio6	G	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
4	4	15	15	1.0	3/4	3/4	4/4	4	1	V7	G	I	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	16	16	2.0	0	0	4/4	4	1	I]	G	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	18	18	1.0	1/2	1/2	4/4	4	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	19	19	1.0	3/4	3/4	4/4	4	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
6	6	20	20	2.0	0	0	4/4	4	1	V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	22	22	2.0	1/2	1/2	4/4	4	1	I\\	G	I		I		I						\\	M	0	0	0, 4, 1		0	0
7	7	24	24	4.0	0	0	4/4	4	1	V65/V	G	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
8	8	28	28	1.0	0	0	4/4	4	1	V	G	I		V		V							M	0	0	1, 5, 2		1	1
8	8	29	29	1.0	1/4	1/4	4/4	4	1	V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	30	30	2.0	1/2	1/2	4/4	4	1	V65/ii	G	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
9	9	32	32	1.0	0	0	4/4	4	1	ii	G	I		ii		ii							m	0	0	2, -1, 3		2	2
9	9	33	33	1.0	1/4	1/4	4/4	4	1	viio6	G	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
