mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	3/8	2/4	4	1		g.V2	g	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	1	1/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
2	1	1	0.5	1/8	1/8	2/4	4	1		V	g	i		V		V							M	1	1	1, 5, 2		1	1
2	1	3/2	0.5	1/4	1/4	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
2	1	2	0.5	3/8	3/8	2/4	4	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	5/2	1.5	0	0	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
3	2	4	0.5	3/8	3/8	2/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	9/2	0.5	0	0	2/4	4	1		ii%65	g	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	5	0.5	1/8	1/8	2/4	4	1		i6	g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	11/2	0.5	1/4	1/4	2/4	4	1		ii%65	g	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	3	6	0.5	3/8	3/8	2/4	4	1		V	g	i		V		V							M	1	1	1, 5, 2		1	1
5	4	13/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
5	4	7	0.5	1/8	1/8	2/4	4	1		i(9#764)	g	i		i(9#764)		i			9#764				m	1	1	0, -1, -4	2, 5	0	0
5	4	15/2	0.5	1/4	1/4	2/4	4	1		i64	g	i		i64		i		64					m	1	1	1, 0, -3		0	1
5	4	8	0.5	3/8	3/8	2/4	4	1		V2	g	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	5	17/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
6	5	9	0.5	1/8	1/8	2/4	4	1		V	g	i		V		V							M	1	1	1, 5, 2		1	1
6	5	19/2	0.5	1/4	1/4	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
6	5	10	0.5	3/8	3/8	2/4	4	1		V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	21/2	1.5	0	0	2/4	4	1		V(64)	g	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
7	6	12	0.5	3/8	3/8	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	7	25/2	1.0	0	0	2/4	4	1		v	g	i		v		v							m	1	1	1, -2, 2		1	1
8	7	27/2	0.5	1/4	1/4	2/4	4	1		V7/v	g	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
8	7	14	0.5	3/8	3/8	2/4	4	1		V7/v	g	i		V7/v		V		7		v			Mm7	1	1	2, 6, 3, 0		2	2
9	8	29/2	1.0	0	0	2/4	4	1		v	g	i		v		v							m	1	1	1, -2, 2		1	1
9	8	31/2	0.5	1/4	1/4	2/4	4	1		V2/v	g	i		V2/v		V		2		v			Mm7	1	1	0, 2, 6, 3		2	0
9	8	16	0.5	3/8	3/8	2/4	4	1		#viio2/v	g	i		#viio2/v		#vii	o	2		v			o7	1	1	-3, 6, 3, 0		6	-3
10	9	33/2	1.0	0	0	2/4	4	1		v	g	i		v		v							m	1	1	1, -2, 2		1	1
10	9	35/2	0.5	1/4	1/4	2/4	4	1		V43/v	g	i		V43/v		V		43		v			Mm7	1	1	3, 0, 2, 6		2	3
10	9	18	0.5	3/8	3/8	2/4	4	1		V/v	g	i		V/v		V				v			M	1	1	2, 6, 3		2	2
11	10	37/2	1.0	0	0	2/4	4	1		v	g	i		v		v							m	1	1	1, -2, 2		1	1
11	10	39/2	1.0	1/4	1/4	2/4	4	1		v43	g	i		v43		v		43					mm7	1	1	2, -1, 1, -2		1	2
12	11	41/2	0.5	0	0	2/4	4	1		III	g	i		III		III							M	1	1	-3, 1, -2		-3	-3
12	11	21	0.25	1/8	1/8	2/4	4	1		V43	g	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	11	85/4	0.25	3/16	3/16	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
12	11	43/2	0.5	1/4	1/4	2/4	4	1		V43	g	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	11	22	0.5	3/8	3/8	2/4	4	1		V65	g	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
13	12	45/2	0.5	0	0	2/4	4	1		i	g	i		i		i							m	1	1	0, -3, 1		0	0
