mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	4	1	Ab.I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
2	2	3	3	1.0	0	0	3/4	4	1	I(b64)		Ab	I		I(b64)		I			b64				M	0	0	0, -1, -4		0	0
2	2	4	4	1.0	1/4	1/4	3/4	4	1	I(+#8b64)		Ab	I		I(+#8b64)		I			+#8b64				M	0	0	0, -1, -4	7	0	0
2	2	5	5	1.0	1/2	1/2	3/4	4	1	I(9b64)		Ab	I		I(9b64)		I			9b64				M	0	0	0, -1, -4	2	0	0
3	3	6	6	2.0	0	0	3/4	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	3	8	8	0.5	1/2	1/2	3/4	4	1	V65(6)		Ab	I		V65(6)		V		65	6				Mm7	0	0	5, 4, -1, 1		1	5
3	3	17/2	17/2	0.5	5/8	5/8	3/4	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	9	9	0.5	0	0	3/4	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
4	4	19/2	19/2	1.5	1/8	1/8	3/4	4	1	I(64)		Ab	I		I(64)		I			64				M	0	0	0, -1, 3		0	0
4	4	11	11	1.0	1/2	1/2	3/4	4	1	I\\		Ab	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	5	12	12	2.0	0	0	3/4	4	1	V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	14	14	0.5	1/2	1/2	3/4	4	1	ii65/V		Ab	I		ii65/V		ii		65		V			mm7	0	0	0, 4, 1, 3		3	0
5	5	29/2	29/2	0.5	5/8	5/8	3/4	4	1	V6		Ab	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	15	15	1.0	0	0	3/4	4	1	ii7/V		Ab	I		ii7/V		ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
6	6	16	16	1.0	1/4	1/4	3/4	4	1	V43/V		Ab	I		V43/V		V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
6	6	17	17	0.5	1/2	1/2	3/4	4	1	viio6(11)/V		Ab	I		viio6(11)/V		vii	o	6	11	V			o	0	0	3, 0, 6	5	6	3
6	6	35/2	35/2	0.5	5/8	5/8	3/4	4	1	viio6/V		Ab	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
7	7	18	18	0.5	0	0	3/4	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
7	7	37/2	37/2	0.5	1/8	1/8	3/4	4	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	19	19	1.0	1/4	1/4	3/4	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
7	7	20	20	1.0	1/2	1/2	3/4	4	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	8	21	21	1.0	0	0	3/4	4	1	V(64)		Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	22	22	0.5	1/4	1/4	3/4	4	1	V\\		Ab	I		V		V						\\	M	0	0	1, 5, 2		1	1
8	8	45/2	45/2	0.5	3/8	3/8	3/4	4	1	V/vi		Ab	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
8	8	23	23	0.5	1/2	1/2	3/4	4	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	8	47/2	47/2	0.5	5/8	5/8	3/4	4	1	viio		Ab	I		viio		vii	o						o	0	0	5, 2, -1		5	5
9	9	24	24	3.0	0	0	3/4	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
10	10	27	27	1.0	0	0	3/4	4	1	I(b64)		Ab	I		I(b64)		I			b64				M	0	0	0, -1, -4		0	0
10	10	28	28	1.0	1/4	1/4	3/4	4	1	I(+#8b64)		Ab	I		I(+#8b64)		I			+#8b64				M	0	0	0, -1, -4	7	0	0
10	10	29	29	1.0	1/2	1/2	3/4	4	1	I(9b64)		Ab	I		I(9b64)		I			9b64				M	0	0	0, -1, -4	2	0	0
11	11	30	30	2.0	0	0	3/4	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	32	32	0.5	1/2	1/2	3/4	4	1	V7(6)		Ab	I		V7(6)		V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
11	11	65/2	65/2	0.5	5/8	5/8	3/4	4	1	V7		Ab	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	33	33	2.0	0	0	3/4	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
