mc	mn	onset	label
129	127	5/8	viio43/V
130	128	0	viio7/V
130	128	5/8	viio43/V
131	129	0	viio7/V
131	129	5/8	viio43/V
132	130	0	V\\
132	130	3/8	V7
133	131	0	i64
133	131	5/8	i6
134	132	0	V7/V
134	132	3/8	V2/V
135	133	0	V65
135	133	3/8	V43
136	134	0	iio6
136	134	3/8	#viio2
137	135	0	i64
137	135	5/8	i6
138	136	0	V7/V
138	136	3/8	V2/V
139	137	0	V65
139	137	3/8	V43
140	138	0	iio6
140	138	3/8	#viio2
141	139	0	i64\\
141	139	5/8	i6
142	140	0	V7/VI
143	141	0	VI64
144	142	0	V7/VI
145	143	0	VI64
145	143	5/8	iio6/V
146	144	0	viio43/V
149	147	0	V6\\
149	147	5/8	ii%65/iv
150	148	0	#viio43/iv
153	151	0	IV6\\
153	151	5/8	iv6
155	153	0	V7
155	153	3/8	VI
156	154	0	iio6
156	154	3/8	V7
157	155	0	i\\
157	155	5/8	V6
158	156	1/4	i
158	156	5/8	iio6
159	157	3/8	V
159	157	5/8	V6
160	158	1/4	i
160	158	5/8	iio6
161	159	3/8	V
161	159	5/8	i
162	160	1/4	i.i
162	160	5/8	iv
163	161	3/8	viio65/III
163	161	5/8	v-III6
164	162	1/4	i
164	162	5/8	iv
165	163	3/8	#viio64
165	163	5/8	#viio43
166	164	0	iv
166	164	3/8	#viio64
166	164	5/8	#viio43
167	165	0	iv
167	165	3/8	#viio64\\
167	165	5/8	i6-VI64
168	166	0	VI64
170	168	1/8	V7/VI
170	168	1/4	VI64
170	168	3/8	V7/VI
170	168	1/2	VI64
171	169	0	V65/VI
171	169	5/8	V7/VI
172	170	0	VI64
174	172	1/8	V7/VI
174	172	1/4	VI64
174	172	3/8	V7/VI
174	172	1/2	VI64
175	173	0	#viio2/iv
175	173	5/8	V/iv
176	174	0	VII64
178	176	1/8	V7/VII
178	176	1/4	VII64
178	176	3/8	V7/VII
178	176	1/2	VII64
179	177	0	viio2/V
179	177	5/8	V7/V
180	178	0	i64
182	180	1/8	V7
182	180	1/4	i64
182	180	3/8	V7
182	180	1/2	i64
182	180	5/8	V7(9)
183	181	0	i64
183	181	5/8	V
184	182	0	i
184	182	3/8	V/III
185	183	0	III
185	183	3/8	V/v
186	184	0	v
186	184	3/8	V/VII
187	185	0	VII
187	185	1/4	V2/III
187	185	3/8	V
187	185	5/8	V7
188	186	0	i
188	186	5/8	i64
189	187	0	i(9)
189	187	3/8	i
189	187	5/8	i64
190	188	0	V43
190	188	5/8	V7(9)
191	189	0	V43
191	189	3/8	V43(9)
191	189	5/8	V7(9)
192	190	0	i
192	190	5/8	i64
193	191	0	i(9)
193	191	3/8	i
193	191	5/8	i64
194	192	0	V43
194	192	5/8	V7(9)
195	193	0	V43
195	193	3/8	V43(9)
195	193	5/8	V(9)
196	194	0	i6\\
197	195	0	V7/VI
198	196	0	VI
199	197	0	V7/VI
200	198	0	VI
200	198	5/8	viio7/V
204	202	0	V
205	203	0	VI
205	203	5/8	V/VI
206	204	0	VI
206	204	5/8	V/VI
207	205	0	VI
207	205	5/8	V/VI
208	206	0	VI
